"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est l'agent responsable de la lèpre ?","Mycobacterium tuberculosis","Mycobacterium leprae","Mycobacterium ulcerans","Mycobacterium avium","2","'Mycobactérieum leprae'","Easy"
"À quelle famille appartient Mycobacterium leprae ?","BAAR","Gram positif","Gram négatif","Spirochète","1","'famille BAAR'","Easy"
"Quels sont les trois tissus ou organes touchés par la lèpre ?","Peau, muqueuse et nerf","Peau, os et muscle","Muqueuse, poumon et foie","Nerf, rein et cœur","1","'Touché la peau, muqueuse et nerf'","Easy"
"Combien de nouveaux cas de lèpre ont été enregistrés en 2021 ?","1700","17000","700","170","1","'1700 cas de nouveau par an en 2021'","Easy"
"Parmi ces nouveaux cas, combien d'enfants ?","75","221","1700","75%","1","'Dont 75 des enfants'","Easy"
"Quelle complication de la lèpre est responsable de handicaps par mutilation ?","Réaction lépreuse","Handicap par mutilation","Atteinte rénale","Cécité","2","'Complication : réaction lépreuse et handicap par mutilation'","Easy"
"Selon la classification OMS, combien de lésions cutanées définissent une forme pauci bacillaire ?","Moins de 5","Plus de 5","Exactement 5","Aucune","1","'Inf. 5 lésions : pauci bacillaire'","Easy"
"Selon la classification OMS, combien de nerfs atteints définissent une forme multi bacillaire ?","1 seul","Plus de 1","Aucun","Tous","2","'Sup. 1 : multi bacillaire'","Easy"
"Quel résultat de bacilloscopie classe le patient en multi bacillaire selon l'OMS ?","Négatif","Positif","1+","2+","2","'Résultat de bacilloscopie : Positif : multi bacillaire'","Easy"
"Quelle est la forme la plus grave dans la classification de Ridley Joplin ?","Forme tuberculoïde","Forme borderline","Forme lépromateuse","Forme indéterminée","3","'forme grave : forme lépromateuse'","Easy"
"Quelle est la forme la moins grave dans la classification de Ridley Joplin ?","Forme lépromateuse","Forme borderline","Forme tuberculoïde","Forme borderline lépromateuse","3","'forme moins grave : forme tuberculoïde'","Easy"
"Quel est l'aspect cutané typique de la forme lépromateuse au niveau du nez et des oreilles ?","Faciès léonin","Faciès de Paget","Faciès de lion","Faciès de grenouille","1","'bout du nez et oreille : faciès léonin'","Easy"
"Quel est le nom de la lésion nodulaire de la lèpre lépromateuse ?","Léprome","Macule","Papule","Kérion","1","'léprome : nodule ou papulo-nodulaire'","Easy"
"Quelle est la particularité de la forme tuberculoïde concernant le nombre de lésions ?","Moins de 5 lésions","Plus de 5 lésions","De 2 à 10 lésions","Aucune lésion","1","'moins de 5 lésions'","Easy"
"Dans la forme tuberculoïde, les lésions sont-elles symétriques ?","Oui","Non","Parfois","Toujours","2","'asymétrique'","Easy"
"Qu'est-ce que la lèpre nerveuse pure ?","Aucune lésion cutanée, uniquement nerveuse","Lésions cutanées sans atteinte nerveuse","Atteinte uniquement des nerfs crâniens","Forme associée au VIH","1","'aucune lésion cutanée'","Easy"
"Quel examen confirme la lèpre nerveuse pure ?","Biopsie cutanée","PCR","Bacilloscopie","Coloration de Ziehl","2","'confirmation par PCR'","Easy"
"Quelles sont les deux types de réactions lépreuses ?","Type 1 et type 2","Type A et type B","Réaction aiguë et chronique","Réaction locale et générale","1","'réaction de type 1 et réaction de type 2'","Easy"
"Quel type de réaction lépreuse est appelé 'érythème noueux lépreux' ?","Type 1","Type 2","Type mixte","Type 3","2","'réaction de type 2 : érythème noueux lépreux'","Easy"
"Quel est le traitement de la réaction lépreuse selon le document ?","Continuer anti-lépreux + corticoïdes","Arrêter anti-lépreux","Antibiotiques seuls","Antifongiques","1","'Continuer l’anti-lépreux, Corticoide : prednisolone 1 mg/kg/j'","Easy"
"Chez la femme enceinte atteinte de lèpre, peut-on la traiter ?","Oui","Non","Seulement après l'accouchement","Contre-indiqué","1","'On peut toujours traiter la femme enceinte'","Easy"
"Quel syndrome de restauration immunitaire peut déclencher une lèpre chez le VIH+ sous ARV ?","Syndrome de restauration immunitaire","Syndrome de Lyell","DRESS syndrome","Syndrome de Kaposi","1","'Sd de restauration immunitaire : responsable de l’infection lépreux sous antirétroviraux (ARV)'","Easy"
"Quel est le degré d'invalidité évalué dans la lèpre (sigle) ?","YMP (yeux, mains, pieds)","YMS (yeux, mains, santé)","PMS (pieds, mains, santé)","YMG (yeux, mains, genoux)","1","'Degré d’invalidité (YMP : yeux, mains et pieds)'","Easy"
"Quel examen paraclinique utilise la coloration de Ziehl Nelsen ?","Examen bactériologique","Examen anapath","PCR","Sérologie","1","'Coloration de Ziehl Nelsen'","Easy"
"Quelle est la cellule pathognomonique de la lèpre à l'anatomopathologie ?","Cellule de Virchow","Cellule de Langerhans","Cellule de Kupffer","Cellule de Hodgkin","1","'Cellule pathognomonique : cellule de Virchow'","Easy"
"La PCR est positive dans quel pourcentage des formes lépromateuses ?","90%","20%","50%","75%","1","'positif 90% des formes lépromateux'","Easy"
"La PCR est positive dans quel pourcentage des formes tuberculoïdes ?","20%","90%","50%","75%","1","'20 % forme tuberculoïde'","Easy")
"Quel est l'agent pathogène de la lèpre ?","Mycobacterium leprae (bacille de Hansen)","Mycobacterium tuberculosis","Mycobacterium bovis","Mycobacterium avium","1","'Mycobactérium leprae : ou bacille de Hansen'","Easy"
"Quelle est la taille du bacille de Hansen ?","1-8 µm","0,5-1 µm","10-20 µm","<0,5 µm","1","'1 -8 µm de long'","Easy"
