"question","answer","explanation","difficulty"
"Les neuroblastomes sont des tumeurs bénignes du tissu sympathique.","False","Le document : ''tumeurs embryonnaires malignes du tissu sympathique''.","Easy"
"La localisation abdominale est la plus fréquente des neuroblastomes.","True","Le document : ''La localisation abdominale est la plus fréquente''.","Easy"
"95% des neuroblastomes surviennent avant l'âge de 5 ans.","False","Le document : ''95% se voient avant l'âge de 8 ans''.","Easy"
"50% des neuroblastomes surviennent autour de l'âge de 2 ans.","True","Le document : ''50% autour de l'âge de 2ans''.","Easy"
"La plupart des neuroblastomes sont non métastatiques au diagnostic.","False","Le document : ''Près de 60% sont métastatiques au moment du diagnostic''.","Easy"
"Les neuroblastomes fœtaux peuvent métastaser in utero.","True","Le document : ''Ces neuroblastomes foetaux peuvent métastaser in utérus, sur le foie et le placenta''.","Easy"
"Le ganglioneurome est une lésion bénigne.","True","Le document : ''Ganglioneurome (lésion bénigne)''.","Easy"
"À l'échographie anténatale, le neuroblastome se présente comme une lésion surrénalienne kystique ou solide.","True","Le document : ''L'échographie montrant une lésion surrénalienne (kystique ou solide)''.","Easy"
"La tumeur principale du neuroblastome est habituellement bien limitée et encapsulée.","False","Le document : ''Habituellement, la tumeur principale est mal limitée, infiltrante''.","Easy"
"Le neuroblastome peut se révéler par une diarrhée motrice.","True","Le document : ''Une diarrhée motrice'' comme signe révélateur.","Easy"
"Les calcifications sont rares dans les neuroblastomes.","False","Le document : ''La tumeur présente des calcifications 8 fois sur 10'' (fréquentes).","Easy"
"L'élévation des catécholamines urinaires est pathognomonique du neuroblastome.","True","Le document : ''PATHOGNOMONIQUE''.","Easy"
"La scintigraphie à la MIBG est utilisée pour le diagnostic des métastases.","True","Le document : ''la scintigraphie à la MIBG (métastases)''.","Easy"
"L'amplification du proto-oncogène N-myc n'a pas d'intérêt pronostique.","False","Le document : ''Intérêt pronostique de l'amplification de Proto oncogène N-myc''.","Easy"
"La radiothérapie est largement utilisée en première intention dans le neuroblastome.","False","Le document : ''La radiothérapie (moins utilisé actuellement)''.","Medium"
"La chirurgie du neuroblastome a pour objectif d'éviter une mutilation.","True","Le document : ''2. Eviter une mutilation''.","Medium"
"La laminectomie est indiquée pour les tumeurs en sablier.","True","Le document : ''Si tumeur en sablier : la laminectomie (on ouvre la colonne vertébrale)''.","Medium"
"Les formes néonatales de neuroblastome sont mal limitées et d'exérèse difficile.","False","Le document : ''Formes néonatales : la tumeur est bien limitée, encapsulée, mollasse et d'exérèse facile''.","Medium"
"La localisation centrale du neuroblastome est péri vasculaire.","True","Le document : ''Centrale : péri vasculaire, développée aux dépens du sympathique péri-aortique''.","Medium"
"Un syndrome oculo-cérébello-myoclonique peut révéler un neuroblastome.","True","Le document : ''Un syndrome Occulo-cérébello-myoclonique''.","Medium"
"L'ASP montre des calcifications dans les neuroblastomes.","True","Le document : ''ASP : images de calcification''.","Medium"
"La férritinémie est diminuée dans les neuroblastomes.","False","Le document : ''Férritinémie, NSE, LDH (aug)'' - donc augmentée.","Medium"
"Le myélogramme et les biopsies médullaires recherchent des métastases médullaires.","True","Le document : ''Les métastases médullaires : myélogrammes, des biopsies médullaires''.","Medium"
"La voie d'abord chirurgicale est toujours une simple laparotomie médiane.","False","Le document : ''Voie d'abord : transversale, pouvant être agrandie en thoracophrénolaparotomie''.","Medium"
"Chez l'enfant de moins de 1 an, le pronostic est le meilleur.","True","Le document : ''Chez l'enfant moins de 1 an : ... le meilleur pronostic''.","Medium"
"Le neuroblastome peut siéger uniquement dans la région abdominale.","False","Le document : ''pouvant siéger de la région cervicale au petit bassin''.","Medium"
"La diarrhée motrice est un signe rare de neuroblastome.","True","Le document : ''Une diarrhée motrice'' (cité parmi les signes, mais rare par rapport à la masse abdominale).","Medium"
"Les métastases orbitaires peuvent révéler un neuroblastome.","True","Le document : ''Exceptionnellement : Métastases (douleurs osseuses, métastases orbitaires, gros foie)''.","Medium"
"Le traitement des tumeurs non métastatiques est une chimiothérapie puis chirurgie.","False","Le document : ''Les tumeurs non métastatiques : chirurgie d'emblée discutée- chimiothérapie'' (chirurgie d'abord).","Difficult"
"Le pronostic des neuroblastomes est excellent selon le document.","False","Le document : ''Pronostic : réservé, encore grave''.","Difficult"
"La localisation centrale du neuroblastome est au contact de l'artère mésentérique supérieure (AMS).","True","Le document : ''au contact de l'AMS, du tronc cœliaque et de l'origine de la veine porte''.","Difficult"
"Un tableau de compression médullaire peut révéler un neuroblastome en sablier.","True","Le document : ''Plus rare : tableau de compression médullaire, en rapport avec une tumeur en sablier''.","Difficult"
