"question","answer","explanation","difficulty"
"La lèpre est due à une mycobactérie.","True","'Mycobactérieum leprae (famille BAAR)'","Easy"
"La lèpre touche uniquement la peau.","False","'Touché la peau, muqueuse et nerf'","Easy"
"En 2021, il y a eu plus de 10 000 nouveaux cas de lèpre.","False","'1700 cas de nouveau par an en 2021'","Easy")
"La lèpre est une maladie non transmissible.","False","'Maladie transmissible'","Easy"
"Selon l'OMS, plus de 5 lésions cutanées définissent une forme pauci bacillaire.","False","'Plus de 5 lésions : multi bacillaire'","Easy")
"La bacilloscopie négative classe le patient en pauci bacillaire.","True","'Négatif : pauci bacillaire'","Easy"
"La forme lépromateuse est la plus grave.","True","'forme grave : forme lépromateuse'","Easy"
"La forme tuberculoïde est la moins grave.","True","'forme moins grave : forme tuberculoïde'","Easy"
"Le faciès léonin est caractéristique de la forme tuberculoïde.","False","'bout du nez et oreille : faciès léonin' dans forme lépromateuse","Easy"
"Le léprome est un nodule de la lèpre lépromateuse.","True","'léprome : nodule ou papulo-nodulaire'","Easy")
"Dans la forme tuberculoïde, il y a plus de 5 lésions.","False","'moins de 5 lésions'","Easy")
"La lèpre nerveuse pure n'a pas de lésions cutanées.","True","'aucune lésion cutanée'","Easy")
"La PCR confirme la lèpre nerveuse pure.","True","'confirmation par PCR'","Easy")
"La réaction de type 1 est appelée érythème noueux lépreux.","False","'réaction de type 2 : érythème noueux lépreux'","Easy")
"La réaction de type 2 touche principalement la forme lépromateuse.","True","'principalement la forme LL'","Easy")
"La réaction lépreuse nécessite l'arrêt du traitement anti-lépreux.","False","'Continuer l’anti-lépreux'","Easy")
"Les corticoïdes sont utilisés dans le traitement des réactions lépreuses.","True","'Corticoide : prednisolone'","Easy")
"La femme enceinte atteinte de lèpre ne doit pas être traitée.","False","'On peut toujours traiter la femme enceinte'","Easy")
"Le VIH+ sous ARV peut développer une lèpre par syndrome de restauration immunitaire.","True","'Sd de restauration immunitaire : responsable de l’infection lépreux sous antirétroviraux (ARV)'","Easy")
"L'examen bactériologique utilise la coloration de Gram.","False","'Coloration de Ziehl Nelsen'","Easy")
"La cellule de Virchow est pathognomonique de la lèpre.","True","'Cellule pathognomonique : cellule de Virchow'","Easy)
"L'absence de cellule de Virchow exclut la lèpre.","False","'son absence n’exclut pas la lèpre'","Easy")
"La PCR est positive dans 90% des formes lépromateuses.","True","'positif 90% des formes lépromateux'","Easy")
"La PCR est positive dans 90% des formes tuberculoïdes.","False","'20 % forme tuberculoïde'","Easy")
"Mycobacterium leprae est un bacille acido-alcoolo-résistant (BAAR).","True","'BAAR'","Easy")
"La taille du bacille de Hansen est de 10 à 20 µm.","False","'1 -8 µm'","Easy")
"Le réservoir de la lèpre est exclusivement humain.","True","'Spécifiquement humaine'","Easy")
"La voie respiratoire est la principale porte d'entrée.","True","'la voie de pénétration est la voie respiratoire'","Easy)
"Le traitement de la lèpre est gratuit depuis 2000.","False","'Depuis 1995'","Easy")
"La rifampicine fait partie du traitement de la lèpre.","True","'Rifampicine (RMP)'","Easy")
"La clofazimine n'est pas utilisée dans le traitement de la lèpre.","False","'Clofazimine'","Easy")
"La durée du traitement multi bacillaire est de 6 mois.","False","'12 mois'","Easy")
"La durée du traitement pauci bacillaire est de 6 mois.","True","'Duré 6 mois'","Easy")
"Le mal perforant est une complication neurologique de la lèpre.","True","'mal perforant : ulcération chronique sans cicatrisation'","Easy")
"La main en griffe est une séquence motrice de la lèpre.","True","'mains en griffe (griffe cubitale, main de singe)'","Easy")
"Le steppage est un trouble de la marche observé dans la lèpre.","True","'steppage au niveau du pied'","Easy")
"L'atteinte muqueuse se manifeste par une rhinite.","True","'rhinite (atteint muqueuse)'","Easy")
"L'atteinte oculaire se manifeste par une conjonctivite.","True","'conjonctivite (œil rouge)'","Easy")
"Dans la forme borderline borderline, les lésions mesurent 1-2 cm.","False","'5 -10 cm'","Medium")
"La normoesthésie est caractéristique de la forme borderline lépromateuse.","True","'normoésthésique'","Medium")
"L'hypertrophie nerveuse est un signe précoce de la lèpre lépromateuse.","True","'hypertrophie nerveuse (tuméfaction)'","Medium")
"La douleur nerveuse à la palpation est de type brûlure.","False","'décharge électrique'","Medium")
"L'index morphologique évalue la disposition des bactéries.","True","'index morphologique (IM) permettant la disposition de bactérie'","Medium")
"L'eczématide achromiante est un diagnostic différentiel de lésion hypochromique.","True","'Eczématide achromiante'","Medium")
"Le vitiligo donne des lésions sensibles.","True","'Lésion sensible'","Medium")
"La sarcoïdose multi lésionnelle est un diagnostic différentiel des lésions papulo-nodulaires.","True","'Sarcoïdose multi lésionnel'","Medium")
"La maladie de Kaposi donne des lésions péri-vasculaires.","True","'Maladie de Kaposi (péri-vasculaire)'","Medium")
"Chez l'enfant, la lèpre se présente sous forme lépromateuse.","False","'Forme intermédiaire (borderline)'","Medium")
"La streptomycine en prise unique est proposée aux autres enfants de la famille.","True","'Traiter les autres enfants de la famille (prise unique de streptomycine)'","Medium")
"La grossesse peut déclencher une réaction lépreuse.","True","'une grossesse peut aggraver la lèpre et peut entrainer une réaction lépreuse'","Medium")
"La réaction de type 1 peut entraîner une arthrite.","True","'arthrite, tendinite, ténosynovite'","Difficult")
"La réaction de type 2 peut se compliquer d'amylose rénale.","True","'amylose secondaire : évolution vers insuffisance rénale'","Difficult")
"La réaction de type 2 entraîne toujours un déficit sensitivo-moteur.","False","'Rarement de déficit sensitivo-moteur'","Difficult")
