"term","definition","contextual_explanation"
"Ictère","Coloration jaune de la peau et des muqueuses due à une augmentation de la bilirubinémie. Visible si bilirubinémie totale > 50 µmol/L. Subictère : 25-50 µmol/L.","La démarche diagnostique doit être rigoureuse devant des étiologies multiples."
"Bilirubine libre (non conjuguée)","Bilirubine transportée dans le sang liée à l’albumine. Insoluble. Augmentée dans les hémolyses et les maladies de Gilbert et Crigler-Najjar.","Normale dans le sang : essentiellement bilirubine libre, pas de bilirubine conjuguée."
"Bilirubine conjuguée","Bilirubine rendue hydrosoluble par glucuro-conjugaison dans l’hépatocyte (action de la glucuronyl-transférase). Augmentée dans les cholestases.","Dans l’ictère cholestatique, la bilirubine conjuguée représente >75% de la bilirubinémie totale."
"Glucuronyl-transférase","Enzyme hépatique responsable de la conjugaison de la bilirubine (transformation en bilirubine conjuguée hydrosoluble).","Son déficit est responsable de la maladie de Gilbert (activité diminuée) et du syndrome de Crigler-Najjar (inactivation totale ou partielle)."
"Cholestase","Syndrome biologique caractérisé par une augmentation de la bilirubine conjuguée, des phosphatases alcalines, des Gamma-GT et du cholestérol.","L’ictère cholestatique peut être extra-hépatique (obstacle sur les voies biliaires, dilatation à l’échographie) ou intra-hépatique (sans dilatation)."
"Hépatomégalie","Augmentation de volume du foie. Dans l’ictère cholestatique : ferme, surface régulière, bord inférieur mousse.","Signe clinique fréquent."
"Grosse vésicule palpable","Masse piriforme au niveau de l’hypochondre droit, sous le foie, traduisant un obstacle au niveau du cholédoque.","Signe clinique important dans la cholestase extra-hépatique."
"VBIH / VBEH","Voies biliaires intra-hépatiques et voies biliaires extra-hépatiques. Leur dilatation à l’échographie signe une cholestase extra-hépatique (obstacle en aval).","Examen clé : échographie abdominale."
"CPRE","Cholangio-pancréatographie rétrograde par voie endoscopique. Opacification rétrograde de la voie biliaire principale et du canal de Wirsung. Permet également une biopsie de l’ampoule de Vater.","Examen de deuxième intention en cas d’étiologie imprécise de cholestase."
"CPTH","Cholangiographie trans-paréto-hépatique. Opacification des voies biliaires par ponction hépatique transcutanée avec injection de produit de contraste.","Technique d’exploration des voies biliaires."
"Écho-endoscopie pancréatique","Fibroscope avec une sonde à son extrémité, permettant une exploration des voies biliaires et du pancréas avec une grande sensibilité.","Examen de deuxième intention."
"Bili-IRM","IRM des voies biliaires, permettant l’analyse de la vésicule et des voies biliaires. Exploration par excellence des voies biliaires.","Examen non invasif de deuxième intention."
"Maladie de Gilbert","Ictère à bilirubine libre héréditaire par diminution de l’activité de la bilirubine-glucuronyl-transférase. Survient chez le sujet jeune (15-20 ans), ictère modéré déclenché par fatigue ou infection. Bénin.","Diagnostic différentiel des ictères non cholestatiques."
"Syndrome de Crigler-Najjar","Maladie congénitale autosomale récessive rare, due à une mutation du gène de la glucuronyl-transférase avec inactivation totale ou partielle, parfois incompatible avec la vie.","Ictère grave à bilirubine libre."
"Lithiase cholédocienne","Présence de calculs dans le cholédoque (voie biliaire principale). Obstacle intraluminal, cause fréquente de cholestase extra-hépatique.","Principale étiologie de cholestase extra-hépatique avec le cancer de la tête du pancréas."
"Cancer de la tête du pancréas","Tumeur maligne pancréatique siégeant à la tête, comprimant le cholédoque (obstacle extra-pariétal). Cause fréquente de cholestase extra-hépatique.","À rechercher devant une dilatation des voies biliaires et une masse pancréatique."
"Tumeur de Klatskin","Cancer de la convergence des canaux hépatiques. Obstacle pariétal du cholédoque.","Étiologie de cholestase extra-hépatique."
"Cholangiocarcinome","Cancer de la voie biliaire principale. Obstacle pariétal.","Étiologie maligne."
"Cholangite sclérosante","Atteinte inflammatoire et fibrosante des voies biliaires intra- et extra-hépatiques, entraînant un rétrécissement et une obstruction.","Cause de cholestase extra-hépatique par obstacle pariétal."
"Ampullome vatérien","Tumeur se développant à partir du canal de Wirsung, du canal commun bilio-pancréatique et de la papille (ampoule de Vater). Obstacle extra-pariétal.","Étiologie rare de cholestase extra-hépatique."
"Hémobilie","Présence de sang (coagulé ou non) dans la bile, pouvant obstruer la lumière du cholédoque. Causes : contusion du foie, PBH, rupture d’anévrisme de l’artère hépatique.","Obstacle intraluminal rare."
"Cholangite biliaire primitive","Destruction inflammatoire progressive des canaux biliaires interlobulaires. Cholestase intra-hépatique ancienne. Diagnostic : anticorps anti-mitochondries de type M2.","Cause de cholestase intra-hépatique sans dilatation, foie d’aspect normal."
"Granulomatose hépatique","Présence de granulomes dans le foie, pouvant être due à des infections (tuberculose, lèpre, candidose, ascaridiose), des médicaments, la sarcoïdose, des vascularites (maladie de Horton, périartérite noueuse), la maladie de Hodgkin.","Cause de cholestase intra-hépatique ancienne."
"Maladie de Dubin-Johnson","Maladie génétique à bilirubinémie conjuguée due à une anomalie du transporteur ABCC2 (MRP2). Caractéristique : coloration noire du foie à la laparoscopie et à la biopsie, anomalie du test à la BSP (remontée à 50 min). Bénigne.","Ictère conjugué génétique sans cholestase (pas d’augmentation des PAL)."
"Maladie de Rotor","Mutation inactivant le transporteur OATP1. Hyperbilirubinémie mixte (conjuguée et libre). Différence avec Dubin-Johnson : absence de coloration noire du foie, courbe BSP ralentie sans remontée.","Diagnostic différentiel de Dubin-Johnson."
"BSP (bromosulfophtaléine)","Colorant transporté par le même transporteur que la bilirubine conjuguée (ABCC2). Utilisé dans les tests fonctionnels hépatiques.","Anomalie d’élimination dans la maladie de Dubin-Johnson (remontée) et la maladie de Rotor (ralentissement sans remontée)."
