"question","answer","explanation","difficulty"
"Le cancer de l’œsophage est plus fréquent chez la femme que chez l’homme.","False","Le document : 'Cancer de l’homme (sex ration 15/1)'","Easy"
"Le pic d’incidence du cancer de l’œsophage se situe entre 65 et 70 ans.","True","Le document : 'Pic d’incidence entre 65 et 70 ans'","Easy"
"Les cancers épidermoïdes représentent 90-95% des cas.","True","Le document : '90 - 95% = cancers épidermoïdes'","Easy"
"L’alcool et le tabac sont des facteurs de risque indépendants avec effet additif.","False","Le document : '2 facteurs de risques indépendants + relation dose-effet' et 'effet multiplicatif'","Easy"
"La consommation de beurre diminue le risque de cancer de l’œsophage.","False","Le document : 'Augmentation du risque avec la consommation de beurre'","Easy"
"La dysphagie intermittente est un signe d’appel fréquent.","True","Le document : 'Signes d’appel : Une gêne intermittente à la déglutition (9 fois sur 10)'","Easy"
"La fibroscopie digestive haute est l’examen de première intention.","True","Le document : 'Endoscopies + Biopsies = examens de première intention'","Easy"
"L’adénocarcinome de l’œsophage siège préférentiellement dans le segment supérieur.","False","Le document : 'segment inférieur de l’organe'","Easy"
"La tumeur polypoïde ou ulcéro-bourgeonnante représente 60% des aspects macroscopiques.","True","Le document : 'Tumeur polypoïde ou ulcéro-bourgeonnante (60%)'","Easy"
"Le ganglion de Troisier est une métastase sus-claviculaire gauche.","True","Le document : 'Ganglion de Troisier' dans signes d’extension (sus-claviculaire)","Easy"
"La dysphonie est due à une atteinte du nerf vague.","False","Le document : 'Dysphonie par atteinte récurrentielle' (nerf récurrent, branche du vague)","Easy"
"L’association TDM + échoendoscopie permet une précision de 80% du stade TNM.","True","Le document : 'précision proche de 80% du stade TNM'","Easy"
"Le transit œsophagien est l’examen de première intention.","False","Le document : 'Endoscopies + Biopsies = examens de première intention' ; transit en complément","Easy"
"La chirurgie curative est possible chez 50% des patients.","False","Le document : 'seuls 20% peuvent en bénéficier'","Easy"
"La mucosectomie est indiquée pour les cancers superficiels.","True","Le document : 'Traitement curatif = mucosectomie. Indication : cancer superficiel'","Easy"
"L’intervention de Lewis associe laparotomie et thoracotomie droite.","True","Le document : 'Laparotomie première [...] + thoracotomie droite'","Easy"
"La survie à 5 ans des formes curables est de 30-35%.","True","Le document : '30 à 35 % à 5 ans dans les formes curables'","Easy"
