question, answer, explanation, difficulty
"Expliquez le mécanisme de formation du placenta depuis la fécondation jusqu'à J18.", "J5 : syncitiotrophoblaste (pouvoir protéolytique, implantation) ; J18 : formation chambre intervilleuse, plaque choriale (côté embryon) et plaque basale (côté caduque)", "Le document détaille ces étapes", "Difficult"
"Pourquoi l'insuline et la T4 ne traversent-elles pas la barrière placentaire ?", "Car ce sont des hormones peptidiques ou de taille moléculaire trop importante, nécessitant un transporteur spécifique absent", "Document : 'Ne passent pas : T4, insuline'", "Difficult"
"Quel est le rôle du liquide amniotique pendant l'accouchement ?", "Protection contre l'infection, traumatisme, formation de la poche des eaux avec les membranes, lubrification de la voie génitale", "Le document liste ces trois rôles", "Medium"
"Expliquez le cycle du liquide amniotique (origine et élimination).", "Origine : excrétion rénale fœtale +++, sécrétion pulmonaire, transsudation maternelle, sécrétion par l'amnios. Élimination : déglutition fœtale, réabsorption par l'amnios", "Document détaille origine et élimination", "Difficult"
"Quelles sont les trois causes d'hydramnios citées ?", "Profoetus ou macrosomie, diabète, malformations digestives ou cérébrales ou musculaires", "Document : 'Valeur : Profoetus ou macrosomie, Diabète, Malformations digestives ou cérébrales ou musculaires'", "Medium"
"Quelles sont les trois causes d'oligoamnios citées ?", "Fissuration, ischémie fœtale, malformations rénales ou de l'appareil urinaire", "Document : 'Valeur : Fissuration, Ischémie foetale, Malformations rénales ou de l'appareil urinaire'", "Medium"
"Pourquoi le liquide amniotique est-il jaune-vert en cas d'ischémie fœtale ?", "Présence de méconium (premières selles fœtales) évacué par le fœtus en souffrance", "Document : 'Verte = méconial ou purée de pois'", "Medium"
"Expliquez le rôle des cellules anucléées du liquide amniotique au terme.", "Ce sont des cellules desquamées de la peau fœtale ; coloration orange au bleu du Nil = terme, utile pour confirmer rupture des membranes", "Document : 'se colorent en orange par Le bleu du Nil -> évaluation du terme, confirmation de la rupture'", "Difficult"
"Pourquoi un cordon ombilical trop long expose-t-il à des complications obstétricales ?", "Car il peut former des circulaires, nœuds, écharpes, ou procidence", "Document : 'Trop long > 70 cm -> favorise : procidence, circulaire, écharpe, noeud du cordon'", "Medium"
"Quel est l'intérêt du doppler de l'artère ombilicale en obstétrique ?", "Évaluer la résistance vasculaire placentaire et dépister une hypoxie fœtale", "Document : 'Doppler de l'artère ombilical pour évaluer la résistance placentaire (dépistage d'une hypoxie foetale)'", "Medium"
"Quels sont les trois rôles principaux du placenta ?", "Échange materno-fœtal, protection fœtale, immunologique, endocrinologique, métabolique", "Document énumère ces rôles", "Easy"
"Pourquoi le poids placentaire a-t-il un intérêt médico-légal ?", "Car il peut aider à dater la grossesse ou détecter des anomalies (insuffisance placentaire)", "Document : 'D'intérêt médico-légal'", "Medium"
"Expliquez le rôle immunologique du placenta.", "Diminuer la défense immunitaire maternelle pour permettre la tolérance du fœtus semi-allogénique", "Document : 'Diminue la défense immunitaire maternelle pour permettre une certaine tolérance +++'", "Difficult"
"Pourquoi l'amnios est-il très résistant ?", "Car constitué de deux couches tissulaires et imperméable aux germes, protégeant le fœtus", "Document : 'TRES RESISTANTE, imperméable aux germes'", "Medium"
"Quels sont les trois diagnostics à évoquer devant une perte d'eau ?", "Rupture spontanée des membranes, rupture d'hydrocèle décidual, rupture d'une poche amnio-choriale", "Document les énumère", "Medium"
"Quel est le rôle du syncitiotrophoblaste dans l'implantation ?", "Son pouvoir protéolytique digère l'endomètre pour permettre la nidation", "Document : 'Pouvoir protéolytique +++, Assure l'implantation de l'oeuf'", "Medium"
"Pourquoi la chorioamniotite donne-t-elle un liquide nauséabond ?", "Infection bactérienne avec production de substances malodorantes", "Document : 'Nauséabonde : infection = Chorioamniotite'", "Easy"
"Quels sont les trois éléments que peut révéler l'analyse du liquide amniotique sur le plan fœtal ?", "Caryotype (cellules fœtales), maturité pulmonaire (L/S), malformation SNC (alpha-fœtoprotéine)", "Document le détaille", "Medium"
"Expliquez pourquoi l'héparine traverse le placenta et le bismuth non, selon le document.", "Document dit : 'Sauf : héparine, curare, bismuth, arsenic, antimoine, CO' – probablement classification empirique", "Document liste les exceptions", "Difficult"
"Quel est l'intérêt de la présence de cellules souches dans le sang du cordon ?", "Greffes de moelle osseuse pour leucémie", "Document : 'greffes d'organe (moelle osseuse dans la leucémie)'", "Medium"
"Pourquoi le liquide amniotique rouge indique-t-il une mort fœtale ?", "Hémolyse ou diffusion de pigments sanguins après décès", "Document : 'Rouge : Mort foetale'", "Medium"
"Quelles sont les deux pathologies des membranes citées dans le document ?", "Rupture spontanée des membranes, rupture d'hydrocèle décidual, rupture de poche amnio-choriale", "Document les énumère", "Easy"
"Expliquez le mécanisme de l'oligoamnios par malformation rénale.", "Absence de production d'urine fœtale (source principale du LA)", "Document : 'Malformations rénales ou de l'appareil urinaire'", "Medium"
"Pourquoi le cordon ombilical est-il torsadé ?", "Pour résister aux contraintes et faciliter le flux sanguin", "Document : 'Tige conjonctivo-vasculaire tordu (spiral)'", "Medium"
