"front","back","cognitive_level"
"Quelle est la définition du cancer du colon ?","Tumeur maligne primitive développée à partir de la paroi colique. Le diagnostic histologique est un adénocarcinome dans 94% des cas.","Recall"
"Quel est le premier cancer digestif en fréquence dans le monde ?","Le cancer du colon.","Recall"
"Quelle est l’incidence annuelle du cancer du colon chez l’homme et chez la femme ?","Homme : 13 à 24/100.000 ; femme : 12 à 15/100.000.","Recall"
"Quel est le siège topographique le plus fréquent du cancer du colon ?","Le sigmoïde (66%).","Recall"
"Citez les trois formes macroscopiques du cancer du colon.","Végétante, infiltrante, ulcéreuse (ou associées). Propriétés communes : dure, fragile, saignant au contact.","Recall"
"Quel est le type histologique le plus fréquent (94%) et ses sous‑types ?","Adénocarcinome, avec sous‑types : lieberkhunien (73%), colloïde ou mucineux (17%), anaplasique (4%).","Recall"
"Citez trois autres types histologiques rares du cancer du colon.","Carcinoïdes, sarcomes, lymphomes, carcinomes épidermoïdes.","Recall"
"Quelles sont les trois voies d’extension du cancer du colon ?","Par contiguïté, par voies lymphatiques, par voie sanguine portale (métastases).","Recall"
"Quels sont les trois principaux sites de métastases du cancer du colon ?","Foie, péritoine (carcinose péritonéale), poumons, os.","Recall"
"Dans la classification TNM, que signifie Tis ?","Tis : tumeur intra‑épithéliale, ne dépasse pas la sous‑muqueuse.","Recall"
"Dans la classification TNM, que signifie N1 ?","N1 : 1 à 3 ganglions envahis.","Recall"
"Combien de ganglions doivent être prélevés au minimum pour évaluer le statut ganglionnaire ?","Au moins 12 ganglions (8 minimum).","Recall"
"Quels sont les trois principaux troubles fonctionnels révélant un cancer du sigmoïde ?","Hémorragie digestive basse, douleurs abdominales vagues, troubles du transit (constipation, diarrhée ou alternance).","Recall"
"Quels signes généraux (AEG) indiquent un stade avancé ?","Anémie, amaigrissement, asthénie, anorexie, parfois fièvre.","Recall"
"Quelles sont les cinq complications possibles du cancer du colon ?","Occlusion, fistule, infection, perforation, hémorragie, métastases (selon le document, six sont listées).","Recall"
"Quel examen complémentaire est primordial pour le diagnostic du cancer du colon ?","Colonoscopie (coloscopie) totale avec biopsies et examen anatomopathologique.","Recall"
"Quels sont les trois signes radiologiques au lavement baryté ?","Image lacunaire, sténose, rigidité.","Recall"
"Quel est le principal marqueur tumoral dosé dans le cancer du colon ?","L’ACE (antigène carcino‑embryonnaire).","Recall"
"Quels sont les trois groupes à risque pour le cancer du colon ?","Risque moyen (45‑50 ans), risque élevé (ATCD d’adénome, ATCD familiaux, MICI), risque très élevé (PAF et HNPCC).","Recall"
"Quels sont les six diagnostics différentiels du cancer du colon ?","Maladie de Crohn, amibiase intestinale, appendicite pseudo‑tumorale, tuberculose intestinale, sigmoïdite diverticulaire, tumeurs bénignes (polypes).","Recall"
"Quels sont les trois buts du traitement du cancer du colon ?","Soulager le patient, enlever la tumeur, prolonger la survie.","Recall"
"Citez les cinq principes de la chirurgie curative du cancer du colon.","Exploration complète de l’abdomen, ligature première des vaisseaux à leur origine, exérèse en monobloc, respect des marges de résection R0 (plus de 5 cm), intervention de Hartmann possible.","Recall"
"Qu’est‑ce que l’intervention de Hartmann ?","Résection colique avec colostomie (sans rétablissement immédiat de la continuité).","Recall"
"Quels sont les deux moyens palliatifs chirurgicaux ?","Colostomie (aboucher le colon en amont de l’obstacle), dérivation interne (ex : anastomose iléo‑colique gauche).","Recall"
"Quelle est l’indication de la résection endoscopique curative ?","Tumeur superficielle (Tis ou T2 selon le document, mais Tis/T1 généralement ; le document mentionne Tis ou T2 pour résection endoscopique).","Recall"
"Quelle chimiothérapie est citée dans le document ?","5‑FU (fluorouracile) + acide folinique pendant 6 semaines.","Recall"
"Quel est le moyen de dépistage pour le risque moyen (âge > 50 ans) ?","Recherche de sang dans les selles (Hémoccult) tous les 2 ans ; si positif → coloscopie.","Recall"
"Pour les groupes à risque élevé ou très élevé, quelle est la surveillance recommandée ?","Coloscopie régulière (ex : tous les 2 ans) et résection des polypes.","Recall"
"Quelle est l’indication de la chimiothérapie adjuvante ?","Si N+ (ganglions positifs) ou résection R1 ou R2.","Recall"
"Comment traite‑t‑on un cancer synchrone (droit et gauche en même temps) ?","Colectomie subtotale.","Recall"
"Quelle est la prise en charge d’un cancer colique en occlusion ?","Endoprothèse colique d’attente, ou colostomie puis chirurgie, ou méthode de Hartmann, ou résection + anastomose.","Recall"
"Quelle est la prise en charge d’un cancer colique perforé ?","Résection colique sans rétablissement (avec colostomie), ou colectomie subtotale sans rétablissement en cas de perforation diastatique.","Recall"
"Quelle est la surveillance à long terme après traitement (coloscopie) ?","Coloscopie à 6 mois, 1 an, 3 ans, puis tous les 5 ans.","Recall"
"Quelle est la survie à 5 ans du cancer du colon ?","50 à 60%.","Recall"
"Quelle est la mortalité opératoire ?","2 à 6%.","Recall"
"Quelle est la fréquence des fistules anastomotiques ?","Inférieure à 5%.","Recall"
"Quand survient la majorité des récidives ?","Dans les 2 ans.","Recall"
"Quelle est la conclusion principale du document ?","Le cancer du colon est le plus fréquent des cancers digestifs, avec une mortalité importante. Le diagnostic repose sur la coloscopie. Le dépistage est essentiel pour améliorer le pronostic.","Recall"
