"front","back","cognitive_level"
"Quels sont les seuils pour confirmer une hématurie à la BU, à l’ECBU et au compte d’Addis ?","BU : à partir de ++ (hémoglobine). ECBU : > 5 GR/mm3. Compte d’Addis : > 5 000 GR/mn pour une microhématurie, > 500 000 GR/mn pour une macrohématurie.","Recall"
"Quels sont les diagnostics différentiels de l’hématurie cités dans le document ?","Aliments (betterave) et médicaments.","Recall"
"Quelles caractéristiques de l’hématurie faut-il préciser ?","Mode de début, durée, couleur (bouillon sale, rosée, rouge porto), présence de caillots, permanence (initiale, terminale, totale), antécédents personnels et familiaux (ethnie, origine géographique, maladie rénale familiale), traumatisme, autres signes.","Recall"
"Quels bilans doivent être prescrits devant une hématurie ?","Échographie abdominale systématique +/- ASP ; ECBU ; protéinurie, microalbuminurie ; urée, créatininémie ; protidémie, dosage du complément C3 ; +/- étude morphologique des GR.","Recall"
"Quelles sont les deux grandes catégories d’étiologies de l’hématurie ?","Hématuries glomérulaires et hématuries non glomérulaires.","Recall"
"Citez quatre causes d’hématuries glomérulaires.","Glomérulonéphrite aiguë, purpura rhumatoïde, syndrome d’Alport, maladie de Berger.","Recall"
"Citez six causes d’hématuries non glomérulaires.","Infections (cystite, urétrite, pyélonéphrite aiguë – micro, bilharziose) ; lithiase (vésicale, urétérale) ; tumeurs (néphroblastome, rhabdomyosarcome vésical) ; polykystose rénale ; traumatisme rénal ; thrombose vasculaire (survenant lors d’asphyxie périnatale, déshydratation, syndrome néphrotique).","Recall"
"Quelles autres causes non glomérulaires sont mentionnées ?","Drépanocytose (congestion et nécrose papillaire) ; troubles de la coagulation (hémophilie A, maladie de Willebrand) ; présence de corps étranger ou polype dans la vessie ; angiome, fistule artérioveineuse.","Recall"
"Dans quels contextes survient une thrombose vasculaire responsable d’hématurie ?","Au cours d’asphyxie périnatale, déshydratation, syndrome néphrotique.","Recall"
"Un enfant a une hématurie rouge porto avec des caillots, sans protéinurie. L’échographie montre une lithiase vésicale. Quelle est l’origine ?","Hématurie non glomérulaire (lithiase).","Application"
"Un enfant présente une hématurie bouillon sale, une protéinurie et un complément C3 bas. Quelle étiologie est la plus probable ?","Glomérulonéphrite aiguë (hématurie glomérulaire).","Application"
"Quel est le principe thérapeutique de l’hématurie selon l’introduction ?","Le traitement est étiologique.","Recall"
