question, answer, explanation, difficulty
"Expliquez le mécanisme de l'acidité vaginale normale et son importance.", "Les bacilles de Döderlein transforment le glycogène (oestrogéno-dépendant) en acide lactique, créant un pH acide (3,8-4,6) qui protège contre les infections", "Le document : 'Glycogène intracellulaire -> acide lactique par les bacilles de Döderlein (...) pH entre 3,8 et 4,6'", "Medium"
"Quels sont les trois types de vulvovaginites infectieuses les plus fréquentes ?", "Vulvovaginite à Trichomonas, vulvovaginite mycosique (Candida), vaginose bactérienne (Gardnerella)", "Document détaille ces trois entités", "Easy"
"Comparez les leucorrhées des trois principales vulvovaginites infectieuses.", "Trichomonas : abondantes, fluides, verdâtres, spumeuses, nauséabondes ; Mycosique : blanchâtres, caillobotées ; Vaginose bactérienne : abondantes, fluides, homogènes, blanc-grisâtres, nauséabondes", "Document décrit chaque aspect", "Medium"
"Pourquoi l'antibiothérapie favorise-t-elle les mycoses vaginales ?", "Car elle détruit la flore vaginale normale (Lactobacillus), permettant la prolifération de Candida albicans", "Document : 'Antibiothérapie : infection mycosique par destruction de la flore vaginale normale'", "Medium"
"Quels sont les signes cliniques permettant de différencier vulvovaginite mycosique et vaginose bactérienne ?", "Mycosique : prurits, brûlures, vulve sèche et oedématiée, lésions grattage, leucorrhées caillobotées ; Vaginose bactérienne : prurits rares, pas d'inflammation, leucorrhées grisâtres fluides, test potasse +, pH>4,5, clue cells", "Document oppose ces entités", "Difficult"
"Expliquez le syndrome de Hugh-Fits-Curtis.", "Douleurs péri-hépatiques survenant dans les suites d'une infection génitale haute (souvent à Chlamydia), par extension inflammatoire au péritoine sous-diaphragmatique", "Document : 'Douleurs péri-hépatiques : syndrome de Hugh-Fits-Curtis'", "Difficult"
"Quels sont les trois éléments de gravité d'une leucorrhée ?", "Terrain immunodéprimé, grossesse (risque MAP/GEU), étiologie néoplasique ou infection haute (stérilité)", "Document : 'Gravité liée au terrain, Gravité liée à l'étiologique'", "Medium"
"Pourquoi une cervicite à Chlamydia est-elle particulièrement redoutable ?", "Car souvent asymptomatique, elle peut passer inaperçue et entraîner des séquelles tubaires (stérilité, GEU)", "Document : 'Parfois asymptomatiques' et 'antécédent de GEU : dues aux infection par Chlamydia'", "Medium"
"Quelles sont les indications du prélèvement vaginal systématique ?", "Symptomatologie atypique, urétrite chez le partenaire, échec du traitement médical, récidives", "Document : 'Indiqué si : Symptomatologie atypique, Urétrite chez le partenaire, Echec du traitement médical, Récidives'", "Medium"
"Expliquez le mécanisme de la vulvovaginite atrophique sénile.", "Carence oestrogénique post-ménopausique → atrophie de la muqueuse vaginale, disparition des lactobacilles, alcalinisation, fragilité", "Document : 'Due à une carence hormonale'", "Medium"
