"term","definition","contextual_explanation"
"corps étranger laryngo-trachéo-bronchique (CE LTB)","Enclavement d’un corps étranger dans les voies aériennes inférieures","Accident dû à l’inhalation d’objet ou de substance alimentaire. Urgence vitale."
"VAI","Voies aériennes inférieures","Localisation du corps étranger (larynx, trachée, bronches)."
"laryngospasme","Contraction brutale et involontaire des muscles du larynx fermant la glotte","Favorisé par l’innervation très riche du larynx chez l’enfant."
"syndrome de pénétration évident","Circonstance où un témoin a assisté à la crise de suffocation","Enfant solitaire/en jeu ou au cours de l’apéritif (cacahuète)."
"accès de suffocation brutale","Épisode subit d’impossibilité respiratoire","Associé à toux violente expulsive, dyspnée, cyanose, cornage, tirage."
"cornage","Bruit respiratoire anormal, sorte de ronflement laryngé","Signe de dyspnée laryngée haute."
"tirage","Signe de lutte respiratoire avec dépression des espaces intercostaux et sus-sternaux","Signe de détresse respiratoire."
"endoscopie bronchique","Examen visuel des bronches par endoscope","Indiquée en urgence même si symptômes régressent."
"syndrome de pénétration passé inaperçu","Aucun témoin n’a assisté à la crise","Cas le plus fréquent. Signes discrets : toux rebelle, polypnée sifflante."
"polypnée sifflante","Respiration rapide avec un sifflement","Signe de CE bronchique passé inaperçu."
"bronche souche","Première division bronchique après la trachée","Siège de blocage préférentiel du CE dans les formes passées inaperçues."
"asymétrie de ventilation","Différence de bruit respiratoire entre les deux hémithorax","Signe auscultatoire d’un CE obstructif."
"hypersonorité","Sonorité anormalement claire à la percussion","Signe d’emphysème obstructif."
"matité","Sonorité anormalement terne à la percussion","Peut être observée en cas de CE."
"emphysème sous-cutané","Présence d’air dans les tissus sous-cutanés","Signe de complication (perforation)."
"wheezing","Sifflement expiratoire","Signe d’obstruction bronchique."
"murmure vésiculaire","Bruit respiratoire normal perçu à l’auscultation pulmonaire","Sa diminution unilatérale est un signe d’obstruction."
"râles sibilants inspiratoires","Bruits sifflants à l’inspiration","Signe d’obstruction bronchique."
"CE laryngé","Corps étranger bloqué dans l’étage sus-glottique ou sous-glottique","Risque élevé de mort subite. Signes : dyspnée, tirage, cornage, toux rauque, voix éteinte."
"CE trachéal","Corps étranger bloqué dans la trachée","Signes : dyspnée, toux coqueluchoïde, spasmes laryngés. Auscultation : bruit de drapeau."
"bruit de drapeau","Bruit anormal à l’auscultation trachéale","Signe pathognomonique d’un CE trachéal."
"sous-glotte","Partie du larynx située sous les cordes vocales","L’enclavement du CE à ce niveau risque la mort subite."
"laryngite aiguë","Inflammation aiguë du larynx","Diagnostic différentiel du CE LTB : dyspnée laryngée + contexte infectieux."
"clichés pulmonaires en inspiration et expiration","Radiographies thoraciques réalisées en deux temps respiratoires","Permet de visualiser les signes indirects d’un CE obstructif."
"CE radio-opaque","Corps étranger visible sur radiographie standard","Rare. Diagnostic évident."
"CE radio-transparent","Corps étranger non visible sur radiographie standard","Rechercher des signes indirects (non obstructif : examen normal ; obstructif : atélectasie, emphysème, refoulement médiastinal)."
"atélectasie","Affaissement du parenchyme pulmonaire","Signe indirect d’un CE obstructif."
"emphysème obstructif","Distension alvéolaire par piégeage d’air en aval d’un obstacle","Signe indirect d’un CE obstructif."
"refoulement médiastinal","Déplacement des organes médiastinaux","Signe indirect d’un CE obstructif."
"abcès du poumon","Collection purulente intrapulmonaire","Image radiologique au stade de complication."
"pneumopathies récidivantes","Infections pulmonaires répétées","Signe de complication d’un CE méconnu."
"laryngospasme post-opératoire","Spasme laryngé survenant après extraction","Complication post-opératoire exceptionnelle."
"cacahuète","Arachide","CE végétal le plus dangereux car gonfle -> obstructif -> asphyxie."
"trachéotomie expéditive","Ouverture urgente de la trachée sans préparation","Conduite à tenir en extrême urgence. Éviter l’intubation."
"extraction endoscopique au tube rigide","Retrait du CE par endoscopie avec tube métallique rigide sous AG","Traitement de référence."
"manœuvre de Heimlich","Hyperpression abdominale chez l’adulte pour expulser un CE","Dangereuse car risque d’asphyxie par enclavement sous-glottique."
"manœuvre de Mofenson","Hyperpression abdominale chez l’enfant pour expulser un CE","Dangereuse car risque d’asphyxie par enclavement sous-glottique."
"extraction digitale","Tentative de retrait du CE avec les doigts dans la bouche","Formellement interdite."
