"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de la rétinopathie diabétique selon le document ?","Macroangiopathies rétiniennes secondaires à l’hyperglycémie chronique","Microangiopathies rétiniennes secondaires à des atteintes capillaires liées à une hyperglycémie chronique","Neuropathie rétinienne d’origine métabolique","Atteinte dégénérative des photorécepteurs","2","Le document définit : « Microangiopathies rétiniennes secondaires à des atteintes capillaires liées à une hyperglycémie chronique ».","Easy"
"Quelle est la prévalence mondiale de la rétinopathie diabétique selon le document ?","28,7%","35%","40%","50%","1","Le document indique : « Prévalence de la RD = 28,7% ».","Easy"
"Quelle est la première cause de cécité avant 50 ans dans le monde ?","La cataracte","Le glaucome","La rétinopathie diabétique","La DMLA","3","Le document précise : « Première cause de cécité avant 50 ans ».","Easy"
"Quelle est l’incidence de la rétinopathie diabétique après 15 à 20 ans d’évolution chez le diabétique de type 1 ?","60%","75%","95%","100%","3","Le document indique : « Type 1 : 95% ».","Easy"
"Quel est le premier signe visible au fond d’œil de la rétinopathie diabétique ?","Hémorragies intra-rétiniennes","Exsudats secs","Microanévrysmes","Nodules cotonneux","3","Le document précise : « Microanévrysmes : Premiers signes visibles ».","Easy"
"Quelles sont les deux lésions initiales de la rétinopathie diabétique ?","Hyperplasie endothéliale et thrombose","Epaississement de la membrane basale et dégénérescence des péricytes","Néovascularisation et œdème maculaire","Hémorragies et exsudats","2","Le document liste : « Epaississement de la membrane basale de l’endothélium capillaire rétinien, Dégénérescence des péricytes ».","Easy"
"Quel est le rôle du Sorbitol dans la physiopathologie de la rétinopathie diabétique ?","Il active les facteurs de croissance","L’hyperglycémie active la voie aldolase-réductase avec accumulation intracellulaire de Sorbitol, entraînant des lésions capillaires","Il est un facteur de croissance endothélial","Il protège les péricytes","2","Le document explique : « activation de la voie aldolase-réductase -> accumulation intra-cellulaire de Sorbitol ».","Easy"
"Quel facteur de croissance est responsable de la néovascularisation dans la rétinopathie diabétique ?","FGF","VEGF (Vascular Endothelium Growth Factor)","TGF-bêta","PDGF","2","Le document indique : « sécrétion de facteur de croissance angiogénique : VEGF -> néovascularisation ».","Easy"
"Quels sont les deux phénomènes évolutifs concomitants dans la rétinopathie diabétique ?","Atrophie optique et cataracte","Phénomènes occlusifs (périphérie) et phénomènes œdémateux (macula)","Hémorragies et thromboses","Décollement et néovascularisation","2","Le document précise : « Phénomènes occlusifs surtout au niveau de la rétine périphérique – Phénomènes œdémateux touchant surtout la région centrale et maculaire ».","Easy"
"Quels sont les trois facteurs favorisants de la rétinopathie diabétique cités ?","HTA, hyperlipidémie, hyperuricémie, tabac, alcool","Âge, sexe, génétique","Myopie, astigmatisme, glaucome","Grossesse, ménopause, contraception","1","Le document liste : HTA, hyperlipidémie, hyperuricémie, tabac, alcool.","Easy"
"Quel examen ophtalmologique permet de mesurer quantitativement l’épaisseur maculaire ?","Angiographie à la fluorescéine","OCT (Tomographie à cohérence optique)","Échographie oculaire","Biométrie","2","Le document précise : « OCT : Mesure quantitative de l’épaisseur maculaire ».","Easy"
"Quel est l’aspect angiographique des microanévrysmes ?","Hypofluorescence","Hyperfluorescence précoce","Hyperfluorescence tardive","Hypofluorescence précoce puis hyperfluorescence tardive","2","Le document indique dans le tableau : « Microanévrysmes -> Hyperfluorescence précoce ».","Easy"
"Quel est le type de rétinopathie diabétique associée à la présence de néovaisseaux pré-rétiniens ?","RDNP minime","RDNP modérée","RDNP sévère","Rétinopathie diabétique proliférante (RDP)","4","Le document classe : « Rétinopathie diabétique proliférante (RDP) – Néovaisseaux pré-rétiniens ».","Easy"
"Quelle est la classification de la rétinopathie diabétique à 6 stades selon le document ?","Classification de Keith et Wagener","Classification de Kirkendall","Classification selon la société francophone du diabète","Classification de Wong et Mitchell","3","Le document indique : « 6 stades évolutifs selon la société francophone du diabète ».","Easy"
"Quel est le traitement de première intention des facteurs de risque dans la rétinopathie diabétique ?","Photocoagulation au laser","Vitrectomie","Equilibre de la glycémie et de la tension artérielle","Injections d’anti-VEGF","3","Le document précise : « Dans tous les cas : Equilibre glycémique et tensionnel, Traitement des facteurs de risques ».","Easy"
"Quel est le délai de réalisation du premier fond d’œil chez un patient diabétique de type 2 ?","Dès le diagnostic","5 ans après le diagnostic","10 ans après le diagnostic","Aucun fond d’œil nécessaire","1","Le document indique : « Diabète type 2 : fond d’œil dès le diagnostic ».","Easy"
"À partir de quand réalise-t-on le premier fond d’œil chez un patient diabétique de type 1 ?","Au diagnostic","5 ans après la découverte de la maladie","10 ans après","1 an après","2","Le document précise : « Diabète de type 1 : Fond d’œil 5 ans après la découverte de la maladie ».","Easy"
"Quelle est la surveillance annuelle recommandée en l’absence de rétinopathie diabétique ?","FO annuel seulement","Angiographie annuelle","OCT annuel","Aucune surveillance","1","Le document indique : « Pas de RD : surveillance annuelle du FO ».","Easy"
"Quels sont les microanévrysmes ?","Dilatation veineuse","Ectasies de la paroi capillaire, tâches ponctiformes rouges","Hémorragies","Exsudats","2","Le document définit : « Ce sont des ectasies de la paroi capillaire – Tâche ponctiforme rouge ».","Easy"
"Qu’est-ce que les nodules cotonneux ?","Dépôts lipidiques","Lésions blanches superficielles secondaires à l’occlusion des artérioles pré-capillaires","Hémorragies","Microanévrysmes","2","Le document définit : « Nodules cotonneux : Lésions blanches, superficielles – Secondaire à des occlusions des artérioles pré-capillaire ».","Easy"
"Quelle est la fréquence de la rétinopathie diabétique à Antananarivo en 2015 ?","28,7%","40%","65%","75%","3","Le document indique : « Antananarivo : 65 % (2015) ».","Easy"
"Quel est le pourcentage de diabétiques de type 2 présentant une rétinopathie diabétique dès la découverte du diabète ?","5%","10%","20%","30%","3","Le document précise : « 20% des diabétiques de type 2 présentent une RD dès la découverte ».","Easy"
"Quelle est la définition de la maculopathie diabétique ?","Atteinte de la papille","Œdème maculaire diabétique (accumulation de liquide dans la rétine maculaire)","Hémorragie maculaire","Décollement maculaire","2","Le document définit : « Accumulation de liquide dans le compartiment extra-cellulaire de la rétine -> œdème maculaire ».","Medium"
"Quel signe angiographique correspond à une hypofluorescence précoce puis hyperfluorescence tardive ?","Microanévrysmes","Hémorragies","Nodules cotonneux","Néovascularisation","3","Le document indique : « Nodules cotonneux -> Hypofluorescence précoce puis hyperfluorescence tardive ».","Medium"
"Quel est l’aspect OCT de l’œdème maculaire diabétique ?","Diminution de l’épaisseur maculaire","Augmentation de l’épaisseur maculaire avec diminution ou perte de la dépression fovéolaire","Kyste maculaire isolé","Atrophie maculaire","2","Le document précise : « Augmentation de l’épaisseur maculaire – Diminution ou perte de la dépression fovéolaire ».","Medium"
"Quelles sont les deux complications de la néovascularisation rétinienne ?","Cataracte et glaucome chronique","Hémorragie intravitréenne et décollement de rétine tractionnel","Uvéite et sclérite","Kératite et conjonctivite","2","Le document liste : « Hémorragie rétinienne, intravitréenne – Tissus fibreux de soutien -> DR tractionnel ».","Medium"
