"question","answer","explanation","difficulty"
"La dermatite atopique est une manifestation inflammatoire cutanée chronique associée à l'atopie.","True","Le document définit 'Dermatite atopique ou eczéma atopique : manifestation inflammatoire cutanée chronique et/ou récidivantes associés à l’atopie'.","Easy"
"La prévalence de la dermatite atopique chez les enfants est de 50% dans les études nord-européennes.","False","Le document donne 10-25%, pas 50%.","Easy"
"Le prurit est un signe fonctionnel de la dermatite atopique.","True","'Signe fonctionnel : prurit'.","Easy"
"Chez le nourrisson de moins de 2 ans, les lésions de dermatite atopique prédominent sur les plis de flexion.","False","Avant 2 ans, la topographie est la convexité des membres et du visage, pas les plis (les plis sont après 2 ans).","Easy"
"La surinfection herpétique dans la dermatite atopique s'appelle aussi pustuleuse varioliforme de Kaposi-Juliesberg.","True","'Surinfection herpétique (pustuleuse varioliforme de kaposi-juliesberg)'.","Easy"
"La dermatite atopique est le premier motif de consultation en dermatologie adulte.","False","Le document dit '1ère motif de consultation en dermatologie pédiatrique', pas adulte.","Easy"
"Les complications ophtalmologiques de la dermatite atopique incluent la cataracte.","True","'Complications ophtalmologiques : ... Cataracte'.","Easy"
"La réaction d'hypersensibilité dans la dermatite atopique est une réaction immédiate médiée par les IgE uniquement.","False","Le document mentionne à la fois une prédisposition aux réactions IgE mais aussi une 'réaction d’hypersensibilité retardée' avec activation des lymphocytes T.","Medium"
"Les lésions chroniques de dermatite atopique dans la 2ème année ont un aspect nummulaire au niveau du tronc, mamelon et dos.","True","'Lésions chronique : aspect nummulaire au niveau du tronc, mamelon et dos'.","Medium"
"Le signe de Dennie Morgan correspond à une pigmentation infra-orbitaire.","False","Le document distingue 'pigmentation infra-orbitaire' et 'plis sous palpébraux (signes de Dennie Morgan)'. Ce sont deux signes différents.","Medium"
"Chez l'adolescent, la forme grave de dermatite atopique peut se présenter sous un aspect érythrodermique.","True","'DA chez l’adolescent et l’adulte : Forme grave possible : aspect érythrodermique'.","Medium"
"Le psoriasis fait partie des diagnostics différentiels de la dermatite atopique chez l'enfant après 2 ans.","True","'Après 2 ans : Eczéma de contact, Psoriasis'.","Medium"
"Les lymphocytes T CD8+ sont nécessaires à l'initiation des lésions de dermatite atopique.","True","'LT CD8+ nécessaire à l’initiation des lésions'.","Medium"
"Dans la peau normale, les allergènes peuvent entrer facilement et l'eau s'évapore beaucoup.","False","'Peau normale : L’eau s’évapore peu. Les allergènes ne peuvent pas entrer.'","Medium"
"Un enfant de 18 mois avec des lésions de dermatite atopique au niveau des plis des genoux correspond à la topographie typique de la phase infantile.","False","Avant 2 ans, la topographie typique est la convexité des membres et du visage. Les plis sont typiques après 2 ans.","Difficult"
"La présence d'eczématides sèches achromiantes au visage est un signe mineur de la dermatite atopique chez l'enfant après 2 ans.","True","'Eczématides sèches achromiantes au niveau du visage' listé dans les signes mineurs.","Difficult"
"Le défaut de production de flaggrines est une anomalie génétique qui rend la couche cornée plus imperméable.","False","Le défaut de flaggrines entraîne une pénétration facile des antigènes, donc une couche cornée moins imperméable (plus perméable).","Difficult"
