question, answer, explanation, difficulty
"L'accouchement dystocique est un accouchement physiologique normal.", False, "Le document : 'Accouchement dystocique : difficultés voire impossibilité d'accouchement par voie basse'", "Easy"
"L'engagement est le franchissement du détroit supérieur par le plus grand diamètre de la présentation.", True, "Le document : 'Engagement : franchissement du Détroit Supérieur par le plus grand diamètre de la présentation fœtale'", "Easy"
"La présentation céphalique du sommet représente 95% des présentations.", True, "Le document : 'Présentation céphalique sommet : la plus fréquente (95%)'", "Easy"
"Le diamètre sous-occipito-bregmatique mesure 11 cm.", False, "Le document : '9,5cm'", "Easy"
"La 1ère étape du travail dure 6-18 heures chez la primipare.", True, "Le document : 'Durée : 6-18 heures chez les primipares'", "Easy"
"La 2ème étape du travail dure 30 minutes maximum.", False, "Le document : 'Durée : 1-2 heures, voire 3 heures'", "Easy"
"La délivrance dure entre 5 et 30 minutes.", True, "Le document : 'Durée : 5 - 30 minutes'", "Easy"
"La phase active du travail débute à 5 cm de dilatation.", True, "Le document : 'Phase active : début à 5 cm de dilatation'", "Easy"
"La vitesse de dilatation en phase active est de 3 cm/h.", True, "Le document : 'la vitesse de dilatation du col se situe à 3 cm/h'", "Easy"
"Le signe de Farabeuf concerne la distance épaule-pubis.", False, "Le document : 'Signe de Farabeuf : seuls deux doigts trouvent place entre le pôle fœtal descendant et le plan sacrococcygien'", "Medium"
"Le signe de Favre est une distance épaule-pubis < 7 cm.", True, "Le document : 'Signe de Favre : distance épaule-pubis < 7cm'", "Medium"
"La phase d'expulsion dure maximum 60 minutes.", False, "Le document : 'Durée maximum de la phase d'expulsion : 30 mn'", "Easy"
"La durée maximale de la 1ère étape chez la primipare est 20 heures.", True, "Le document : 'Maximum : 20 heures chez la primipare'", "Easy"
"La durée maximale de la 1ère étape chez la multipare est 20 heures.", False, "Le document : '14 heures chez la multipare'", "Easy"
"La phase de décélération commence au-delà de 8 cm.", True, "Le document : 'Phase de décélération : au-delà de 8 cm'", "Easy"
"L'asynclitisme est une inclinaison latérale de la tête fœtale.", True, "Le document : 'Asynclitisme : inclinaison latérale de la tête'", "Easy"
"Une présentation synclite a la suture latéralisée par rapport à l'axe du détroit supérieur.", False, "Le document : 'Si suture sur l'axe du Détroit supérieur : présentation synclite'", "Medium"
"97% des postérieures tournent en occipito-pubien (OP) après une grande rotation de 135°.", True, "Le document : '97% des postérieures tournent aussi en avant en OP mais après une grande rotation de 135°'", "Medium"
"3% des postérieures tournent en occipito-pubien.", False, "Le document : '3% seulement des postérieures tournent au plus court vers l'arrière en occipitosacré (OS)'", "Medium"
"L'OIGA tourne dans le sens des aiguilles d'une montre.", False, "Le document : 'sens inverse des aiguilles d'une montre pour l'OIGA'", "Medium"
"L'OIDA tourne dans le sens des aiguilles d'une montre.", True, "Le document : 'sens des aiguilles d'une montre pour l'OIDA'", "Medium"
"La vitesse de descente minimale chez la primipare est 2 cm/h.", False, "Le document : 'minimum de 1cm/h chez la primipare'", "Medium"
"La vitesse de descente minimale chez la multipare est 2 cm/h.", True, "Le document : '2cm/h chez la multipare'", "Medium"
"La déflexion de la tête se produit lors de la traversée du périnée.", True, "Le document : '-> déflexion de la tête' lors de la phase d'expulsion", "Medium"
"La 4ème étape dure 4 heures.", False, "Le document : 'période de surveillance en salle de naissance (2 heures)'", "Easy"
"Le col mûr a une longueur supérieure à 2 cm.", False, "Le document : 'longueur inférieure à 1,3 cm'", "Medium"
"L'angle entre axe de poussée utérine et axe du détroit supérieur est de 30-50°.", True, "Le document : 'un angle de 30° à 50°'", "Medium"
"La présentation du sommet est la moins favorable.", False, "Le document : 'la plus favorable'", "Easy"
"Le travail débute par des contractions utérines irrégulières.", False, "Le document : 'contractions utérines régulières'", "Easy"
"Le bouchon muqueux est brunâtre ou blanchâtre strié de sang.", True, "Le document : 'écoulement de glaires très épaisses brunâtres ou blanchâtres, parfois strié de sang'", "Easy"
