"question","answer","explanation","difficulty"
"Quelle est la définition de l'hyperkaliémie selon le document ?","Excès de concentration de potassium dans le sang avec un potassium plasmatique > 5 mmol/l.","Le document donne cette double définition.","Easy"
"Quels sont les trois types de fausses hyperkaliémies cités dans le document ?","1) Hémolyse lors d'un prélèvement laborieux avec garrot serré ; 2) Centrifugation tardive du tube ; 3) Hyperleucocytose majeure (>100 000/mm3) ou thrombocytémie (>1 000 000/mm3).","Le document liste ces trois causes.","Easy"
"Quels sont les trois types de signes du diagnostic positif de l'hyperkaliémie ?","Signes cardiaques (ECG), signes musculaires/neuromusculaires, signes métaboliques (acidose métabolique).","Le document structure le diagnostic positif.","Easy"
"Quelle est la séquence complète des signes ECG évolutifs de l'hyperkaliémie dans l'ordre croissant de gravité ?","Onde T ample pointue → disparition de l'onde P → bloc sino-auriculaire → élargissement de QRS → tachycardie ventriculaire → fibrillation ventriculaire.","Le document liste cette séquence.","Easy"
"Quels sont les trois mécanismes étiologiques de l'hyperkaliémie selon le document ?","1) Excès d'apport ; 2) Transfert du potassium vers le compartiment extracellulaire ; 3) Réduction de l'excrétion rénale.","Le document donne ces trois catégories.","Easy"
"Quels sont les trois groupes de traitement de l'hyperkaliémie selon le document ?","1) Antagonistes membranaires directs ; 2) Transfert du potassium vers le compartiment intracellulaire ; 3) Élimination de la surcharge potassique.","Le document structure le traitement.","Easy"
"Quel est le traitement de première intention de l'hyperkaliémie sévère (>7 mmol/L) et dans quel ordre ?","1) Calcium IV (antagoniste membranaire) ; 2) Soluté glucosé + insuline (transfert intracellulaire) ; 3) Salbutamol si non contre-indiqué ; 4) Bicarbonaté + résine en lavement si acidose, dans l'attente de l'épuration extrarénale.","Le document détaille la conduite à tenir.","Medium"
"Expliquez le mécanisme d'action du calcium dans l'hyperkaliémie.","Le calcium est un antagoniste membranaire direct qui stabilise les membranes cellulaires (notamment cardiaques) pour prévenir les troubles du rythme, sans diminuer la kaliémie.","Le document précise : ''qui vont protéger le cœur, stabilise les membranes pour éviter les troubles du rythme''.","Medium"
"Expliquez le mécanisme d'action de l'insuline dans le traitement de l'hyperkaliémie.","L'insuline active la pompe Na+/K+ ATPase, favorisant l'entrée du potassium dans la cellule (transfert intracellulaire).","Le document la classe dans ''Transfert du potassium vers le compartiment intracellulaire''.","Medium"
"Pourquoi le salbutamol est-il contre-indiqué chez les sujets coronariens ?","Car il provoque une tachycardie qui raccourcit le temps diastolique, diminuant l'irrigation du cœur, pouvant entraîner un trouble myocardique létal.","Le document donne cette explication détaillée.","Medium"
"Quelle est la différence entre le Kayexalate et le Resikali comme résines échangeuses d'ions ?","Kayexalate : échange K+ contre Na+ (sodique). Resikali : sulfonate de calcium (échange K+ contre Ca++).","Le document précise : ''Kayexalate : échange un ion potassium contre un ion sodium'' ; ''Resikali : sulfonate de calcium''.","Medium"
"Expliquez le mécanisme de l'hyperkaliémie au cours de l'acidose métabolique aiguë.","L'acidose aiguë provoque un transfert extracellulaire de potassium : les ions H+ entrent dans les cellules, et pour préserver l'électroneutralité, les ions K+ sortent des cellules.","Le document explique : ''Une acidose aiguë est responsable d'une hyperkaliémie par transfert extracellulaire de potassium''.","Medium"
"Quelles sont les trois situations de catabolisme cellulaire accrue pouvant causer une hyperkaliémie ?","Rhabdomyolyse et écrasement musculaire ; brûlures étendues, hémolyse massive ; lyse tumorale spontanée ou post-chimiothérapie ; syndrome de revascularisation post-opératoire ; hémorragie digestive sévère ; hypothermie.","Le document liste ces causes.","Medium"
"Pourquoi les IEC et ARA2 peuvent-ils provoquer une hyperkaliémie ?","Ils bloquent la formation d'angiotensine II, réduisant ainsi la sécrétion d'aldostérone, qui normalement augmente l'excrétion rénale de potassium.","Le document précise : ''bloquent l'action de l'aldostérone -> hyperkaliémie''.","Medium"
"Quelle est la prise en charge de l'hyperkaliémie modérée selon le document ?","Diminution des apports potassiques ; résines échangeuses d'ions per os ; bicarbonate per os en cas d'acidose (2-4g/j) ; éviction des médicaments hyperkaliémiants.","Le document détaille cette prise en charge.","Medium"
"Expliquez l'enchaînement physiopathologique de l'hyperkaliémie au cours de l'insuffisance surrénalienne (maladie d'Addison).","Destruction des corticosurrénales → déficit en aldostérone → diminution de l'excrétion rénale de potassium (réduction de l'activité de la pompe Na+/K+ au niveau tubulaire) → hyperkaliémie.","Le document mentionne : ''insuffisance surrénalienne (maladie d'Addison : manque d'aldostérone -> défaut d'élimination de potassium au niveau rénal)''.","Difficult"
"Un patient a une hyperkaliémie à 7,5 mmol/L avec acidose et insuffisance rénale aiguë. Quel traitement séquentiel proposez-vous selon le document ?","1) Calcium IV (antagoniste membranaire) ; 2) SGH 10% + insuline 12-16 UI IV ; 3) Salbutamol si non coronarien ; 4) Soluté bicarbonaté (si acidose) ; 5) Kayexalate en lavement ; 6) Préparer hémodialyse.","Le document donne la conduite pour hyperkaliémie sévère.","Difficult"
"Pourquoi les diurétiques de l'anse augmentent-ils l'élimination urinaire de potassium ?","Ils augmentent le débit urinaire et l'action de la pompe Na+/K+ au niveau du tube distal, ce qui augmente la sécrétion de potassium.","Le document explique : ''Augmentation du débit urinaire, augmentation de l'action de la pompe Na-K -> augmentation de l'élimination de K''.","Difficult"
"Un patient coronarien a une hyperkaliémie à 7,2 mmol/L. Pourquoi ne peut-on pas utiliser le salbutamol et quel traitement proposez-vous à la place ?","Le salbutamol est contre-indiqué chez le coronarien car la tachycardie peut induire une ischémie myocardique. Alternative : s'assurer que le calcium, l'insuline et le bicarbonate sont administrés.","Le document mentionne la contre-indication du salbutamol chez le coronarien.","Difficult"
"Quel est le risque d'une nouvelle injection de calcium après 5 minutes en cas d'inefficacité et comment la surveiller ?","Risque de troubles du rythme par surdosage calcique. Surveillance ECG continue.","Le document mentionne la nouvelle injection possible ''surveillance ECG''.","Difficult"
"Comparez l'efficacité et le délai d'action des trois traitements de transfert intracellulaire du potassium.","Insuline : délai 1-2h ; Salbutamol : délai non précisé mais rapide ; Bicarbonate : délai 30-60 min. L'insuline est la plus efficace, le bicarbonate plus lent, le salbutamol rapide mais contre-indiqué chez le coronarien.","Le document donne les délais pour insuline (1-2h) et bicarbonate (30-60 min).","Difficult"
"Pourquoi l'hémodialyse est-elle le traitement le plus efficace mais n'est-elle pas proposée d'emblée ?","Car elle nécesside une préparation (voie d'abord, matériel, prescription) qui prend du temps. Les traitements médicaux sont plus rapides à administrer en urgence.","Le document précise : ''Moyen le plus efficace mais nécessite des préparations +++''.","Difficult"
"Quel est le raisonnement qui conduit à éliminer d'abord une fausse hyperkaliémie avant tout traitement ?","Car une fausse hyperkaliémie n'est pas une véritable hyperkaliémie et ne nécessite aucun traitement. Traiter une fausse hyperkaliémie exposerait le patient à une hypokaliémie iatrogène dangereuse.","Le document consacre une section à ''Eliminer les fausses hyperkaliémies'' avant le diagnostic positif.","Difficult"
