"front","back","cognitive_level"
"Quelle est la définition de la rectocolite ulcéro-hémorragique (RCH) ?","Entité des maladies inflammatoires chroniques intestinales (auto-inflammation). Atteinte constante du rectum (« il n’y a pas de RCH sans atteinte rectale »). L’extension peut aller jusqu’au caecum. Pas d’atteinte du grêle. Pathologie chronique évoluant par poussées et rémissions.","Recall"
"Quels sont les facteurs protecteurs de la RCH ?","Tabac et appendicectomie (facteurs protecteurs).","Recall"
"Quelles sont les principales manifestations extra-digestives de la RCH ?","Cutanées : érythème noueux. Articulaires : oligo-arthrite périphérique, sacro-iliite, spondylarthrite ankylosante. Vasculaires : thromboses. Oculaires : uvéite. Hépato-biliaires : cholangite sclérosante primitive (ictère).","Recall"
"Quels sont les signes digestifs de la RCH d’intensité modérée ?","Rectorragie, diarrhée (syndrome dysentérique, selles liquides/pâteuses glairo-sanguinolentes), douleur abdominale modérée (FIG, hypogastre ou diffuse).","Recall"
"Quel est l’examen clé pour le diagnostic de la RCH ?","Rectoscopie (ou coloscopie). La rectoscopie montre : anomalies du réseau vasculaire muqueux dès la jonction ano-rectale, muqueuse congestive « qui pleure le sang », exsudats, ulcérations superficielles, aspect granité.","Recall"
"Quels sont les signes endoscopiques de continuité des lésions dans la RCH ?","Lésions continues débutant à la jonction ano-rectale, s’étendant vers le haut, sans intervalle de muqueuse saine, avec une limite supérieure nette.","Recall"
"Quelles sont les quatre topographies de la RCH selon l’extension colique ?","Rectite (40%), rectosigmoïdite (30%), atteinte de l’angle gauche (15%), pancolite (15% – sans intervalle de muqueuse saine).","Recall"
"Quelles sont les caractéristiques macroscopiques de la RCH ?","Début au rectum, extension progressive vers le caecum, lésions limitées au cadre colique, iléon toujours normal. Limite supérieure nette, sans intervalle de muqueuse saine, pas de sténose ni fistule, pas d’atteinte ano-périnéale.","Recall"
"Quelles sont les lésions microscopiques évocatrices de la RCH ?","Lésions muqueuses coliques continues, déformations glandulaires, infiltrat lymphoplasmocytaire du chorion inférieur avec plasmocytose basale. Absence de granulome épithélioïde (contrairement à Crohn).","Recall"
"Quelle est la complication redoutable de la RCH lors des poussées sévères ?","La colectasie aiguë (mégacôlon toxique) : dilatation colique, douleur abdominale, état toxi-infectieux grave, météorisme. À l’ASP : dilatation du côlon transverse >6 cm, risque de perforation.","Recall"
"Quel est le risque de cancer colorectal dans la RCH ?","Survient surtout dans les formes anciennes (>10 ans d’évolution), sur les parties dystrophiques du côlon par inflammation chronique, avec dysplasie importante.","Recall"
"Quels sont les critères de sévérité de l’index de Truelove et Witts ?","Formes modérées : selles <4/j, température normale, FC normale, VS >30, Hb normale. Formes sévères : selles >6/j, température >37°5, FC >90, VS >30, Hb <10,5 g/L.","Recall"
"Qu’est-ce que l’indice de Lichtiger (Truelove et Witts modifié) ?","Score sur 8 paramètres (nombre de selles/j, selles nocturnes, saignement rectal, incontinence fécale, douleurs abdominales, état général, douleur provoquée, nécessité d’anti-diarrhéique). Un score ≥10/21 définit une colite aiguë grave.","Recall"
"Quels sont les diagnostics différentiels de la RCH ?","Maladie de Crohn (granulomes épithélioïdes, atteinte discontinue, grêle possible), colite bactérienne, colite parasitaire (ex : schistosomiase).","Recall"
"Un patient présente une diarrhée glairo-sanguinolente, des douleurs abdominales modérées, une rectorragie. La rectoscopie montre une muqueuse rectale congestive, « qui pleure le sang », avec des ulcérations superficielles continues depuis l’anus, sans intervalle sain. Quel diagnostic suspectez-vous ?","Rectocolite ulcéro-hémorragique (RCH) d’intensité modérée, forme rectale ou rectosigmoïdienne.","Application"
"Un patient atteint de RCH depuis 12 ans, sous traitement intermittent, consulte pour une augmentation des selles (>8/j), une fièvre à 38,5°C, une tachycardie à 110/min, et un Hb à 9 g/L. Selon Truelove et Witts, de quelle forme s’agit-il ?","Forme sévère (selles >6/j, fièvre, FC >90, Hb <10,5).","Application"
"Lors d’une poussée sévère de RCH, l’ASP montre une dilatation du côlon transverse à 8 cm. Quelle complication redoutable suspectez-vous ?","Mégacôlon toxique (colectasie aiguë) avec risque élevé de perforation.","Analysis"
"Quel examen endoscopique suffit souvent au diagnostic de RCH, sans nécessiter une coloscopie totale ?","La rectoscopie (ou recto-sigmoïdoscopie) peut suffire car l’atteinte débute constamment au rectum.","Recall"
"Quel est le principal élément histologique qui différencie la RCH de la maladie de Crohn ?","L’absence de granulome épithélioïde dans la RCH (présent dans la maladie de Crohn).","Recall"
"Pourquoi la RCH est-elle considérée comme une « colite primitive » ?","Parce qu’il s’agit d’une inflammation chronique de la muqueuse colique, auto-entretenue, sans cause infectieuse ou parasitaire identifiée.","Understanding"
