question, answer, explanation, difficulty
"Pourquoi le mobile foetal doit-il constituer un 'bloc homogène' avant l'accouchement par le siège ?", "Pour éviter le relèvement des membres et les dystocies mécaniques", "Le document explique que la flexion du tronc et de la tête fait rentrer la tête dans les épaules et accole les membres – sans homogénéité, les bras ou jambes se relèvent et bloquent le passage", "Medium"
"Expliquez pourquoi l'accouchement par le siège est à risque même s'il est théoriquement eutocique.", "Car le corps accouche en sens inverse de son volume (d'abord les parties les plus volumineuses du bassin puis la tête) et peut se compliquer de compression funiculaire ou de difficultés mécaniques", "Le document : 'Corps accouché en sens inverse de leur volume' + 'Peut se compliquer de difficulté mécanique par excès du volume foetal ou phénomène anoxique suite à une compression funiculaire'", "Medium"
"Quelle est la logique mécanique de l'enroulement du foetus autour de la symphyse pubienne lors du dégagement du siège ?", "Pour amener le dos franchement en avant et libérer progressivement les membres inférieurs", "Le document : 'Dégagement précédé d'un enroulement autour de la symphyse pubienne amenant le dos franchement en avant suivant un axe oblique jusqu'à la libération des membres inférieurs'", "Medium"
"Comment expliquez-vous que la lenteur de la dilatation cervicale puisse relever d'une dystocie mécanique ou dynamique ?", "Dynamique = défaut de contractilité utérine (répond à l'ocytocine), mécanique = obstacle physique (tête défléchie, bras relevés) ne répondant pas à l'ocytocine", "Le document oppose clairement 'dystocie dynamique ? ou mécanique ?' sans trancher d'emblée, indiquant la nécessité d'un diagnostic différentiel", "Difficult"
"Pourquoi ne faut-il pas rechercher systématiquement le scrotum lors de l'examen d'un nouveau-né en présentation par le siège ?", "Pour éviter un traumatisme direct du scrotum pouvant entraîner une nécrose", "Le document : 'ne pas rechercher le scrotum en cas de présentation de siège sinon traumatisme' avec nécrose du scrotum comme lésion possible", "Medium"
"Expliquez le mécanisme conduisant à un pied bot varus équin lors d'une grossesse avec présentation par le siège.", "Pression utérine prolongée sur les membres inférieurs foetaux en position anormale, entraînant une atrophie des muscles, os et ligaments maintenant le pied en équin varus", "Le document mentionne atrophie musculaire, osseuse, ligamentaire comme cause de pied bot varus équin parmi les phénomènes plastiques", "Difficult"
"Pourquoi la rupture prématurée des membranes est-elle particulièrement redoutée dans le siège complet ?", "Car elle favorise la procidence du cordon et l'anomalie de dilatation, et elle est deux fois plus fréquente que dans les céphaliques", "Le document lie rupture prématurée des membranes à procidence du cordon et anomalie de dilatation, et précise sa fréquence accrue dans le siège complet", "Medium"
"Comment s'effectue la rotation du diamètre bi-acromial dans l'excavation et pourquoi cette rotation est-elle nécessaire ?", "Le diamètre bi-acromial tourne pour passer dans le diamètre oblique du détroit inférieur, afin de s'adapter à la morphologie du bassin maternel", "Le document : 'Deuxième rotation amenant le diamètre bi-acromial dans le diamètre oblique du détroit inférieur' – sans rotation, les épaules restent bloquées dans le grand axe du détroit supérieur", "Medium"
"Expliquez pourquoi la déflexion de la tête foetale en fin d'accouchement par le siège peut bloquer complètement l'extraction.", "La tête défléchie présente un plus grand diamètre occipito-mental au détroit, ne peut pas pivoter sous la symphyse et reste coincée au-dessus du détroit supérieur", "Le document dit 'fléchir la tête pour sortir le foetus' – sous-entendu qu'en déflexion, le diamètre est trop grand pour franchir le détroit", "Difficult"
"Quelle est la différence fondamentale entre l'engagement de la tête en présentation céphalique et en présentation par le siège ?", "En céphalique, la tête s'engage d'emblée avec son plus grand diamètre ; en siège, la tête s'engage en dernier, après les épaules, et doit se fléchir dans un diamètre oblique différent de celui des épaules", "Le document décrit l'engagement cephalique après les épaules, avec orientation du plus grand diamètre dans l'oblique perpendiculaire à celui déjà utilisé par les épaules", "Difficult"
"Pourquoi la procidence du cordon a-t-elle un meilleur pronostic dans le siège que dans les présentations céphaliques ?", "Car dans le siège, la tête n'est pas encore engagée et ne comprime pas directement le cordon contre les parois pelviennes ; le cordon peut rester perfusé plus longtemps", "Implication clinique directe du document : 'Meilleur pronostic que dans les présentations céphaliques (PC)' sans l'expliquer – déduction mécanique : tête dernière = pas de compression céphalique précoce", "Difficult"
"Quel est l'intérêt mécanique de l'accolement des membres lors de la descente du siege ?", "Réduire le volume fonctionnel du mobile foetal pour qu'il traverse les détroits avec les plus petits diamètres possibles", "Le document parle d' 'accolément des membres' dans le but que le mobile parcoure la filière sous ses plus petits diamètres", "Medium"
"Comment une atrophie ligamentaire peut-elle provoquer une luxation congénitale de la hanche en cas de siège prolongé ?", "Le rebord cotyloïdien se déforme par pression utérine, les ligaments lâches ne maintiennent plus la tête fémorale dans l'acétabulum", "Le document liste 'Rebord cotyloïdien (luxation congénitale de la hanche)' parmi phénomènes plastiques – déduction : déformation du rebord + atteinte ligamentaire", "Difficult"
"Pourquoi la rupture prématurée des membranes favorise-t-elle l'anomalie de dilatation cervicale ?", "Car le liquide amniotique ne joue plus son rôle de coin hydraulique pour ouvrir progressivement le col, et les contractions peuvent être inefficaces", "Document : 'Rupture prématurée des membranes [...] favorise l'anomalie de dilatation' – implication mécanique, même si non détaillée explicitement", "Medium"
"Expliquez pourquoi la lenteur de dilatation dans le siège ne doit pas conduire d'emblée à un diagnostic de dystocie mécanique.", "Car elle peut aussi être due à une insuffisance de contractions (dystocie dynamique) qui répondra à l'ocytocine sans nécessiter d'extraction instrumentale", "Le document explicite l'alternative diagnostique : 'dystocie dynamique ? ou mécanique ?'", "Medium"
"Quel est le risque de chercher à accélérer la dilatation par ocytocine si la lenteur est en réalité d'origine mécanique ?", "Risque d'hyperstimulation utérine, de souffrance foetale, voire de rupture utérine sans progrès de la dilatation", "Le document ne le dit pas explicitement mais oppose clairement les deux situations – implication clinique standard : l'ocytocine ne lève pas un obstacle mécanique", "Difficult"
"Pourquoi l'accouchement du siège doit-il être considéré comme un processus continu sans arrêt ni retour en arrière ?", "Car toute pause permet la déflexion de la tête, le relèvement des bras, ou la compression funiculaire", "Le document : 'L'accouchement est un processus continu sans arrêt ni retour en arrière' – implication : les dystocies apparaissent si on interrompt la mécanique", "Medium"
"Expliquez comment une présentation par le siège peut entraîner un torticolis congénital.", "Pression sur l'angle mandibulaire in utero déformant l'articulation temporo-mandibulaire ou les muscles sterno-cléido-mastoïdiens", "Document : 'Angle mandibulaire (torticolis congénitale)'", "Medium"
"Pourquoi le siège complet expose-t-il davantage à la rupture prématurée des membranes que le siège décomplété ?", "Car les membres inférieurs fléchis exercent une pression plus étendue et moins régulière sur le segment inférieur que le siège décomplété", "Document : 'surtout dans le siège complet' – implication mécanique probable : plus de surface d'appui irrégulier sur les membranes", "Difficult"
