"question","answer","explanation","difficulty"
"Citez les quatre domaines du développement psychomoteur évalués selon le document.","Motricité globale / posture, motricité fine / préhension, langage, sociabilité / affectivité.","Document: 'QUELQUES REPÈRES: 1. Motricité globale / posture; 2. Motricité fine / préhension; 3. Langage; 4. Sociabilité, affectivité'.","Easy"
"À quel âge un enfant doit-il commencer à sourire en réponse ? Et à quel âge rit-il aux éclats ?","Sourire-réponse à partir de 3 mois; rire aux éclats (foy hehy) à 5 mois.","Document: 'Sourire-réponse : à partir de 3 mois, 5 mois : foy hehy'.","Easy"
"Quels sont les trois seuils d'alerte pour le périmètre crânien ?","Microcéphalie <-3DS, macrocéphalie >+3DS, cassure ou augmentation rapide de la courbe de PC.","Document: 'Inquiétude : Microcéphalie <-3DS; Macrocéphalie > +3DS; Cassure ou augmentation rapide de la courbe de PC'.","Easy"
"Quels sont les trois types d'origine des étiologies du retard psychomoteur selon la période ?","Prénatale, périnatale, post-natale.","Document: 'Étiologies: 1. Origine périnatale; 2. Origine prénatale; 3. Origine post-natale'.","Easy"
"Citez au moins quatre réflexes archaïques mentionnés dans le document.","Succion, points cardinaux, grasping, Moro, allongement croisé, marche automatique (au choix quatre).","Document liste: 'Succion, Points cardinaux, Grasping, MORO, Allongement croisé, Marche automatique'.","Easy"
"Quelles sont les deux premières vérifications sensorielles à faire en cas de mauvaise interaction sociale ?","Acuité visuelle et acuité auditive (audiogramme).","Document: 'Bilan sensoriel: 1. Acuité visuelle; 2. Acuité auditive (audiogramme+++)' et 'En cas de mauvaise interaction sociale : voit-il ? Entend-il ?'","Easy"
"À quel âge l'absence de marche est-elle considérée comme un retard ?","À 18 mois.","Document: '18 mois : sans marche = retard de la marche'.","Easy"
"Quel bilan est spécifiquement indiqué en cas de régression des acquisitions ?","Bilan métabolique.","Document: 'Bilan métabolique (régression des acquisitions)'.","Easy"
"Expliquez pourquoi la prise de Dépakine pendant la grossesse peut entraîner des problèmes psychomoteurs chez l'enfant.","La Dépakine provoque des malformations cérébrales, ce qui affecte directement le développement psychomoteur.","Document: 'dépakine : malformations cérébrales = pbm psychomoteur'.","Medium"
"Comparez les repères de motricité fine à 6 mois et à 9-10 mois.","À 6 mois, l'enfant commence à attraper sans préférence manuelle; à 9-10 mois, il réalise la pince pouce-index.","Document: '6 mois : commence à attraper, sans préférence D ou G... 9-10mois : pince pouce-index'.","Medium"
"Un enfant de 2 ans n'associe pas deux mots. Quelle est la signification de ce retard selon le document ?","C'est un retard de langage; le document indique qu'à 2 ans, ne pas associer 2 mots constitue un retard (exemple: 'pipi zah, lasa izy').","Document: '2 ans : n'associe pas 2 mots = retard (pipi zah, lasa izy)'.","Medium"
"Quels sont les éléments de l'examen clinique complet à rechercher en dehors du développement psychomoteur ?","Peau et phanères, organes génitaux, auscultation cardiaque, viscéromégalie, morphologie (dysmorphie du visage, silhouette et extrémités).","Document: 'Examen clinique complet : peau et phanères, organes génitaux, auscultation cardiaque, viscéromégalie, morphologie (dysmorphie) : visage, silhouette et extrémités'.","Medium"
"Pourquoi le déplacement à quatre pattes à 9-10 mois n'est-il pas considéré comme un retard ?","Parce que le document précise explicitement que le déplacement à quatre pattes ne fait pas partie du retard de DPM; l'enfant est capable de se déplacer, ce qui est un progrès.","Document: '9-10 mois : capable de se déplacer (le déplacement à 4 patte ne fait pas partie de retard de DPM)'.","Medium"
"Quelle est la conduite à tenir devant un changement rapide de couloir sur les courbes de croissance ?","Surveillance rapprochée et examen clinique attentif.","Document: 'Tout 'changement rapide de couloir' : Surveillance rapprochée et un examen clinique attentif'.","Medium"
"Quels sont les signes d'alerte comportementaux à 24 mois selon le document ?","Absence d'index pour désigner quelqu'un, absence d'imitation de l'adulte, absence de jeu 'faire semblant'.","Document: 'Absence à 24 mois : Index pour désigner quelqu'un, Imitation de l'adulte, Jeu 'faire semblant' (vroum vroum voiture, etc.)'.","Medium"
"Un enfant de 15 mois ne marche pas et ne babille pas. À partir des repères du document, analysez les anomalies et proposez les examens complémentaires pertinents.","À 15 mois, la marche est normale jusqu'à 18 mois donc le retard de marche n'est pas encore constitué, mais l'absence de babillage à 12 mois est déjà un signe d'alerte. Il faut rechercher une cause: bilan sensoriel (acuité auditive notamment), puis selon contexte, caryotype, imagerie, etc.","Document: absence de babillage à 12 mois = signe d'alerte langage; pour mauvaise interaction sociale, vérifier vision/audition; examens: bilan sensoriel, puis caryotype, imagerie, etc.","Difficult"
"Expliquez le raisonnement clinique devant un retard de la marche à 18 mois selon le document.","L'examen clinique doit d'abord distinguer une origine centrale (cérébrale) d'une origine neuromusculaire. Il faut rechercher des signes associés, faire un examen complet, et envisager des bilans selon contexte (imagerie, EEG, bilan métabolique).","Document: 'Ex : retard de la marche : (origine centrale ou neuromusculaire ?)'; et examens complémentaires.","Difficult"
"Quelle est la différence entre une origine prénatale et périnatale du retard psychomoteur ? Donnez un exemple pour chacune selon le document.","Prénatale: survient avant la naissance, exemple maladie chromosomique ou infection materno-fœtale. Périnatale: survient autour de l'accouchement, exemple asphyxie périnatale.","Document: 'Origine prénatale: Maladie chromosomique... Infection materno-fœtale'; 'Origine périnatale: Asphyxie périnatale'.","Difficult"
"À quel âge un enfant doit-il être capable de se déplacer ? Quelles sont les modalités acceptables ?","À 9-10 mois, l'enfant est capable de se déplacer, y compris à quatre pattes (ce qui n'est pas un retard). La marche acquise à 18 mois est la limite.","Document: '9-10 mois : capable de se déplacer (le déplacement à 4 patte ne fait pas partie de retard de DPM)'; '18 mois : sans marche = retard'.","Medium"
"Quels professionnels sont impliqués dans la prise en charge en médecine physique selon le document ?","Ergothérapeute, kinésithérapeute, orthophoniste.","Document: 'Consultation en médecine physique : ergothérapie, kinésithérapie, orthophonie'.","Easy"
