"front","back","cognitive_level"
"Quels sont les trois retentissements possibles d’un obstacle dans la voie biliaire principale (VBP) ?","1) Infection biliaire (angiocholite). 2) Retentissement hépatique (hépatite septique, cirrhose biliaire secondaire). 3) Retentissement pancréatique (pancréatite aiguë).","Recall"
"Qu’est‑ce que la lithiase cholédocienne ?","Une complication de la lithiase vésiculaire. La lithiase primitive de la VBP est exceptionnelle.","Recall"
"Définissez l’angiocholite.","Infection de la bile dans les voies biliaires intra et extra‑hépatiques, avec pullulation microbienne favorisée par la stase en amont d’un obstacle.","Recall"
"Quelles sont les trois voies de contamination de la bile dans l’angiocholite ?","1) Voie rétrograde à partir du tube digestif. 2) Spontanément ou par cathétérisme de la papille. 3) Voie descendante par voie portale (bactéries du système porte descendant dans la voie biliaire).","Recall"
"Quels sont les trois signes de la triade de Charcot dans l’angiocholite typique ?","Douleur, puis fièvre élevée (39°5-40°), puis ictère, se succédant dans les 24 heures.","Recall"
"Décrivez la douleur de l’angiocholite typique.","Colique hépatique typique ou non par son intensité ou sa topographie, associée à des vomissements abondants.","Recall"
"Décrivez la fièvre de l’angiocholite typique.","Grand clocher dépassant 38°5 avec frissons (pseudo‑palustre).","Recall"
"Quelles sont les caractéristiques de l’ictère dans l’angiocholite typique ?","Apparaît dans les premières 24 heures, fugace, récidive lors de nouveaux accès fébriles. Le prurit est rare.","Recall"
"Quels sont les principaux signes biologiques de l’angiocholite simple ?","Hyperleucocytose à PNN, cholestase (augmentation BT, BC, PA, GGT), cytolyse modérée (transaminases entre 100 et 300 UI).","Recall"
"Quand faut‑il répéter les hémocultures dans l’angiocholite ?","Lors des pics thermiques.","Recall"
"Qu’est‑ce que l’angiocholite anictérique ?","Forme atypique où l’ictère manque ; l’angiocholite se traduit par des coliques hépatiques ou des accès fébriles évocateurs (fièvre bilio‑septique).","Recall"
"Quelles sont les complications de l’angiocholite aiguë compliquée ?","Formation d’abcès hépatiques multiples, surtout chez les personnes âgées avec troubles de l’état général.","Recall"
"Quels signes associe le tableau de l’angiocholite aiguë compliquée (ictère grave) ?","Syndrome infectieux sévère (fièvre à 40°, frissons, hyperleucocytose > 20.000), AEG, chute tensionnelle, troubles psychiques, ictère intense, insuffisance rénale aiguë.","Recall"
"Quel examen d’imagerie est réalisé en première intention pour le diagnostic de l’angiocholite, et que montre‑t‑il ?","L’échographie abdominale montre la lithiase vésiculaire associée à une dilatation des voies biliaires intra et extra‑hépatiques. Sa sensibilité pour la lithiase de la VBP est de 25‑30%.","Understanding"
"Qu’est‑ce que l’échoendoscopie dans le diagnostic de l’angiocholite et quelle est sa disponibilité à Madagascar ?","Elle visualise le cholédoque et les calculs avec des cônes d’ombre postérieurs. C’est l’examen le plus utilisé dans les pays développés, encore inexistant à Madagascar.","Recall"
"Décrivez la cholangiographie rétrograde par voie endoscopique (procédure et résultats).","Cathétérisme de la papille sous contrôle duodénoscopique, opacification des voies biliaires. Elle montre : aspect inflammatoire de la papille ou issue de pus, un ou plusieurs calculs dans la VBP +/- dilatée, bords du cholédoque festonnés. Son avantage est la sphinctérotomie endoscopique.","Understanding"
"Quand utilise‑t‑on la cholangiographie transhépatique à l’aiguille fine ?","En cas d’impossibilité d’opacification par voie endoscopique.","Recall"
"Quels sont les deux buts principaux du traitement de l’angiocholite ?","1) Désobstruer la VBP. 2) Éviter les migrations calculeuses ultérieures (autres calculs tombant dans la VBP).","Recall"
"Quels sont les moyens médicaux du traitement de l’angiocholite (hospitalisation, régime, réhydratation, antibiothérapie) ?","Hospitalisation en urgence en milieu chirurgical, repos au lit, à jeun, sonde gastrique en aspiration, voie veineuse pour réhydratation, antibiothérapie parentérale à bonne diffusion biliaire et hépatique efficace sur BGN et anaérobies (Ceftriaxone 1g/j + Métronidazole 1,5g/j).","Recall"
"Quels sont les moyens chirurgicaux du traitement de l’angiocholite ?","Cholécystectomie (ablation de la vésicule source de calculs) et recherche/ablation des calculs dans le cholédoque. C’est le seul moyen qui assure en un temps les objectifs.","Recall"
"Quel est le moyen endoscopique du traitement ?","La sphinctérotomie endoscopique, qui désobstrue la VBP.","Recall"
"Quelle est l’indication chirurgicale (cholécystectomie) dans l’angiocholite ?","Si le malade est en bon état général (BEG). On réalise une cholécystectomie + cholangiographie per‑opératoire, visualisation et ablation du calcul.","Application"
"Quelle est l’indication de la sphinctérotomie endoscopique ?","Si le malade est très fatigué. Également indiquée pour un patient cholécystectomisé ou chez les patients âgés ne supportant plus l’intervention chirurgicale.","Application"
"Pour toute angiocholite, quel traitement est toujours prescrit en premier ?","Le traitement médical (antibiothérapie, réhydratation, etc.).","Recall"
