"question","option1","option2","option3","option4","answer","explanation","difficulty"
"L’appendicite aiguë est une inflammation aiguë de l’appendice favorisée par sa richesse en quoi ?","Tissu adipeux","Tissu lymphoïde","Tissu nerveux","Tissu conjonctif","2","Le document : 'Inflammation aiguë de l’appendice en raison de sa richesse en tissu lymphoïde'","Easy"
"Quel est le risque principal des appendicites aiguës selon le document ?","Risque hémorragique","Risque mortel imprévisible","Risque de chronicité","Risque de cancer","2","Le document : 'Risque mortel imprévisible pour ces appendicites aiguës'","Easy"
"Quelle est la consigne systématique concernant la pièce d’appendicectomie ?","La jeter","La conserver au froid","L’envoyer à l’anatomopathologie","La brûler","3","Le document : 'toute pièce d’appendicectomie doit être envoyée à l’anapath'","Easy"
"Quel aspect macroscopique correspond à un appendice catarrhal ?","Noirâtre","Turgescent, tendu, recouvert de fausses membranes","Rouge et hyperhémié","Normal","3","Le document : 'Appendice catarrhal : rouge et hyperhémié'","Easy"
"Quel aspect macroscopique correspond à un appendice gangréneux ?","Rouge","Noirâtre","Turgescent","Normal","2","Le document : 'Appendice gangréneux : noirâtre'","Easy"
"Quels germes sont particulièrement impliqués dans l’appendice gangréneux ?","Bactéries aérobies","Virus","Germes anaérobies +++","Champignons","3","Le document : 'Appendice gangréneux : noirâtre... (germes anaérobies +++)'","Easy"
"Quelles sont les deux formes d’appendice qui peuvent se perforer ?","Catarrhal et congestif","Purulent et gangréneux","Normal et catarrhal","Sous-hépatique et pelvien","2","Le document : 'Ces deux dernières formes (purulent, gangréneux) peuvent s’accompagner de perforation'","Easy"
"Quelle est la position normale du caecum et de l’appendice ?","Fosse iliaque gauche","Fosse iliaque droite (FID)","Hypochondre droit","Région ombilicale","2","Le document : 'Position normale : Caecum et appendice dans la FID'","Easy"
"Qu’est-ce qu’un appendice sous-hépatique ?","Dû à un excès de rotation du caecum","Dû à un défaut de rotation du caecum","Dû à un situs inversus","Dû à une anomalie d’accolement","2","Le document : 'Caecum sous-hépatique par défaut de rotation -> appendice sous-hépatique'","Easy"
"Qu’est-ce qu’un appendice pelvien ?","Dû à un défaut de rotation","Dû à un excès de rotation du caecum","Position rétro-caecale","Position mésocoeliaque","2","Le document : 'Caecum pelvien par excès de rotation -> appendice pelvien'","Easy"
"Quelle est la définition du plastron appendiculaire ?","Collection de pus circonscrite","Agglutination des viscères autour du foyer appendiculaire","Péritonite généralisée","Occlusion appendiculaire","2","Le document : 'Plastron : agglutination des viscères autour du foyer appendiculaire inflammé'","Easy"
"Quelle est la différence entre abcès appendiculaire et empyème appendiculaire ?","L’abcès est dans la lumière, l’empyème en dehors","L’abcès est en dehors, l’empyème dans la lumière","Pas de différence","L’abcès est gangréneux","2","Le document : 'Abcès appendiculaire: collection de pus circonscrite par les anses grêles. Le pus se trouve à l’extérieur de la lumière appendiculaire (par opposition à l’empyème appendiculaire)'","Easy"
