"front","back","cognitive_level"
"Quelle est la définition du psoriasis ?","Maladie systémique inflammatoire chronique à expression principalement cutanée et articulaire. Autonome, activation de LTCD4 type Th17. C’est une dermatose érythémato-squameuse chronique qui évolue par poussée, déclenchée par des facteurs de risque (alcool, stress).","Recall"
"Quels sont les deux signes cliniques obtenus par grattage dans le psoriasis vulgaire ?","Signe de la bougie : blanchissement très net de la lésion. Signe de la rosée sanglante : fines gouttelettes hémorragiques, mise à nu des papules dermatologiques.","Recall"
"Décrivez la lésion élémentaire du psoriasis vulgaire de l’adulte.","Lésion érythémato-squameuse, arrondie, légèrement en relief, squames sèches nacrées blanchâtres, bien limitée, dimension variable. Peu ou non prurigineuse (50% prurit).","Recall"
"Quelles sont les trois dimensions des lésions psoriasiques ?","Psoriasis en gouttes : 0,5 – 2 cm ; psoriasis nummulaire : en pièce de monnaie ; psoriasis en plaque ou en nappe : large.","Recall"
"Quels sont les trois paramètres du score PASI ?","Érythème, induration, desquamation. Chaque paramètre est noté de 0 à 6.","Recall"
"Quel est l’aspect histologique du psoriasis ?","Cornée épaissie de lamelles de kératinocytes (hyperkératose), cellules ayant gardé leur noyau (parakératose), couche cornée granuleuse déficiente, corps muqueux de Malpighi épaissi avec crêtes épidermiques allongées (hyperacanthose).","Recall"
"Quel est l’aspect du psoriasis du cuir chevelu ?","Lésions arrondies bien limitées, confluentes, sèches formant des carapaces. N’englue pas les cheveux, non alopéciante. Région frontale : couronne érythémateuse séborrhéique.","Recall"
"Quels sont les signes du psoriasis de l’ongle ?","Dépression ponctuée cupuliforme (« dé à coudre »), onycholyse sous-unguéale, pachyonychie, destruction de l’ongle.","Recall"
"Qu’est-ce que le psoriasis inversé ?","Psoriasis des plis : lésion en plaque rouge inf., brillante, lisse, bords bien limités. Sièges : pli interfessier, inguinal, génital, ombilic, sous-mammaire, conduit auditif externe, creux poplité, axillaire.","Recall"
"Qu’est-ce que le psoriasis en gouttes aigu de l’enfant ?","Forme fréquente chez l’enfant : multiples petites lésions érythémato-squameuses survenant après une infection rhinopharyngée ou une vaccination.","Recall"
"Quelles sont les deux formes d’érythrodermie psoriasique ?","Érythrodermie psoriasique sèche : lésions diffuses non infiltrées, squames fines peu adhérentes, non prurigineuse, état général conservé, bon pronostic. Érythrodermie psoriasique humide et œdémateuse : lésions infiltrées prurigineuses, squames suintantes, surinfection des plis, altération de l’état général +++, fièvre, troubles métaboliques, mauvais pronostic.","Recall"
"Quel est le tableau clinique du psoriasis pustuleux ?","Début brutal, induit par contact local ou général. Fièvre, altération de l’état général, troubles métaboliques. Placards rouges inférieurs de grande taille couverts de pustules aseptiques. Hospitalisation.","Recall"
"Quelles sont les atteintes articulaires du rhumatisme psoriasique ?","Arthralgies inflammatoires fréquentes, atteinte des petites articulations +++, oligo/monoarthrite ± épanchement, polyarthrite psoriasique symétrique avec déformation des doigts et orteils. Radiographie : destruction anarchique articulaire.","Recall"
"Citez trois diagnostics différentiels du psoriasis.","Pityriasis rosé de Gibert, toxidermie psoriasiforme, syphilides secondaires psoriasiformes, dermatophytie, mycosis fongoïde, intertrigo, dermatite atopique, dermatite séborrhéique (enfant), polyarthrite rhumatoïde.","Recall"
"Quels sont les facteurs étiologiques du psoriasis ?","Facteurs génétiques (psoriasis familial), infectieux (bactérien/viral), médicamenteux (corticoïdes, bêtabloquants), psychiques (choc psycho-affectif, stress).","Recall"
"Expliquez le mécanisme physiopathologique du psoriasis selon le document.","Prolifération anormale des kératinocytes due à des facteurs extra-kératinocytaires (activation de fibroblastes, PNN, cellules de Langerhans, LTCD4 → cytokines mitogènes) et intra-kératinocytaires (trouble de transduction du signal, anomalie d’adhésion, anomalie de récepteurs).","Understanding"
"Quels sont les traitements non médicamenteux du psoriasis ?","Information du patient, éviction des facteurs de risque, photothérapie (exposition solaire), soutien psychologique.","Recall"
"Quels sont les traitements locaux du psoriasis ?","Kératolytiques, émollients, dermocorticoïdes, dérivés de la vitamine D3.","Recall"
"Quels sont les traitements généraux du psoriasis ?","Méthotrexate, acitrétine, ciclosporine, photothérapie UVA/UVB.","Recall"
"Quelle est l’indication des dermocorticoïdes et dérivés de la vitamine D3 dans le psoriasis ?","Psoriasis non compliqué touchant moins de 40% de la surface corporelle.","Application"
"Quelle est l’indication de la photothérapie ou du méthotrexate dans le psoriasis ?","Psoriasis touchant plus de 40% de la surface corporelle, récurrent, ou en cas d’échec des traitements locaux.","Application"
"Quel est le traitement du rhumatisme psoriasique ?","AINS, antalgiques, méthotrexate, anti-TNF alpha.","Recall"
"Quelle est la surveillance recommandée dans le psoriasis ?","Clinique : score PASI ; paraclinique si besoin ; surveillance de l’efficacité et de la tolérance du traitement.","Recall"
"Un patient présente des plaques érythémato-squameuses bien limitées des coudes et des genoux, avec un signe de la rosée sanglante au grattage. Quel diagnostic ?","Psoriasis vulgaire typique.","Analysis"
"Un enfant de 6 ans présente de multiples petites lésions squameuses sur le tronc, survenues 2 semaines après une angine. Quel diagnostic ?","Psoriasis aigu en gouttes.","Analysis"
