"question","answer","explanation","difficulty"
"Les abcès à CMV et à champignons sont fréquents selon le document.","False","Le document dit : ""CMV et champignon : rares""","Easy"
"L’abcès du foie touche uniquement les hommes âgés.","False","Le document précise : ""affecte les deux sexes et à tout âge""","Easy"
"La taille d’un abcès pyogénique peut aller de 1 mm à plusieurs centimètres.","True","Le document indique : ""Taille : 1mm à plusieurs cm""","Easy"
"Le scanner abdominal a une sensibilité de 85‑95% pour détecter les abcès du foie.","False","Le document attribue 85‑95% à l’échographie, et 95‑100% au scanner.","Easy"
"Le métronidazole est le traitement de première intention de l’abcès amibien non compliqué.","True","Le document : ""Le meilleur reste le métronidazole ou un apparenté par voie orale""","Easy"
"La rupture d’un abcès pyogénique peut être une cause de décès.","True","Le document : ""mortels dans 95 à 100% des cas Par septicémie, rupture ou les deux""","Easy"
"Le lobe droit du foie est moins souvent touché que le lobe gauche dans les abcès pyogéniques.","False","Le document : ""le lobe droit est 3 fois plus touché que le lobe gauche""","Easy"
"L’examen physique peut révéler un ictère.","True","Le document : ""Éventuellement : ictère""","Easy"
"La période de latence de l’abcès amibien après l’infestation intestinale est de quelques jours.","False","Le document dit : ""Période de latence de quelques semaines""","Easy"
"L’échographie est l’examen de première intention pour détecter les abcès du foie.","True","Le document : ""Echographie : c’est l’examen le plus utile en première intention""","Easy"
"Le traitement des abcès pyogéniques repose uniquement sur une antibiothérapie sans drainage.","False","Le document : ""traitement standard [...] drainage externe associé à une antibiothérapie""","Medium"
"Le diamètre d’un abcès amibien peut atteindre 25 cm.","True","Le document : ""Diamètre : 1cm à 25 cm""","Medium"
"L’association d’un aminoglycoside, d’un anti‑anaérobie et de pénicilline est le schéma définitif, non modifiable.","False","Le document précise : ""Corrigé par le résultat de l’antibiogramme""","Medium"
"La voie veineuse de métronidazole est recommandée en première intention pour tous les patients.","False","Le document : ""par voie orale"" et ""Si le malade est trop faible, administration veineuse"" donc la voie orale est préférée.","Medium"
"L’envahissement du foie peut se faire par le système porte.","True","Le document liste ""Du système porte"" comme première voie.","Medium"
"La chloroquine est un traitement de première intention de l’abcès amibien.","False","Le document la cite parmi ""les autres médicaments de recours"" après métronidazole.","Medium"
"La réponse clinique au traitement de l’abcès amibien est évaluée par la disparition de la douleur, de la fièvre et de l’hyperleucocytose.","True","Le document : ""La réponse clinique sera appréciée par la disparition de la douleur, de la fièvre et de l’hyperleucocytose""","Medium"
"Une extension directe d’une infection sous‑diaphragmatique peut être une cause d’abcès hépatique.","True","Le document : ""d’une extension directe d’une infection sous-hépatique ou sous-diaphragmatique""","Medium"
"L’amibiase hépatique provient uniquement d’une contamination par voie hématogène à partir de l’intestin.","True","Le document dit : ""provient de l’amibiase intestinale"" et la physiopathologie décrit l’envahissement par le système porte.","Difficult"
"La mortalité des abcès pyogéniques traités selon les recommandations reste de 95‑100%.","False","Le document donne ce chiffre pour les abcès pyogéniques non traités ; le traitement réduit la mortalité (implicite).","Difficult"
