"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la pression intracrânienne normale chez le nouveau-né selon le document ?","1-4 mmHg","1-6 mmHg","3-8 mmHg","10-15 mmHg","1","Le document : ''Nouveau-né : 1-4 mmHg''.","Easy"
"La boîte crânienne est composée à 80% de :","LCR","Secteur vasculaire","Parenchyme cérébral","Méninges","3","Le document : ''Parenchyme cérébral (80%)''.","Easy"
"Quel signe fonctionnel est typique des céphalées de l’HTIC ?","Diurnes, calmées par l’effort","Nocturnes, continues, favorisées par l’effort","Uniquement matinales","Sans relation avec les mouvements","2","Le document : ''Céphalées : Nocturne, continue, favorisée par l'effort et les mouvements de la tête''.","Easy"
"Les vomissements dans l’HTIC sont décrits comme :","Difficiles, précédés de nausées","En jet, faciles, soulagent les céphalées","Postprandiaux","Sans lien avec les céphalées","2","Le document : ''Vomissements faciles, en jet, parfois juste des nausées, soulage les céphalées''.","Easy"
"Chez le nourrisson, le bombement de la fontanelle antérieure doit être recherché :","En position assise, en dehors des cris","En position allongée, pendant les pleurs","Pendant les cris","Après les repas","1","Le document : ''Bombement de la fontanelle antérieure (enfant assis, en dehors des cris et pleurs, calme)''.","Easy"
"Le signe de Parinaud chez le nourrisson correspond à :","Yeux en coucher de soleil","Diplopie","Strabisme convergent","Nystagmus","1","Le document : ''Signe de Parinaud : yeux en coucher de soleil (hydrocéphalie, HTIC, ictère nucléaire)''.","Easy"
"Chez l’enfant plus grand, un signe précoce d’HTIC est :","Céphalées matinales et posturales","Crises convulsives généralisées","Hémiplégie","Ataxie","1","Le document : ''Céphalées posturales et matinales''.","Easy"
"La diplopie dans l’HTIC de l’enfant est due à :","Atteinte du III","Paralysie du VI","Atteinte du IV","Atteinte du VII","2","Le document : ''Diplopie (paralysie du VI)''.","Easy"
"Un fond d’œil normal :","Élimine une HTIC","N’élimine pas une HTIC si précoce","Est toujours pathologique","Est suffisant pour le diagnostic","2","Le document : ''Œdème papillaire au fond d'œil (fond d'œil normal n'élimine pas une HTIC, car si fait tôt, l'œdème papillaire n'aurait pas eu le temps de s'installer)''.","Easy"
"Parmi les signes de gravité, l’engagement temporal ou amygdalien se manifeste par :","Céphalées matinales","Raideur du rachis, bâillement, troubles de conscience","Vomissements en jet","Diplopie","2","Le document : ''Signe d'engagement temporal ou amygdalien : ... Raideur du rachis, Bâillement, hoquets, Troubles de conscience, Troubles végétatifs, Cris plaintifs aigus''.","Easy"
"Quel examen d’imagerie est recommandé en première intention chez le nourrisson de moins de 6 mois ?","IRM","TDM","Échographie transfontanellaire (ETF)","Radiographie du crâne","3","Le document : ''ETF (ne pas dépasser 6 mois, car fontanelle étroite)''.","Easy"
"Quelle est l’étiologie la plus fréquente des tumeurs cérébrales chez l’enfant en HTIC ?","Tumeurs supratentorielles","Tumeurs de la fosse postérieure","Tumeurs de la région pinéale","Médulloblastome","2","Le document : ''Tumeurs de la fosse postérieure : 60% des tumeurs cérébrales''.","Easy"
"L’abcès cérébral se caractérise par :","Fièvre élevée d’emblée","Évolution lente et insidieuse, fièvre peu élevée","Signes méningés francs","Absence de signes focaux","2","Le document : ''Abcès du cerveau – Évolution lente et insidieuse, Fièvre peu élevée, irrégulière''.","Easy"
"Quel signe est évocateur d’un hématome sous-dural du nourrisson ?","Turgescence des veines du scalp","Hypotonie axiale","Nystagmus","Hypertrophie des amygdales","1","Le document : ''Turgescence des veines du scalp'' dans l’hématome sous-dural.","Easy"
"Le traitement de l’œdème cérébral par mannitol se fait à la dose de :","0,1-0,2 g/kg","0,5-1 g/kg en 15-20 min","1-2 g/kg","2-3 g/kg","2","Le document : ''Mannitol 0,5 à 1g/kg en 15 à 20mn''.","Easy"
"Quel corticoïde est utilisé dans les HTIC d’origine tumorale ?","Methylprednisolone","Hydrocortisone (HDC)","Dexaméthasone","Prednisone","2","Le document : ''HDC (corticoïde) : 50-150mg/j (pour les HTIC d'origine tumorale)''. HDC = hydrocortisone.","Easy"
"La pression intracrânienne normale chez l’adulte est de :","3-8 mmHg","10-15 mmHg","1-6 mmHg","15-20 mmHg","2","Le document : ''Adulte : 10-15 mmHg''.","Easy"
"Chez le nourrisson, une augmentation rapide du périmètre crânien est un signe :","Normal","Spécifique d’HTIC","De craniosténose","De méningite","2","Le document : ''Augmentation rapide du PC'' dans les signes spécifiques du nourrisson.","Easy"
"Le syndrome cérébelleux statique ou cinétique chez l’enfant oriente vers :","Hydrocéphalie","Tumeur de la fosse postérieure","Hématome sous-dural","HTIC bénigne","2","Le document associe tumeurs de la fosse postérieure à ''Sd cérebelleux cinétique et statique''.","Medium"
"L’acétazolamide est utilisé à la posologie de :","10 mg/kg/j","20 mg/kg/j","30 mg/kg/j","40 mg/kg/j","2","Le document : ''Acétazolamide : 20mg/kg/j''.","Medium"
"La pression d’ouverture du LCR dans l’HTIC idiopathique est :","> 10-15 mmHg","> 20-25 mmHg","> 30 mmHg","> 40 mmHg","2","Le document : ''Pression d'ouverture de LCR trop élevée > 20-25mmHg''.","Medium"
"Le thiopental est indiqué dans :","HTIC modérée","HTIC menaçante","Œdème papillaire","Craniosténose","2","Le document : ''Barbituriques : Thiopental (HTIC menaçante)''.","Medium"
"La restriction hydrique et la perfusion de sérum glucosé hypertonique (SGH) luttent contre :","L’hypertension artérielle","L’œdème cérébral","Les convulsions","L’infection","2","Le document : ''Lutter contre l’œdème cérébral – Perfusion SGH, restriction hydrique''.","Medium"
