"front","back","cognitive_level"
"Quelle est la définition biologique de la néphropathie lupique ?","Présence de protéinurie > 0,5 g/24h ou 3+ et/ou hématurie, leucocyturie, hémoglobinurie, cellules tubulaires ; ou rapport protéinurie/créatininurie > 0,5 avec >5 GR ou GB par champ ; histologie : stigmates de glomérulonéphrite avec complexe immun compatible.","Recall"
"Quel est le pourcentage de lupiques ayant une néphropathie lupique au moment du diagnostic ?","35%.","Recall"
"Quel est le pourcentage de lupiques développant une néphropathie lupique dans les 10 ans d'évolution ?","60%.","Recall"
"Quel est le mécanisme physiopathologique principal de la néphropathie lupique ?","Hyperactivité lymphocytaire T et B → production d'auto-Ac → formation de complexes immuns circulants ou tissulaires → activation voie classique du complément et cellules leucocytaires → lésions tissulaires → GN à dépôts de complexes immuns et d'Ig.","Recall"
"Quelles sont les deux classes histologiques de néphropathie lupique qui constituent une urgence thérapeutique ?","Classe III (prolifération focale) et Classe IV (prolifération diffuse).","Recall"
"Quelle classe histologique de néphropathie lupique est la plus fréquente ?","Classe IV (prolifération endo +/- extracapillaire diffuse >50% des glomérules) : 50% des néphropathies lupiques.","Recall"
"Quelle est la lésion histologique caractéristique de la classe IV en microscopie optique (« anses fil de fer ») ?","Dépôts sous-endothéliaux (endomembraneux) de complément et d'Ig qui épaississent et rigidifient la paroi capillaire glomérulaire → « wire loops ».","Recall"
"Quelle classe de néphropathie lupique correspond à une glomérulonéphrite extra-membraneuse ?","Classe V (fréquence 10-20%).","Recall"
"Quelle classe correspond à une glomérulonéphrite sclérosante avec >90% des glomérules globalement sclérosés ?","Classe VI.","Recall"
"Quelles classes de néphropathie lupique n'ont pas de traitement spécifique selon le document ?","Classe I et Classe II.","Recall"
"Quels sont les trois traitements immunosuppresseurs cités pour les classes III, IV et V ?","Corticothérapie, hydroxychloroquine, azathioprine, cyclophosphamide, ciclosporine, mycophénolate mofétil (MMF), rituximab (Ac anti-CD20).","Recall"
"Quelle est la cible tensionnelle dans le traitement non spécifique de la néphropathie lupique ?","TA < 130/80 mmHg.","Recall"
"Quel est le critère de réponse rénale sur la protéinurie à 1 mois et à 3 mois ?","Diminution de la protéinurie >50% à 1 mois ; normalisation de la protéinurie <3 mois.","Recall"
"Expliquez la différence entre la classe III et la classe IV de néphropathie lupique.","Classe III : prolifération endo +/- extracapillaire FOCALE (<50% des glomérules atteints). Classe IV : prolifération endo +/- extracapillaire DIFFUSE (>50% des glomérules atteints).","Understanding"
"Pourquoi la classe V (GN extra-membraneuse lupique) a-t-elle un pronostic différent des classes III et IV ?","Classe III et IV : pronostic rénal mauvais à court terme sans traitement (urgence thérapeutique). Classe V : risque à long terme (évolution plus lente).","Understanding"
"Pourquoi observe-t-on une acidose tubulaire dans la néphropathie lupique ?","Par dysfonction tubulaire distale liée à la présence d'auto-anticorps dirigés contre les constituants des cellules intercalaires.","Understanding"
"Une patiente lupique de 30 ans présente une protéinurie à 2 g/24h, une hématurie microscopique, une HTA et une créatinine à 150 μmol/L. La biopsie rénale montre 60% des glomérules atteints par une prolifération endocapillaire avec dépôts sous-endothéliaux en « wire loops ». Quelle est la classe de néphropathie lupique ?","Classe IV (prolifération diffuse >50% des glomérules, avec dépôts sous-endothéliaux et « wire loops »).","Application"
"Un patient lupique a une biopsie rénale montrant un épaississement diffus de la membrane basale glomérulaire avec des dépôts extra-membraneux (sous-épithéliaux). Il présente un syndrome néphrotique. Quelle est la classe ?","Classe V (glomérulonéphrite extra-membraneuse lupique).","Application"
"Comparez les sous-classes IIIA/IIIC et IVA/IVC selon la présence de lésions actives ou chroniques.","A (Active) : lésions inflammatoires actives (prolifération, nécrose, croissants). C (Chronique) : lésions cicatricielles (sclérose, fibrose). Le degré d'activité vs chronicité évalue le risque évolutif et l'intérêt des immunosuppresseurs.","Analysis"
