"question","answer","explanation","difficulty"
"La néphropathie lupique est définie par une protéinurie > 0,5 g/24h ou 3+ et/ou hématurie, leucocyturie, hémoglobinurie, cellules tubulaires.","True","Le document donne cette définition.","Easy"
"35% des lupiques ont une néphropathie lupique au moment du diagnostic.","True","Le document le confirme.","Easy"
"Durant 10 ans d'évolution, 80% des lupiques développent une néphropathie lupique.","False","Le document indique 60%.","Easy"
"La classe I de néphropathie lupique correspond à une prolifération mésangiale.","False","La classe I est optique normale ; la classe II est prolifération mésangiale.","Easy"
"La classe III correspond à une prolifération endo +/- extracapillaire focale (<50% des glomérules).","True","Le document le confirme.","Easy"
"La classe IV est la plus fréquente des néphropathies lupiques (50%).","True","Le document le confirme.","Easy"
"La classe V correspond à une glomérulonéphrite extra-membraneuse.","True","Le document le confirme.","Easy"
"La classe VI correspond à une glomérulonéphrite sclérosante avec >90% des glomérules sclérosés.","True","Le document le confirme.","Easy"
"Les classes I et II nécessitent un traitement spécifique agressif.","False","Le document indique : ''Classe I, II : sans traitement spécifique''.","Easy"
"La cible tensionnelle dans le traitement non spécifique est TA < 140/90 mmHg.","False","La cible est <130/80 mmHg.","Easy"
"Le critère de normalisation de la créatininémie est < 1 mois.","True","Le document le confirme.","Easy"
"Le critère de normalisation de la protéinurie est < 1 mois.","False","Le document indique < 3 mois.","Easy"
"Le critère de diminution de la protéinurie >50% est à 1 mois.","True","Le document le confirme.","Easy"
"Les anticorps anti-PL circulants sont associés à un risque d'avortement spontané chez la femme lupique.","True","Le document le mentionne.","Medium"
"La classe II (prolifération mésangiale) a un pronostic rénal excellent.","True","Le document le confirme.","Medium"
"La classe III et IV constituent une urgence thérapeutique.","True","Le document le confirme.","Medium"
"Les dépôts sous-endothéliaux de la classe IV peuvent former des ''anses fil de fer''.","True","Le document le confirme.","Medium"
"La classe V correspond à une glomérulonéphrite proliférative diffuse.","False","La classe V est extra-membraneuse (non proliférative).","Medium"
"La classe VI peut être asymptomatique sans signes cliniques d'activité lupique.","True","Le document le confirme.","Medium"
"La dysfonction tubulaire distale dans le lupus est liée à des auto-Ac dirigés contre les cellules intercalaires.","True","Le document l'explique.","Medium"
"La microangiopathie thrombotique dans le lupus touche uniquement les artérioles afférentes.","False","Elle touche petites artères, capillaires glomérulaires et grosses branches artérielles.","Medium"
"L'atteinte vasculaire de type nécrose fibrinoïde obstructive est de type inflammatoire.","False","Le document précise : ''peu ou pas inflammatoire''.","Medium"
"La classe IV-S correspond à une prolifération diffuse segmentaire.","True","Le document le confirme.","Medium"
"La classe IV-G correspond à une prolifération diffuse globale (50% des glomérules atteints).","True","Le document le confirme.","Medium"
"Les sous-classes IIIA et IIIC distinguent les lésions actives des chroniques.","True","Le document le confirme.","Medium"
"Le score élevé de lésions actives et chroniques sur la biopsie initiale est un facteur de bon pronostic.","False","C'est un facteur de mauvais pronostic.","Medium"
"La race noire est un facteur de bon pronostic de la néphropathie lupique.","False","Race noire est un facteur de mauvais pronostic.","Medium"
"L'hydroxychloroquine est dosée à 3 mois dans le suivi de la néphropathie lupique.","True","Le document le confirme.","Medium"
"La cinétique du MMF est réalisée entre J8 et J15 puis par an.","True","Le document le confirme.","Medium"
"La vitamine D (25-OHD3) est surveillée dans le suivi de la néphropathie lupique.","True","Le document la mentionne.","Difficult"
"La classe V a un risque à court terme plus élevé que les classes III et IV.","False","Les classes III et IV ont un risque à court terme ; la classe V a un risque à long terme.","Difficult"
"Les croissants extra-capillaires ne sont présents que dans les classes III et IV.","True","Le document mentionne ces lésions pour les classes III et IV.","Difficult"
"Le pronostic rénal des classes III et IV est favorable sans traitement.","False","Le document indique : ''Pronostic rénal mauvais à court terme sans traitement''.","Difficult"
"La classe VI peut avoir une protéinurie variable sans signes d'activité du sédiment urinaire.","True","Le document le confirme.","Difficult"
"Le rituximab (Ac anti-CD20) est cité comme traitement de la néphropathie lupique.","True","Le document le mentionne.","Difficult"
