question, answer, explanation, difficulty
"Les petits maux de la grossesse touchent 45-89% des femmes enceintes.", True, "Le document : 'Incidence de 45-89% des femmes enceintes'", "Easy"
"Les nausées et vomissements concernent 10% seulement des femmes enceintes.", False, "Le document : '45 - 55% (voire même 89%)'", "Easy"
"Les nausées et vomissements guérissent vers 15-17 SA.", True, "Le document : 'Guérison vers 15 - 17 SA'", "Easy"
"Le métoclopramide (Primperan*) est un traitement possible des nausées de grossesse.", True, "Le document : 'Métoclopramide (Primperan*) 5-15mg/j'", "Easy"
"Le gingembre est inefficace contre les nausées de grossesse.", False, "Le document : 'Gingembre en poudre 250mg fois 4/j'", "Easy"
"Le ptyalisme correspond à une excrétion salivaire de 1-1,5 L/j.", True, "Le document : 'Excrétion salivaire de 1 - 1,5 L/j'", "Easy"
"La constipation se traite par des laxatifs irritants.", False, "Le document : 'Laxatifs peu irritants pour l'intestin : Mucilage, Macrogol, Lactulose'", "Medium"
"Le pyrosis est plus fréquent au 3ème trimestre.", True, "Le document : 'Fréquent dans le dernier trimestre'", "Easy"
"Les antiacides sont inefficaces dans le pyrosis de grossesse.", False, "Le document : 'Traitement symptomatique : Antiacides'", "Easy"
"Les crampes surviennent surtout au 1er trimestre.", False, "Le document : '3ème trimestre +++'", "Easy"
"La riboflavine et le magnésium sont utilisés pour traiter les crampes.", True, "Le document : 'Riboflavine ou l'acide pantothénique associé à une supplémentation en magnésium'", "Medium"
"La lombalgie est causée par une hyperlordose.", True, "Le document : 'Causé par l'hyperlordose'", "Easy"
"Le tétrazepam est utile dans les formes majeures de lombalgie.", True, "Le document : 'Formes majeures : Tétrazepam'", "Medium"
"Le calcium + Vitamine D3 est très efficace contre les douleurs symphysaires.", False, "Le document : 'Ca++ + Vit D3 = décevant'", "Medium"
"La rhinite de grossesse est due à l'œstrogène.", False, "Le document : 'à cause de la progestérone'", "Medium"
"Les vasoconstricteurs nasaux doivent être utilisés avec précaution pendant la grossesse.", True, "Le document : 'Vasoconstricteurs à éviter autant que possible'", "Medium"
"La gingivite de grossesse apparaît au 5ème mois.", True, "Le document : 'Gingivite (au 5ème mois)'", "Easy"
"90% des femmes enceintes ont des vergetures.", True, "Le document : 'Vergetures : 90 % des femmes'", "Easy"
"Le traitement des vergetures est très efficace.", False, "Le document : 'Peu efficaces'", "Easy"
"Les troubles vocaux apparaissent au 7ème mois.", True, "Le document : 'Vers le 7ème mois'", "Easy"
"Le repos vocal relatif est le traitement des troubles vocaux.", True, "Le document : 'Traitement : repos vocal relatif'", "Easy"
"Le relâchement symphysaire guérit 2 jours après l'accouchement.", True, "Le document : 'Guérison spontanée 2 jours après accouchement'", "Easy"
"Les AINS sont recommandés en première intention pour les douleurs symphysaires.", False, "Le document : 'AINS de courte durée (< 5j)' (pas première intention)", "Medium"
"L'hygiène bucco-dentaire est le traitement de la gingivite.", True, "Le document : 'Traitement : hygiène bucco-dentaire'", "Easy"
"La béance de la trompe d'Eustache disparaît spontanément après l'accouchement.", True, "Le document : 'Disparition spontanée après l'accouchement'", "Easy"
"Les nausées peuvent être un signe de bon pronostic (protection contre MAP).", True, "Le document : 'plus bon pronostic car progestérone élevé, protection contre MAP'", "Difficult"
"La grossesse molaire doit être éliminée devant des vomissements excessifs.", True, "Le document : 'Causes organiques à éliminer : Grossesse molaire'", "Easy"
"Le traitement des nausées doit être proportionné à l'importance du symptôme.", True, "Le document : 'Proportionner le traitement avec l'importance du symptôme'", "Medium"
"L'acupuncture est un traitement non pharmacologique des nausées.", True, "Le document : 'Acupuncture'", "Easy"
"La constipation opiniâtre se traite par mucilage.", False, "Le document : 'Si constipation opiniâtre : Gel à base de Glycérol + Sorbitol'", "Medium"
