"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Selon l'IASP (1998), comment définit-on la douleur ?","Expérience uniquement sensorielle","Expérience désagréable émotionnelle et sensorielle associée à un dommage tissulaire présent ou potentiel","Signe vital","Réponse à un stimulus nociceptif","2","Le document cite la définition de l'IASP.","Easy"
"Chez le nourrisson de moins de 2 ans, comment se manifeste la douleur abdominale ?","Douleur localisée précisément","Accès de pleurs inconsolables, cris incessants, mouvements de jambes, tortillement, refus de téter/boire","Douleur périombilicale","Constipation","2","Le document le décrit.","Easy"
"Chez l'enfant capable de s'exprimer, où se localise typiquement la douleur abdominale ?","Fosse iliaque droite","Hypochondre gauche","Périombilicale","Sus-pubienne","3","Le document : 'Topographie vague, souvent périombilicale'.","Easy"
"Quelle est la définition d'une douleur abdominale aiguë ?","Durée < 3 jours","Durée < 7 jours","Durée < 15 jours","Durée < 1 mois","1","Le document : 'DA aiguë : 3 jours' (moins de 3 jours).","Easy"
"Quelle est la définition des douleurs abdominales récurrentes ?","> 3 épisodes en 3 mois","> 2 épisodes en 1 mois","> 1 épisode par semaine","> 5 épisodes par an","1","Le document : 'DA récurrentes : (3x en 3 mois)'.","Easy"
"Quelle est la localisation d'une douleur d'origine organique ?","Périombilicale","Précise","Diffuse","Variable","2","Le document : tableau comparatif : 'Origine organique : LOCALISATION : Précise'.","Easy"
"Quelle est la localisation d'une douleur d'origine fonctionnelle ?","Précise","Périombilicale","Hypogastrique","Épigastrique","2","Le document : 'Origine fonctionnelle : LOCALISATION : Périombilicale'.","Easy"
"Une douleur qui réveille l'enfant la nuit est toujours de quel type ?","Fonctionnelle","Organique","Psychogène","Bénigne","2","Le document : 'une douleur qui survient et réveille la nuit EST TOUJOURS ORGANIQUE'.","Easy"
"Quel est le temps de recoloration cutanée (TRC) normal chez le nourrisson ?","< 1 seconde","< 2 secondes","< 3 secondes","< 5 secondes","3","Le document : 'TRC 3s (nourrisson : appuyer sur le front pendant 3 secondes ; la couleur rouge doit revenir en 3s : bonne circulation périphérique)'.","Easy"
"Quel signe digestif est une urgence chirurgicale absolue ?","Diarrhée","Vomissement bilieux (couleur verte)","Constipation","Nausées","2","Le document le cite comme signe d'urgence chirurgicale.","Easy"
"Quel examen d'imagerie est indiqué en première intention devant une suspicion d'appendicite ?","Radiographie ASP","Échographie abdominale","Scanner","IRM","2","Le document : 'Échographie abdominale si suspicion de : APPENDICITE'.","Easy"
