question, answer, explanation, difficulty
"Expliquez pourquoi la présentation transversale est une urgence obstétricale lorsque la patiente est en travail.", "Car le risque de rupture utérine, de procidence du cordon, de mort fœtale et d'infection est très élevé", "Document : 'Grande urgence en obstétrique si la patiente en travail'", "Easy"
"Quelles sont les trois conditions nécessaires à la constitution d'une 'épaule négligée' ?", "Patiente en travail (contractions régulières), rupture des membranes, ouverture du col de l'utérus", "Document : 'Trois conditions : Patiente en travail (contractions régulières intermittentes), Rupture des membranes, Ouverture du col'", "Difficult"
"Quelles sont les complications de l'épaule négligée ?", "Mort fœtale, macération avec infection ovulaire, rupture du segment inférieur de l'utérus", "Document : 'Conséquences : Mort foetale, Macération avec infection ovulaire, Rupture du segment inférieur de l'utérus'", "Medium"
"Comparez PT primitive et PT accidentelle.", "PT primitive = constante, irréductible, due à malformation utérine, fibrome, placenta praevia, bassin rétréci ; PT accidentelle = sur utérus normal, due à hydramnios, prématurité, multiparité, RCIU", "Document distingue les deux types", "Medium"
"Quelles sont les précautions à prendre avant une version par manœuvre externe (VME) ?", "Consentement, absence de contre-indication voie basse, ne pas faire sur utérus malformé, 35-36 SA, près bloc opératoire, RCF avant/après, patiente à jeun sous β-mimétique", "Document énumère ces précautions", "Difficult"
"Pourquoi la version par manœuvre externe (VME) est-elle proposée entre 35 et 36 SA ?", "Car avant 35 SA, le fœtus peut encore se retourner spontanément ; après 36 SA, l'utérus est plus irritable et le fœtus plus gros", "Document : '35 et 36 semaines de grossesse'", "Medium"
"Expliquez le mécanisme de la rupture utérine dans la PT.", "Spontanée par hyperdistension et amincissement du segment inférieur, ou provoquée lors d'une version par manœuvre interne", "Document : 'Rupture utérine : Spontanée, Provoquée au cours de la VMI'", "Difficult"
"Quels sont les signes cliniques de la rupture utérine spontanée ?", "Choc +/- hémorragie, douleur +++ puis disparition de la douleur, absence de contractions, fœtus sous paroi, BCF absents", "Document : 'choc +/- hémorragie, Douleur +++, disparition de la douleur (ne se contracte plus), Fœtus sous la paroi, bdcf absent'", "Medium"
"Quelle est la conduite à tenir devant une PT avec membranes intactes chez une multipare à utérus normal non cicatriciel ?", "Version par manœuvre externe (VME) sous péridurale ou β-mimétique", "Document : 'Multipares à utérus normal non cicatriciel : VME + péridurale ou β-mimétique'", "Medium"
"Qu'est-ce que le 'fœtus volant' ?", "Variété dorso-supérieure de PT, rare, avec déformation rachidienne en hyperextension", "Document : 'dorso-supérieur = foetus volant, rare responsable de déformation rachidienne en hyperextension'", "Difficult"
