"question","answer","explanation","difficulty"
"Quelle est la définition de la maladie des emboles de cholestérol selon le document ?","Maladie athéroembolique systémique, c'est-à-dire de multiples emboles à partir de plaques athéromateuses.","Le document donne cette définition.","Easy"
"Quels sont les trois types de facteurs déclenchants de la maladie des emboles de cholestérol ?","1) Angiographie invasive ; 2) Chirurgie cardio-vasculaire ; 3) Anti-thrombotiques/anti-coagulants. Le délai est de 8 jours à 8 semaines.","Le document liste ces facteurs.","Easy"
"Quels sont les trois signes cutanés de la maladie des emboles de cholestérol cités dans le document ?","Livedo réticulaire, orteils pourpres froids douloureux, purpura nécrotique / ulcères chroniques.","Le document liste ces signes.","Easy"
"Quel est le signe ophtalmologique spécifique de la maladie des emboles de cholestérol et pourquoi est-il spécifique ?","Emboles rétiniens jaune orangé réfringents. Il est spécifique car les cristaux de cholestérol obstruant les artères rétiniennes sont réfringents et de couleur caractéristique.","Le document les qualifie de ''spécifiques''.","Medium"
"Quelle est la triade diagnostique de la maladie des emboles de cholestérol selon le document ?","1) Exposition à un facteur déclenchant (angiographie, chirurgie, anticoagulants) ; 2) IRA (insuffisance rénale aiguë) ; 3) Signes cutanés au fond d'œil (livedo, orteils pourpres, emboles rétiniens).","Le document donne cette triade.","Medium"
"Quels sont les trois diagnostics différentiels de la maladie des emboles de cholestérol et leur principal élément distinctif ?","1) CP emboligène (cœur, emboles non cristallins) ; 2) Endocardite infectieuse (fièvre, signes infectieux, hémocultures positives) ; 3) NTA post-PCI (délai 48h après produit de contraste, absence de signes cutanés).","Le document liste ces diagnostics.","Medium"
"Quel est le traitement recommandé pour la maladie des emboles de cholestérol et quel est le rôle de chaque thérapeutique ?","1) Symptomatique : anti-HTA (contrôle tensionnel), hémodialyse (si IR sévère) ; 2) Statine à forte dose (stabilise la plaque athéromateuse, prévention des récidives) ; 3) +/- corticothérapie (optionnelle, en cas d'inflammation sévère).","Le document détaille le traitement.","Medium"
"Un patient de 70 ans, tabagique, diabétique, a une IRA progressive 10 jours après une coronarographie. Il présente un livedo réticulaire aux membres inférieurs et des orteils pourpres. Quel est le diagnostic le plus probable ?","Maladie des emboles de cholestérol. Le terrain (homme âgé, tabac, diabète), le facteur déclenchant (coronarographie), le délai (10 jours), l'IRA et les signes cutanés (livedo, orteils pourpres) sont typiques.","Le document associe ce tableau clinique.","Difficult"
"Un patient a une IRA 48h après une artériographie, sans signes cutanés. Quel diagnostic différentiel de la maladie des emboles de cholestérol est le plus probable et pourquoi ?","NTA post-PCI (nécrose tubulaire aiguë post-produit de contraste iodé). Le délai de 48h et l'absence de signes cutanés orientent vers une toxicité directe du produit de contraste plutôt que vers une athéroembolie.","Le document mentionne la NTA post-PCI comme diagnostic différentiel.","Difficult"
"Pourquoi le pronostic de la maladie des emboles de cholestérol est-il sombre ?","Car l'atteinte est systémique et irréversible : atteinte rénale évoluant vers l'IRCT (50-75% des cas), atteinte digestive (10-40%) de pronostic péjoratif, atteinte neurologique (AVC), et mortalité élevée.","Le document mentionne ''Pronostic sombre : IRCT, mortalité élevée''.","Difficult"
"Quel est le mécanisme physiopathologique conduisant à l'HTA sévère dans la maladie des emboles de cholestérol ?","Les emboles de cholestérol obstruent les artérioles rénales, provoquant une ischémie rénale. L'ischémie stimule le système rénine-angiotensine-aldostérone (SRAA), entraînant une HTA sévère.","Le document indique : ''Rein : ischémie -> stimulation SRAA''.","Difficult"
