"front","back","cognitive_level"
"Quelle est la définition biologique de l'hyperkaliémie ?","Potassium plasmatique > 5 mmol/L. Excès de concentration de potassium dans le sang.","Recall"
"Citez trois causes pré-analytiques de fausse hyperkaliémie.","1) Hémolyse lors d'un prélèvement laborieux avec garrot serré ; 2) Centrifugation tardive du tube (prélèvement au domicile) ; 3) Hyperleucocytose majeure (> 100 000/mm3) ou thrombocytémie (> 1 000 000/mm3).","Recall"
"Quels sont les trois signes cardiaques ECG évolutifs de l'hyperkaliémie ?","Onde T ample et pointue sur toutes les dérivations, disparition de l'onde P, bloc sino-auriculaire, élargissement du QRS, tachycardie ventriculaire, fibrillation ventriculaire (trois exemples parmi ces six).","Recall"
"Quels sont les signes neuromusculaires de l'hyperkaliémie ?","Paresthésies des extrémités et péribuccales, faiblesse musculaire ou paralysie d'évolution ascendante.","Recall"
"Quel signe métabolique accompagne l'hyperkaliémie ?","Acidose métabolique.","Recall"
"Citez trois causes médicamenteuses d'hyperkaliémie par transfert.","β-bloquants non sélectifs, intoxication digitalique, agonistes α-adrénergiques, AINS, ciclosporine A, tacrolimus, héparine/HBPM, IEC et ARA2 (trois exemples parmi ces huit).","Recall"
"Quel est le traitement antagoniste membranaire direct de l'hyperkaliémie sévère et quel est son délai d'action ?","Chlorure ou gluconate de calcium à 10% : 1 ampoule de 10 ml IV en 2-3 minutes. Agit en 1 à 3 minutes.","Recall"
"Quels sont les trois moyens de transfert du potassium vers le compartiment intracellulaire ?","Insuline, salbutamol, alcalinisation (solute bicarbonaté).","Recall"
"Quel est le délai d'action de l'insuline pour le transfert du potassium ?","1 à 2 heures (SGH à 10% associé à 12-16 UI d'insuline ordinaire en IV).","Recall"
"Quelle est la principale contre-indication du salbutamol dans le traitement de l'hyperkaliémie ?","Sujets coronariens (la tachycardie induite raccourcit le temps diastolique → baisse de l'irrigation du cœur → trouble myocardique potentiellement létal).","Recall"
"Expliquez le mécanisme par lequel une acidose aiguë provoque une hyperkaliémie.","L'acidose aiguë est responsable d'une hyperkaliémie par transfert extracellulaire de potassium (sortie du potassium des cellules vers le compartiment extracellulaire).","Understanding"
"Pourquoi l'insuffisance surrénalienne (maladie d'Addison) cause-t-elle une hyperkaliémie ?","Par manque d'aldostérone (hormone produite par la corticosurrénale, détruite par des auto-anticorps), entraînant un défaut d'élimination du potassium au niveau rénal.","Understanding"
"Pourquoi les IEC et les ARA2 peuvent-ils induire une hyperkaliémie ?","Car ils bloquent l'action de l'aldostérone, hormone qui favorise l'excrétion rénale du potassium.","Understanding"
"Un patient sous hémodialyse chronique consulte pour une faiblesse musculaire ascendante. L'ECG montre des ondes T amples et pointues avec disparition de l'onde P. La kaliémie est à 7,8 mmol/L. Quelle est la conduite thérapeutique immédiate ?","Urgence absolue : Calcium IV (antagoniste membranaire direct), puis soluté glucosé + insuline, salbutamol si non coronarien, soluté bicarbonaté si acidose associée + résine en lavement, dans l'attente de l'épuration extrarénale (hémodialyse).","Application"
"Un patient obèse sous régime hypocalorique présente une hyperkaliémie à 6,2 mmol/L sans acidose ni insuffisance rénale. Le bilan montre une lyse tumorale après chimiothérapie récente. Quel est le mécanisme de cette hyperkaliémie ?","Catabolisme cellulaire accru (lyse tumorale spontanée ou au cours d'une chimiothérapie), entraînant une libération massive de potassium intracellulaire dans le sang.","Application"
"Comparez les trois stratégies thérapeutiques de l'hyperkaliémie : antagonistes membranaires, transfert intracellulaire, élimination.","1) Antagonistes membranaires (Ca++) : protection cardiaque immédiate (1-3 min), n'abaissent pas la kaliémie. 2) Transfert intracellulaire (insuline, salbutamol, bicarbonates) : déplacement temporaire du K+ vers les cellules (délai 1-120 min). 3) Élimination (diurétiques de l'anse, résines, hémodialyse) : élimination définitive du K+ hors de l'organisme (plus lent, sauf dialyse).","Analysis"
