question, answer, explanation, difficulty
"Le volume plasmatique augmente de 40% pendant la grossesse.", True, "Le document : '+ 40%'", "Easy"
"La masse des globules rouges augmente plus que le volume plasmatique.", False, "Le document : 'Volume plasmatique : + 40%, Volume cellulaire : + 15%' – hémodilution", "Easy"
"L'hématocrite diminue pendant la grossesse.", True, "Le document : 'Diminution de l'hématocrite (passant de 40 à 34 %)'", "Easy"
"L'hémoglobine augmente pendant la grossesse.", False, "Le document : 'Diminution de l'hémoglobine (11-12g/dl)'", "Easy"
"L'hyperleucocytose physiologique atteint 12.000-15.000/mm3.", True, "Le document : '12.000-15.000/mm3'", "Easy"
"Les dépenses énergétiques pendant la grossesse sont de 2500 kcal/j.", True, "Le document : 'Dépenses énergétiques estimées à 2500 kcal/j'", "Easy"
"La glycémie est équilibrée par apport alimentaire et néoglucogénèse.", True, "Le document : 'Equilibre de la glycémie : apport alimentaire et néoglucogénèse'", "Easy"
"La VS diminue pendant la grossesse.", False, "Le document : 'VS augmentée'", "Easy"
"La fréquence cardiaque atteint 100 bpm en fin de grossesse.", True, "Le document : 'Augmentation de la FC (100bpm)'", "Easy"
"Le débit cardiaque augmente de 20 à 40% pendant la grossesse.", True, "Le document : 'Débit cardiaque augmenté de 20 à 40%'", "Easy"
"La progestérone a un effet vasoconstricteur.", False, "Le document : 'Progestérone : myorelaxant, diminue la contractilité des fibres musculaires lisses'", "Easy"
"La compression de la veine cave inférieure est maximale en décubitus latéral gauche.", False, "Le document : 'surtout en décubitus dorsal'", "Easy"
"Le diaphragme s'élève de 4 cm pendant la grossesse.", True, "Le document : 'Elévation du niveau du diaphragme de 4 cm'", "Easy"
"L'angle xyphoïdien s'élargit à 70-105°.", True, "Le document : 'Elargissement de l'angle xyphoïdien : 70 - 105°'", "Easy"
"La pollakiurie est due à l'augmentation de la diurèse.", False, "Le document : 'Diminution de la capacité vésicale -> pollakiurie (compression de l'utérus gravide)'", "Medium"
"La filtration glomérulaire augmente de 30-50% pendant la grossesse.", True, "Le document : 'Augmentation de la filtration glomérulaire de 30-50%'", "Easy"
"La protéinurie physiologique peut atteindre 500 mg/24h.", False, "Le document : '< 300mg/24h'", "Easy"
"La créatinine sanguine diminue pendant la grossesse.", True, "Tableau : 'Créatinine : Diminué'", "Easy"
"L'acide urique sanguin augmente pendant la grossesse.", False, "Tableau : 'Acide urique : Diminué'", "Easy"
"Les nausées et vomissements sont liés à l'hyper-imprégnation en bêta-HCG.", True, "Le document : 'hyper-imprégnation hormonale (bêta-HCG) au 1er trimestre'", "Easy"
"Le ptyalisme est une hypersialorrhée de grossesse.", True, "Le document : 'Ptyalisme ou hypersialorrhée'", "Easy"
"Le reflux gastro-œsophagien est favorisé par la progestérone.", True, "Le document : 'Action myorelaxante de la progestérone'", "Easy"
"Les complications urologiques de la grossesse prédominent à gauche.", False, "Le document : 'Dextrorotation : complications urologiques acd grossesse se trouvent presque toujours à droite'", "Medium"
"La constipation est favorisée par la compression rectale.", True, "Le document : 'Compression du rectum par l'utérus gravide'", "Easy"
"La prise de poids totale est d'environ 12 kg.", True, "Le document : 'jusqu'à 12 kg environ'", "Easy"
"Le syndrome de Lacomme est une douleur lombaire.", False, "Le document : 'relâchement des articulations symphysaires : douleur +++ en position debout'", "Medium"
"Le masque de grossesse est une hyperpigmentation en forme de papillon.", True, "Le document : 'masque de grossesse (typique, au niveau du nez et joues, en forme de papillon)'", "Easy"
"Le colostrum apparaît au 3ème trimestre.", False, "Le document : 'fin du 1er trimestre'", "Easy"
"La dextrorotation de l'utérus expose aux infections urinaires droites.", True, "Le document : 'Dextrorotation : complications urologiques à droite : PNA'", "Medium"
"Les modifications physiologiques de grossesse sont toujours graves.", False, "Le document : 'Modifications physiologiques : rassurer la patiente sur la bénignité'", "Easy"
