"question","answer","explanation","difficulty"
"La première greffe de cornée réussie chez l’homme a été réalisée par Von Hippel en 1887.","True","Le document l’indique explicitement.","Easy"
"La greffe de cornée consiste à remplacer un fragment de cornée opaque par une cornée saine venant d’un donneur vivant.","False","Le document précise : « venant d’un donneur (cadavre) ».","Easy"
"La cornée est un site privilégié pour la greffe car elle est avasculaire.","True","Le document le mentionne.","Easy"
"Le taux de succès de la greffe de cornée est de 30 à 50%.","False","Le document indique 60-90%.","Easy"
"La kératoplastie transfixiante remplace toute l’épaisseur de la cornée.","True","Le document précise : « rondelle de cornée pathologique […] remplacer par une rondelle […] ».","Easy"
"Le fil utilisé pour suturer la greffe de cornée est un fil résorbable.","False","Le document précise : « fil non résorbable (fil nylon 10.0) ».","Easy"
"La kératoplastie lamellaire antérieure profonde conserve la membrane de Descemet et l’endothélium du receveur.","True","Le document l’indique.","Easy"
"La kératoplastie endothéliale est indiquée dans les atteintes endothéliales pures.","True","Le document le précise.","Easy"
"La corticothérapie locale post-opératoire dure 1 mois après greffe de cornée.","False","Le document indique « pendant 1 an ».","Easy"
"Les points de suture sont laissés en place environ 1 an.","True","Le document l’indique.","Easy"
"Le kératocône est une affection débutant chez le sujet âgé de plus de 60 ans.","False","Le document précise : « débutant chez l’enfant ou l’adulte jeune ».","Easy"
"La kératite herpétique représente 5% des greffes de cornée au stade de séquelles.","True","Le document l’indique.","Easy"
"La dystrophie bulleuse de la personne âgée est due à une perte de cellules endothéliales cornéennes.","True","Le document le précise.","Easy"
"Les brûlures chimiques acides sont les plus pourvoyeuses d’opacification cornéenne.","False","Le document précise : « Brûlures chimiques (base +++) », les bases sont plus graves.","Medium"
"La cornea guttata est une dystrophie endothéliale.","True","Le document le décrit comme tel.","Medium"
"Le rejet immunitaire se manifeste par ORD + BAV + PRD.","True","Le document le décrit.","Medium"
"La vascularisation cornéenne protège contre le rejet immunitaire.","False","Le document liste la vascularisation cornéenne comme facteur de risque de rejet.","Medium"
"Le jeune âge (<12 ans) est un facteur de bon pronostic pour la greffe de cornée.","False","Le document liste « Jeune âge (< 12 ans) » comme facteur de risque de rejet.","Medium"
"Les dystrophies cornéennes héréditaires sont une indication rare de greffe de cornée.","True","Le document mentionne « Dystrophie cornéenne héréditaire (rare) ».","Medium"
"Une chirurgie combinée cataracte-greffe de cornée est possible.","True","Le document mentionne « Chirurgie combinée : cataracte, glaucome ».","Medium"
"Un astigmatisme postopératoire important et irrégulier est une complication possible de la greffe de cornée.","True","Le document le liste parmi les complications.","Difficult"
