"term","definition","contextual_explanation"
"Toxidermie","Effet secondaire à expression cutanée des médicaments administrés par voie interne.","Réaction idiosyncrasique, aiguë, imprévisible, indépendante de la dose. Problème de santé publique. Doit être notifiée en pharmacovigilance."
"Réaction idiosyncrasique","Réaction médicamenteuse non immuno-allergique, individuelle, imprévisible.","Qualifie les toxidermies."
"Pharmacovigilance","Système de surveillance des effets indésirables des médicaments.","Notification obligatoire des toxidermies."
"Enquête d’imputation","Démarche visant à attribuer un effet indésirable à un médicament.","Comporte des critères chronologiques et sémiologiques, ainsi que des données bibliographiques."
"Exanthème maculo-papuleux","Éruption cutanée faite de macules et papules.","Forme bénigne de toxidermie, délai 4-15 jours, début tronc/racine des membres, évolution <1 semaine, prurit, fièvre modérée."
"Urticaire médicamenteuse","Papules œdémateuses mobiles et fugaces.","Survient en quelques minutes à heures après la prise, signe une sensibilisation préalable, contre-indique la réintroduction (risque anaphylaxie)."
"Photosensibilité médicamenteuse","Réaction cutanée déclenchée par l’exposition solaire après prise d’un médicament.","Deux types : photo-allergie (lésion eczéma) et phototoxicité (super coup de soleil, bulles tendues, onycholyse)."
"Photo-allergie","Réaction immunologique déclenchée par l’association médicament + UV.","Lésions eczématiformes des zones exposées, même à doses minimes de soleil."
"Phototoxicité","Réaction non immunologique dose-dépendante (médicament + UVA).","Aspect de « super coup de soleil », bulles tendues, décollement unguéal."
"Erythème pigmenté fixe (EPF)","Dermatose de cause exclusivement médicamenteuse.","Pathognomonique d’une toxidermie. Délai <48h, plaques érythémateuses arrondies douloureuses, régression avec pigmentation brune résiduelle. Localisations : organes génitaux, lèvres, face, dos."
"Angiœdème","Tuméfaction ferme mal limitée, non érythémateuse, non prurigineuse.","Touche paupières et lèvres, sensation de tension douleur. Forme grave de toxidermie."
"Œdème de Quincke","Œdème laryngé.","Se manifeste par dysphonie, hypersalivation, dysphagie. Signe d’alarme d’asphyxie et d’anaphylaxie."
"Pustulose exanthématique aiguë généralisée (PEAG)","Toxidermie pustuleuse aiguë.","Délai 1-4 jours (souvent antibiotiques). Éruption fébrile, érythème en nappe des grands plis, pustules <2mm, hyperleucocytose neutrophile. Régression spontanée rapide."
"Syndrome de Stevens-Johnson (SSJ)","Forme grave de toxidermie avec nécrose épidermique <10% de la surface corporelle.","Délai ≥21 jours. Fièvre, atteintes muqueuses (brûlures oculaire, pharyngite, odynophagie, brûlures mictionnelles), bulles, signe de Nikolsky positif. Mortalité élevée."
"Syndrome de Lyell","Nécrolyse épidermique toxique avec nécrose >30% de la surface corporelle.","Même maladie que SSJ. Vastes lambeaux d’épiderme décollés, derme suintant rouge vif. Atteinte viscérale possible (bronches). Mortalité 20-25%. Séquelles fréquentes."
"Nécrolyse épidermique toxique (NET)","Synonyme de syndrome de Lyell.","Décollement épidermique étendu."
"Signe de Nikolsky","Décollement de l’épiderme à la moindre pression.","Positif dans le SSJ, le Lyell, et la PEAG (partiel)."
"DRESS syndrome","Drug Rash with Eosinophilia and Systemic Symptoms.","Syndrome d’hypersensibilité médicamenteuse retardée (3 semaines à 3 mois). Mortalité 10%. Seule toxidermie traitée par corticoïdes. Prodrome pharyngé, fièvre, œdème visage/cou, polyadénopathie, hépatosplénomégalie, éruption maculo-papuleuse ou érythrodermie, prurit. Hyperéosinophilie, lymphocytes activés, atteinte viscérale (foie +++)."
"Hyperéosinophilie","Taux de polynucléaires éosinophiles >500/mm3.","Critère biologique du DRESS (parfois absent)."
"Syndrome d’activation macrophagique","Complication immunologique sévère avec prolifération de macrophages.","Peut survenir dans le DRESS."
"Critères d’imputabilité chronologique","Délais évocateurs entre la prise médicamenteuse et l’apparition de la toxidermie, et évolution après arrêt.","Tableau des délais : urticaire (minutes-heures), EPF (1-4j), PEAG (<4j), SSJ/Lyell (7-21j), DRESS (2-6 semaines)."
"Critères d’imputabilité sémiologique","Arguments cliniques : compatibilité du tableau, facteurs favorisants (VIH, EBV, VZV), antécédent de toxidermie, exclusion d’autres diagnostics.","Utilisés pour l’enquête d’imputation."
"Erythème polymorphe majeur","Diagnostic différentiel du SSJ.","Lésions en cocardes ou cibles, distribution acrale (coudes, genoux, mains, pieds, visage), érosions muqueuses, récidives fréquentes."
"Epidermolyse staphylococcique","Diagnostic différentiel du Lyell chez le nourrisson.","Staphylococcal scalded skin syndrome (SSSS)."
"Antihistaminiques","Médicaments bloquant les récepteurs de l’histamine.","Traitement symptomatique des toxidermies bénignes (EMP, urticaire)."
"Dermocorticoïdes","Corticoïdes topiques.","Utilisés dans les toxidermies bénignes (EMP) et dans le DRESS par voie IV."
"Corticoïdes IV","Corticothérapie intraveineuse.","Traitement spécifique du DRESS syndrome."
"Notification","Déclaration obligatoire d’un effet indésirable médicamenteux aux autorités de pharmacovigilance.","Obligation légale pour toute toxidermie."
"Carnet de médicament imputé","Document remis au patient listant le médicament responsable de la toxidermie.","Pour éviter toute réintroduction accidentelle."
