"term","definition","contextual_explanation"
"insuffisance surrénale aiguë","Effondrement de la sécrétion des hormones corticosurrénaliennes en dessous des besoins de l’organisme, entraînant une décompensation aiguë.","Urgence médicale diagnostique et thérapeutique mettant rapidement en jeu le pronostic vital à très court terme."
"corticosurrénale","Partie externe de la glande surrénale, composée de trois couches : glomérulée, fasciculée, réticulée.","Sécrète les minéralocorticoïdes (aldostérone), les glucocorticoïdes (cortisol) et les stéroïdes sexuels."
"médullosurrénale","Partie interne de la glande surrénale.","Sécrète les catécholamines : noradrénaline et adrénaline, intervenant dans le stress et l’homéostasie."
"aldostérone","Minéralocorticoïde sécrété par la zone glomérulée.","Rétention de sodium et excrétion de potassium, sous dépendance de la rénine. Sécrétion préservée si insuffisance surrénale haute (déficit ACTH)."
"cortisol (hydrocortisone)","Glucocorticoïde sécrété par la zone fasciculée.","Effets : hyperglycémiant (néoglucogenèse), catabolisme protidique, lipogenèse, inhibition ADH, stimulation SNC, anti-inflammatoire, antipyrétique, stimulation tonus vasculaire."
"catécholamines","Noradrénaline et adrénaline sécrétées par la médullosurrénale.","Interviennent dans les états d’urgence (stress) et le maintien de l’homéostasie."
"mélanodermie","Hyperpigmentation cutanée (teint plus foncé que la normale).","Signe fréquent d’insuffisance surrénale primitive (hyperplasie congénitale, hypoplasie, adrénoleucodystrophie)."
"perte de sel","Syndrome de déshydratation extracellulaire sévère avec hyponatrémie, hyperkaliémie.","Classique dans l’insuffisance surrénale aiguë du nouveau-né (hyperplasie congénitale, hypoplasie)."
"adynamie","Faiblesse musculaire extrême, incapacité à se mouvoir.","Signe neurologique de l’insuffisance surrénale aiguë."
"collapsus","Insuffisance circulatoire aiguë avec chute de la pression artérielle.","Complication possible de l’insuffisance surrénale aiguë."
"hyponatrémie","Taux de sodium sanguin anormalement bas.","Signe biologique de l’insuffisance surrénale aiguë (déficit en minéralocorticoïdes)."
"hyperkaliémie","Taux de potassium sanguin anormalement élevé.","Signe biologique de l’insuffisance surrénale aiguë (déficit en aldostérone)."
"natriurèse augmentée","Élimination urinaire excessive de sodium.","Signe d’insuffisance surrénale aiguë (défaut de réabsorption tubulaire)."
"cortisolémie","Taux de cortisol dans le sang.","Effondrée à 8h dans l’insuffisance surrénale."
"ACTH","Hormone adrénocorticotrope sécrétée par l’hypophyse.","Dans l’insuffisance surrénale primitive : ACTH élevé. Dans l’insuffisance secondaire (corticotrope) : ACTH bas."
"test au Synacthène","Test dynamique de stimulation par ACTH synthétique.","Permet de confirmer l’insuffisance surrénale : réponse du cortisol anormale."
"hypoplasie congénitale des surrénales","Malformation surrénalienne héréditaire.","Liée à l’X, touche les garçons, avec mélanodermie et perte de sel +++."
"hyperplasie congénitale des surrénales","Hyperplasie surrénalienne par déficit enzymatique (21-hydroxylase le plus souvent).","Autosomique récessif, fréquent, dépistage systématique en France. Virilisation des filles, mélanodermie, perte de sel +++."
"résistance à l’ACTH","Insensibilité des surrénales à l’ACTH.","Pas de perte de sel, hypoglycémie, mélanodermie, aldostérone normale."
"hémorragie surrénale néonatale","Saignement dans les surrénales du nouveau-né.","Forme sporadique, après hypercorticisme maternel."
"adrénoleucodystrophie","Maladie génétique liée à l’X.","Garçons, démyélinisation du SNC avec mélanodermie, insuffisance surrénale."
"maladie 3A","Triple A : Achalasie, Alacrymie, Addison.","Anomalies du système végétatif avec insuffisance surrénale."
"tuberculose des surrénales","Infection tuberculeuse des glandes surrénales.","Cause classique d’insuffisance surrénale chez l’enfant (aujourd’hui rare)."
"règle des 20/20/20","Règle de réhydratation dans l’insuffisance surrénale aiguë.","20 ml/kg de sérum physiologique à passer en 20 minutes."
"gluconate de calcium","Traitement de l’hyperkaliémie sévère (>7 mmol/L).","Posologie : 0,5 ml/kg IV en 5 minutes (solution à 10 %)."
"hydrocortisone","Glucocorticoïde de synthèse (identique au cortisol).","Traitement substitutif : 100 mg/kg/j en 4 fois IV."
"acétate de désoxycorticostérone (Syncortil)","Minéralocorticoïde de synthèse.","Posologie : 5-10 mg/m²/j en une injection."
"carte de surrénalien","Carte d’information pour patient insuffisant surrénalien.","Recommandée pour le port par le patient, indiquant la conduite à tenir en cas d’urgence."
