"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quel est le mécanisme de l'hypoperfusion rénale induite par les AINS ?","Blocage SRAA -> vasodilatation efférente","Blocage Cox 1 ou 2 -> inhibition des prostaglandines -> prédominance des vasoconstricteurs","Vasoconstriction directe des artères rénales","Augmentation de la viscosité sanguine","2","Le document explique : ''AINS : Blocage Cox 1 ou 2, -> inhibe prostaglandine -> prédominance des vasoconstricteurs''.","Easy"
"Quel est le mécanisme de l'IRA fonctionnelle induite par les IEC ?","Blocage SRAA -> vasodilatation de l'artère efférente (car l'angiotensine II n'est plus produite)","Blocage Cox","Vasoconstriction afférente","Nécrose tubulaire directe","1","Le document indique : ''IEC : blocage SRAA (qui permet une certaine vasoconstriction artère efférente) -> vasodilatation''.","Easy"
"Quels sont les trois médicaments cités comme cause de toxicité tubulaire directe ?","AINS, IEC, ARA2","Aminosides, PCI, Dextran, Cisplatine, Ifosfamide, Tacrolimus, Ig IV, ciclosporine","Allopurinol, diurétiques, IPP","Bêtabloqueurs, dérivés de l'ergot","2","Le document liste dans le tableau : ''Aminosides, PCI, Dextran, Cisplatine, Ifosfamide, Tacrolimus, Ig IntraVeineuse, ciclosporine''.","Easy"
"Quels médicaments sont cités comme cause de toxicité tubulaire indirecte par rhabdomyolyse ?","Fibrates, Statines","Quinine, Rifampicine","Méthotrexate, Aciclovir","Amphothéricine B","1","Le document précise : ''Par rhabdomyolyse : Fibrates, Statines''.","Easy"
"Quels médicaments sont cités comme cause de toxicité tubulaire indirecte par cristallurie ?","Fibrates, Statines","Quinine, Rifampicine","Méthotrexate, Aciclovir, Foscarnet, Indinavir, Sulfonamide","Aminosides, Cisplatine","3","Le document indique : ''Par cristallurie : Méthotrexate, Aciclovir, Foscarnet, Indinavir, Sulfonamide''.","Easy"
"Quels médicaments sont cités comme cause de néphropathie tubulo-interstitielle chronique ?","AINS, bêta-lactamines","Lithium, Tenofovir","Ciclosporine, Gemcitabine","Ergotamine, bêtabloqueurs","2","Le document précise dans le tableau : ''Toxicité tubulo-interstitielle (en général, toxicité chronique) : Lithium, Tenofovir''.","Easy"
"Quels médicaments sont cités comme cause de néphropathie immuno-allergique tubulo-interstitielle ?","AINS, bêta-lactamines, Rifampicine, Cimétidine, Ciprofloxacine, Diurétiques, Allopurinol, IPP","Lithium, Tenofovir","Ciclosporine, Gemcitabine","Ergotamine, bêtabloqueurs","1","Le document liste ces médicaments dans le tableau.","Easy"
"Quels médicaments sont cités comme cause d'atteinte glomérulaire ?","AINS, D-pénicillamine, Interféron, sels d'or","Lithium, Tenofovir","Ciclosporine, Gemcitabine","Ergotamine, bêtabloqueurs","1","Le document précise : ''Glomérulaire : AINS, D-pénicillamine, Interféron, sels d'or''.","Easy"
"Quels médicaments sont cités comme cause de microangiopathie thrombotique ?","AINS, bêta-lactamines","Lithium, Tenofovir","Ciclosporine, Gemcitabine, Clopidogrel, mitomycine","Ergotamine, bêtabloqueurs","3","Le document liste : ''Microangiopathie thrombotique : Ciclosporine, Gemcitabine, Clopidogrel, mitomycine''.","Easy"
"Quels médicaments sont cités comme cause de fibrose rétropéritonéale ?","AINS, bêta-lactamines","Lithium, Tenofovir","Ciclosporine, Gemcitabine","Ergotamine, bêtabloqueurs","4","Le document indique : ''Fibrose rétropéritonéale : Ergotamine, bêtabloqueurs''.","Easy"
"Quel est le tableau clinique le plus fréquent des néphropathies médicamenteuses ?","IRA hémodynamique","Nécrose tubulaire aiguë toxique","Néphropathie interstitielle aiguë","Néphropathie chronique","2","Le document précise : ''Nécrose tubulaire aiguë toxique : LE PLUS FREQUENT et grave''.","Easy"
"Quelle est la conduite à tenir devant une IRA hémodynamique médicamenteuse ?","Arrêt de la molécule, expansion volémique (réhydratation)","Corticothérapie","Poursuite du traitement","Diurétiques","1","Le document indique : ''CAT : arrêt de la molécule, expansion volémique (réhydratation)''.","Easy"
"Quelle est la conduite à tenir devant une nécrose tubulaire aiguë toxique ?","Arrêt de la molécule, maintien de la volémie, EER si besoin","Corticothérapie","Poursuite du traitement","Restriction hydrique","1","Le document précise : ''CAT : arrêt de la molécule, maintien de la volémie (difficile car anurique -> risque d'OAP), Epuration extra-rénale (EER) si besoin''.","Easy"
"Quel signe biologique est pathognomonique des néphropathies interstitielles aiguës immuno-allergiques ?","Leucocyturie sans germe","Protéinurie > 3g/24h","Eosinophilurie","Hématurie macroscopique","3","Le document indique : ''Eosinophilurie (...) (pathognomonique)''.","Easy"
"Quelle est la conduite à tenir devant une néphropathie interstitielle aiguë immuno-allergique ?","Arrêt de la molécule + corticothérapie (car risque d'IRT en 3 mois)","Arrêt seul","Poursuite à dose réduite","Antibiothérapie","1","Le document précise : ''Arrêt de la molécule - Corticothérapie (car il y aura une autonomisation de l'inflammation si non traitée : IRT en quelques mois (3 mois))''.","Easy"
"Quelle est la contre-indication définitive dans les néphropathies immuno-allergiques ?","Contre-indication définitive de la classe de molécule car non dose dépendante","Contre-indication temporaire","Possibilité de réintroduction à demi-dose","Aucune contre-indication","1","Le document le précise.","Easy"
"Quelle est la néphropathie spécifique du lithium ?","Diabète insipide néphrogénique","NTA toxique","Néphropathie interstitielle aiguë","Glomérulonéphrite","1","Le document indique : ''Néphropathie du lithium : Diabète insipide néphrogénique (reins ne répondent pas aux ADH)''.","Easy"
"Quel est l'aspect TDM des reins dans la néphropathie des analgésiques ?","Petits reins, contours irréguliers (reins bosselés ou en fleur fanée)","Reins augmentés de taille","Reins normaux","Kystes multiples","1","Le document précise : ''TDM : petits reins, contours irréguliers (reins bosselés ou en fleur fanée)''.","Easy"
"Quel est le mécanisme de la nécrose papillaire dans la néphropathie des analgésiques ?","Tout analgésique, dose cumulée (longueur de temps de prise) ou en association","Toxicité directe sur le glomérule","Réaction immuno-allergique","Obstruction urétérale","1","Le document l'explique.","Easy"
"Quelle est l'évolution de la protéinurie après arrêt des AINS dans les atteintes glomérulaires avec LGM ?","Disparition en quelques jours à quelques semaines","Disparition lente sur plusieurs mois","Persistance définitive","Aggravation","1","Le document précise : ''Evolution : disparition de la protéinurie en quelques jours à quelques semaines''.","Easy"
"Quelle est l'évolution de la protéinurie après arrêt des sels d'or dans les GEM ?","Disparition rapide","Baisse lente","Aggravation","Aucun changement","2","Le document indique : ''Baisse de la protéinurie : lente''.","Easy"
"Quel pourcentage des lithiases sont d'origine médicamenteuse selon le document ?","0,5%","1%","2%","5%","2","Le document précise : ''1% des lithiases : médicamenteuses''.","Easy"
"Quelle est la conduite à tenir devant une cristallurie médicamenteuse ?","Arrêt de la molécule, diurèse abondante (au moins 1 verre d'eau au maximum toutes les 2 heures)","Corticothérapie","Alcalinisation","Chirurgie","1","Le document donne cette conduite.","Easy"
"Quelle est la conduite à tenir devant une fibrose rétropéritonéale médicamenteuse ?","Arrêt du médicament causal","Corticothérapie","Chirurgie de libération des uretères","Dilatation urétérale","1","Le document ne précise pas spécifiquement mais l'arrêt est implicite.","Easy"
"Quels sont les 4 facteurs de risque liés à l'état du patient cités dans le document ?","IC, hypovolémie, diabète, IRC","Âge >60 ans, myélome, posologie trop forte, IRC ou néphropathie préexistante, association d'autres néphrotoxiques","HTA, obésité, tabac, dyslipidémie","Grossesse, allaitement, enfant, sujet âgé","2","Le document liste : ''Âge > 60 ans, Myélome, Posologie trop forte, IRC ou néphropathie préexistante (Diabète), Association d'autres néphrotoxiques''.","Medium"
"Quelle est la prévention des néphropathies aux produits de contraste iodés ?","Hydratation abondante (NaCl ou bicarbonate isotonique 1ml/kg/h 12h avant et après), arrêt des diurétiques, N-acétyl-cystéine (efficacité discutée)","Hydratation uniquement","Arrêt des IEC","Corticothérapie préventive","1","Le document détaille cette prévention.","Medium"
"Quelle est la posologie de la N-acétyl-cystéine dans la prévention des néphropathies aux PCI ?","600 mg x 2 24h avant et 24h après l'injection","1g x 2 12h avant","500 mg x 1 à distance","1,2g x 1","1","Le document précise : ''N-acétyl-cystéine 600 mg x 2 24h avant et 24h après l'injection (efficacité discutée)''.","Medium"
"Quelle est la contre-indication relative des IEC et ARA2 ?","Insuffisance cardiaque","Diabète","Sténose des artères rénales","HTA","3","Le document indique : ''Contre-indication relative. Sténose des artères rénales''.","Medium"
"Quand ne pas introduire les IEC ?","En cas d'hypoperfusion rénale (déshydratation, décompensation)","En cas de diabète","En cas d'HTA","En cas d'insuffisance cardiaque","1","Le document précise : ''Pas d'introduction si hypoperfusion (déshydratation, décompensation)''.","Medium"
"Quelle est l'éducation du patient sous IEC concernant les situations de déshydratation ?","Auto-arrêt des prises en toute situation de déshydratation (diarrhée ou vomissement)","Poursuite du traitement","Augmentation de la dose","Prise avec du sel","1","Le document le mentionne.","Medium"
"Quelle est la contre-indication des AINS en fonction du DFG ?","IRC < 20 ml/mn : contre-indication","IRC < 30 ml/mn","IRC < 10 ml/mn","Pas de contre-indication","1","Le document précise : ''IRC < 20 ml/mn : contre-indication''.","Medium"
"Quelle est la durée maximale de prescription des AINS en cas de DFG entre 20 et 60 ml/mn ?","< 5 jours (+ surveillance biologique)","< 10 jours","< 15 jours","< 3 jours","1","Le document indique : ''Entre 20 et 60 ml/mn : < 5 jours (+ surveillance biologique)''.","Medium"
"Quel est le risque de l'association AINS + IEC/ARA2 ?","Risque d'IRF (AINS ferme l'AA, IEC/ARA2 ouvrent l'AE)","Risque d'hyperkaliémie","Risque d'acidose","Risque d'anémie","1","Le document explique : ''Pas d'association avec IEC ou ARA2, sinon surveillance stricte (AINS ferme AA, IEC et ARA ouvrent l'AE)''.","Medium"
"Quels sont les trois types de médicaments antidiabétiques oraux CI à partir de MRC4 ?","Biguanides et sulfonylurés","Metformine","Gliptines","Insulines","1","Le document précise : ''Ex : Antidiabétiques oraux : à partir de MRC4 : Biguanides et sulfonylurés''.","Medium"
"Quel est le monitorage obligatoire des aminosides et à quel moment ?","Dosage sérique après 2 injections avant la 3ème (médico-légale)","Dosage avant la 1ère injection","Dosage après chaque injection","Dosage uniquement en cas de signes","1","Le document le précise.","Medium"
"Quel est le principe de prescription des médicaments en IRC selon le document ?","Médicament ''STRICTEMENT INDIQUE, sinon strictement contre-indiqué''","Tous les médicaments sont interdits","Tous les médicaments sont autorisés","Adaptation systématique à la clairance","1","Le document donne ce principe.","Medium"
"Quels sont les signes distinctifs entre toxicité directe et immuno-allergique concernant la relation dose/atteinte ?","Toxique : OUI ; Immuno-allergique : NON","Toxique : NON ; Immuno-allergique : OUI","Les deux ont une relation dose","Les deux n'ont pas de relation dose","1","Le document le précise dans le tableau comparatif.","Medium"
"Quels sont les signes distinctifs entre toxicité directe et immuno-allergique concernant les manifestations extra-rénales ?","Toxique : NON ; Immuno-allergique : OUI","Toxique : OUI ; Immuno-allergique : NON","Les deux ont","Les deux n'ont pas","1","Le document le précise.","Medium"
"Quels sont les signes distinctifs entre toxicité directe et immuno-allergique concernant l'évolution ?","Toxique : Favorable ; Immuno-allergique : Chronicisation fréquente","Toxique : Chronicisation ; Immuno-allergique : Favorable","Identiques","Inverses","1","Le document le précise.","Medium"
"Quelle est la différence entre hypovolémie relative et hypovolémie efficace selon le document ?","Hypovolémie relative : vasodilatation (choc anaphylactique) ; Hypovolémie efficace : IC avec hypervolémie","Identiques","Hypovolémie relative = hypovolémie efficace","Hypovolémie relative = déshydratation","1","Le document les distingue.","Difficult"
"Quelle est la définition de la volémie efficace selon le document ?","Part de la volémie qui perfuse efficacement les organes par unité de temps (= débit cardiaque)","Volume sanguin total","Fraction du VEC","Pression artérielle moyenne","1","Le document donne cette définition.","Difficult"
