"question","answer","explanation","difficulty"
"Les cancers de l'enfant représentent 1 à 3 % de tous les cancers.","True","Document: 'Rare : 1-3 % des cancers'","Easy"
"Le rétinoblastome est le cancer le plus fréquent chez l'enfant à Madagascar.","True","Document: 'Rétinoblastomes (le plus fréquent chez nous) 2%'","Easy"
"La trisomie 21 est un facteur de risque de leucémie chez l'enfant.","True","Document: 'Trisomie 21 et leucémies'","Easy"
"Le neuroblastome est une tumeur qui ne produit pas de marqueurs tumoraux.","False","Document: 'Marqueurs tumoraux : catécholamines urinaires (neuroblastome)'","Easy"
"Le lymphome de Hodgkin se diagnostique par biopsie montrant des cellules de Reed-Sternberg.","True","Document: 'Histologique++ ; ... cellules de Reed-Sternberg'","Easy"
"Le myélogramme normal dans les leucémies aiguës lymphoblastiques contient plus de 30% de blastes.","True","Document: 'Myélogramme (>30% de blastes)' pour le diagnostic.","Easy"
"Le néphroblastome survient typiquement chez l'adolescent.","False","Document: 'Age : 2-4 ans' pour le néphroblastome.","Easy"
"L'échographie est un examen clé pour le diagnostic du néphroblastome.","True","Document: 'Diagnostic CLINIQUE et ÉCHOGRAPHIQUE ou TDM'","Easy"
"Les tumeurs cérébrales représentent 20 à 25% des tumeurs de l'enfant.","True","Document: '20 À 25% des tumeurs de l'enfant'","Easy"
"La chimiothérapie est peu efficace sur les cancers de l'enfant.","False","Document: 'Grande sensibilité à la chimiothérapie' et 'très chimio-sensible'","Easy"
"L'AFP est un marqueur des tumeurs germinales malignes.","True","Document: 'AFP (hépatoblastomes), -HCG (tumeurs germinales malignes)'","Easy"
"Le syndrome cave supérieure peut être un signe clinique de cancer chez l'enfant.","True","Document: 'syndrome cave supérieure' dans les manifestations.","Easy"
"Les douleurs osseuses insomniantes sont un signe d'alerte possible.","True","Document: 'Douleurs osseuses insomniantes-> réduction de l'activité'","Easy"
"La radiothérapie est toujours indiquée en première intention pour tous les cancers pédiatriques.","False","Document: le traitement varie, radiothérapie parfois en complément, pas toujours.","Medium"
"La scintigraphie à la MIBG est utilisée pour le bilan d'extension du neuroblastome.","True","Document: 'Scintigraphie à la MIBG (neuroblastome)'","Medium"
"Le lymphome de Burkitt touche exclusivement les ganglions cervicaux.","False","Document: 'masses ORL (maxillaires) et abdominales'","Medium"
"Le PET-Scanner fait partie de l'évaluation de l'extension des cancers chez l'enfant.","True","Document: 'PET-Scanner' dans Évaluation de l'extension.","Medium"
"L'atteinte neuro-méningée est une présentation possible des leucémies aiguës lymphoblastiques.","True","Document: 'atteinte neuro-méningée' dans présentation clinique des LAL.","Medium"
"Les radiations ionisantes prénatales sont un facteur de risque pour les sarcomes uniquement.","False","Document: 'radiation ionisantes prénatales (thyroïde et leucémies)'","Medium"
"La chirurgie est le seul traitement du néphroblastome.","False","Document: 'Chimiothérapie et chirurgie +/- Radiothérapie'","Medium"
"Les jumeaux homozygotes ont un risque accru que l'autre développe une leucémie si l'un est atteint.","True","Document: 'Jumeaux homozygotes : Si 1 est atteint de leucémie, il y a plus de risque que l'autre soit atteint'","Medium"
"La ponction lombaire fait partie du bilan des tumeurs cérébrales.","True","Document: 'ponction lombaire et biopsie' dans bilans des tumeurs cérébrales.","Medium"
"Le médulloblastome est une tumeur de bas grade.","False","Document: 'Médulloblastome (tumeur maligne)'","Medium"
"Les soins palliatifs sont exclusifs à l'hospitalisation.","False","Document: 'Soins palliatifs, douleurs : hospitalisation, hospitalisation de jour ou à domicile'","Medium"
"La survie sans événement est un critère de suivi à long terme.","True","Document: 'Survie sans évènement (survie à 1 an, 2 ans, etc...)'","Medium"
"La cryptorchidie est associée aux tumeurs germinales selon le document.","True","Document: 'Cryptorchidies et tumeurs germinales'","Difficult"
"Le syndrome de Li-Fraumeni est un syndrome dominant associé au rétinoblastome et au sarcome.","True","Document: 'Dominant : rétinoblastome : 10%, syndrome de Li-Fraumeini et sarcome'","Difficult"
"L'amplification de N-myc est un facteur de bon pronostic dans le neuroblastome.","False","Document: 'Amplification de N-myc' (généralement facteur de mauvais pronostic, mais le document ne précise pas le sens; cependant l'affirmation 'bon pronostic' n'est pas documentée, donc fausse par défaut car non mentionné)","Difficult"
"La guérison est affirmée dès la fin du traitement.","False","Document: 'Fin de traitement mais pas guérison. Survie à 5 ans ... guérison'","Difficult"
"Les second cancers sont une complication possible après radiothérapie.","True","Document: 'second cancers (après radiothérapies)'","Difficult"
