"term","definition","contextual_explanation"
"cancer primitif du foie","Tumeur maligne se développant à partir des hépatocytes.","Représente 5% des cancers du foie, essentiellement un hépatocarcinome."
"cancer secondaire du foie","Métastase hépatique d’un cancer d’autre origine.","Représente 95% des cancers du foie ; provient du cancer digestif (50%), sein (25%), testicules/bronches (20%)."
"hépatocarcinome","Carcinome hépato‑cellulaire (CHC).","Nom du cancer primitif du foie le plus fréquent."
"hépatocytes","Cellules fonctionnelles du foie.","À partir desquelles se développent les cancers primitifs."
"cirrhose","Maladie chronique du foie avec fibrose et nodules de régénération.","Principal facteur de risque du CHC (toutes causes)."
"alcoolisme","Consommation excessive d’alcool.","Cause de 50 à 75% des cirrhoses."
"hépatite B","Infection virale du foie par le virus B.","Facteur de risque (30% des cirrhoses)."
"hépatite C","Infection virale par le virus C.","Facteur de risque (30% des cirrhoses)."
"aflatoxine B1","Toxine produite par des moisissures.","Substance toxique, facteur de risque."
"hémochromatose","Maladie génétique avec surcharge en fer.","Facteur de risque."
"carcinome fibrolamellaire","Variante rare du CHC.","Autre type histologique."
"hépatoblastome","Tumeur maligne du foie de l’enfant.","Rare."
"angiosarcome","Sarcome des vaisseaux sanguins du foie.","Rare."
"détoxification","Élimination des toxines par le foie.","Rôle des hépatocytes : détoxifient le sang venant de l’alimentation."
"facteurs de coagulation","Protéines nécessaires à la coagulation sanguine.","Synthétisés par le foie : II, V, VII, IX, X, XI."
"alpha‑foeto‑protéine (AFP)","Marqueur tumoral du CHC.","Augmentation dans 60‑95% des CHC ; normal <20 ng/ml ; >500 ng/ml spécifique ; élévation exponentielle caractéristique."
"AEG","Altération de l’état général.","Amaigrissement, asthénie, anorexie – signe de découverte."
"hépatomégalie","Augmentation du volume du foie.","Dure, irrégulière, douloureuse, sensible, parfois avec souffle vasculaire."
"souffle vasculaire systolique ou continu","Bruit perçu à l’auscultation du foie.","Signe d’hypervascularisation tumorale."
"ascite","Épanchement de liquide dans la cavité péritonéale.","Symptôme tardif."
"splénomégalie","Augmentation du volume de la rate.","Symptôme tardif."
"ictère","Jaunisse.","Rare dans le CHC."
"VSH","Vitesse de sédimentation.","Accélérée dans le syndrome inflammatoire."
"CRP","Protéine C réactive.","Augmentée dans le syndrome inflammatoire."
"échotomographie abdominale","Échographie du foie.","Montre l’aspect des lésions (unique/multiple, contours nets ou non)."
"forme infiltrante isoéchogène","Aspect échographique où la tumeur a la même échogénicité que le foie sain.","Une des formes fréquentes de CHC."
"forme nodulaire hypoéchogène","Petit nodule plus sombre que le foie.","Forme fréquente de petite taille."
"forme nodulaire hyperéchogène","Grand nodule plus clair que le foie, avec zones hypoéchogènes centrales (nécrose).","Forme fréquente de grande taille."
"TDM","Tomodensitométrie (scanner).","Mode hélicoïdal : lésion hypodense avant injection, hypervascularisation après injection."
"hypervascularisation","Prise rapide et intense du produit de contraste par la tumeur.","Caractéristique du CHC au scanner et à l’artériographie."
"artériographie","Examen radiologique des artères après injection de produit de contraste.","Avec émulsion de Lipiodol : montre hypervascularisation et refoulement des artères."
"Lipiodol","Produit de contraste lipophile.","Utilisé en artériographie et chimiolipioembolisation ; se fixe à plus de 75% dans le foie et persiste plusieurs semaines dans la tumeur."
"IRM","Imagerie par résonance magnétique.","Avec injection de ferrites montre des nodules vides de fer."
"ferrites","Produit de contraste pour IRM.","Les nodules de CHC n’en captent pas (vides de fer)."
"ponction biopsie échoguidée à l’aiguille fine","Prélèvement tissulaire sous guidage échographique.","Certitude diagnostique dans 60‑90% des cas, indiquée si examens non invasifs négatifs."
"adénome du foie","Tumeur bénigne hépatocellulaire.","Diagnostic différentiel."
"hyperplasie nodulaire focale (HNF)","Tumeur bénigne régénérative.","Diagnostic différentiel."
"angiome","Tumeur bénigne vasculaire.","Diagnostic différentiel."
"kyste hépatique","Cavité liquidienne bénigne.","Diagnostic différentiel."
"RCP","Réunion de Concertation Pluridisciplinaire.","Décision thérapeutique."
"chimiolipioembolisation","Traitement associant Lipiodol et chimiothérapie par voie artérielle hépatique.","Réduit le volume tumoral chez >50% des patients."
"Adriamycine","Cytotoxique (doxorubicine).","Associée au Lipiodol."
"injection intratumorale d’éthanol","Alcool absolu (99°) injecté dans la tumeur.","Indications : tumeur <5 cm, visible à l’échographie, accessible, non sous‑capsulaire. Dose : 5‑10 cc répétés tous les 2‑4 jours."
"transplantation hépatique","Remplacement du foie par une greffe.","Reste à définir (risque de récidive sur cirrhose alcoolique ou virale)."
"hépatectomie élargie","Ablation chirurgicale d’une large partie du foie.","Pour CHC sur foie sain."
"tumorectomie","Ablation limitée de la tumeur.","Pour CHC sur foie sain."
"prévention primaire","Action pour éviter l’apparition de la maladie.","Vaccination anti‑VHB, identification des porteurs de VHC, lutte contre l’alcoolisme."
"prévention secondaire","Dépistage précoce chez les sujets à risque.","Dosage de l’AFP et échographie hépatique tous les 6 mois chez les patients avec hépatopathie chronique."
