"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Dans plus de 90% des cas, l'enfant est infecté par le VIH par :","Transfusion sanguine","Transmission mère-enfant (TME)","Rapports sexuels","Injections à risque","2","Document: 'L'enfant est infecté dans plus de 90% cas par : TME'","Easy"
"Quel est le pourcentage de transmissions mère-enfant ayant lieu in utero ?","Moins de 50%","Plus de 95%","Environ 75%","50%","2","Document: 'Plus de 95% : in utéro'","Easy"
"Quel geste est à éviter lors de l'accouchement chez une mère VIH positive ?","Désinfection oculaire","Bain antiseptique","Gestes invasifs pour éviter une effraction muqueuse","Début des ARV","3","Document: 'éviter les gestes invasifs pour éviter une effraction muqueuse'","Easy"
"Quand doit débuter la prévention post-natale de la transmission du VIH ?","À la naissance","En salle de travail","Dans les 48 heures","À 1 semaine","2","Document: 'Prévention post-natale de la transmission : Débuter en salle de travail'","Easy"
"Dans quel délai après la naissance doit-on débuter les ARV chez le nouveau-né de mère VIH positive ?","Dans les 6 heures","Dans les 12 premières heures","Dans les 24 heures","Dans les 48 heures","2","Document: 'Début ARV dans les 12 premières heures'","Easy"
"Jusqu'à quel âge le diagnostic précoce par isolement du virus est-il possible chez le nourrisson ?","Jusqu'à 12 mois","Jusqu'à 18 mois","Jusqu'à 24 mois","Jusqu'à 6 mois","2","Document: 'Diagnostic précoce chez le nourrisson : Isolement du virus avant 18 mois'","Easy"
"À partir de combien de prélèvements négatifs en dehors de la prophylaxie peut-on affirmer la non-contamination à 3 mois ?","1 prélèvement","Au moins 2 prélèvements","3 prélèvements","4 prélèvements","2","Document: 'Diagnostic de non contamination à l'âge de 3 mois : au moins 2 prélèvements négatifs en dehors de la période de prophylaxie'","Easy"
"Quel traitement prophylactique doit être débuté dès 6 semaines chez un enfant avec facteur de risque d'infection VIH ?","Bactrim (cotrimoxazole)","Isoniazide","Azithromycine","Fluconazole","1","Document: 'Si FDR d'infection à VIH : Bactrim dès 6 semaines'","Easy"
"Quel vaccin est temporairement contre-indiqué chez l'enfant exposé au VIH ?","ROR","BCG","DTC Polio","Hépatite B","2","Document: 'Contre-indication temporaire du BCG'","Easy"
"Dans la classification clinique CDC 1994, que signifie la catégorie N ?","Symptômes modérés","Symptômes mineurs","Asymptomatique","Infections opportunistes","3","Document: 'Catégorie N : asymptomatique'","Easy"
"La catégorie A de la classification clinique correspond à :","Symptômes mineurs","Symptômes modérés","Infections opportunistes","Asymptomatique","1","Document: 'A : symptômes mineurs : lymphADP, HSMG, dermatose, Parotidite, infections ORL et/ou bronchiques récidivantes'","Easy"
"La catégorie B comprend entre autres :","Pneumocystose","Cachexie","Pneumopathie lymphoïde","Lymphadénopathie","3","Document: 'B : symptômes modérés : infection bactérienne, pneumopathie lymphoïde, thrombopénie...'","Easy"
"La catégorie C correspond à :","Symptômes mineurs","Symptômes modérés","Infections opportunistes et cachexie","Asymptomatique","3","Document: 'C : infections opportunistes, cachexie'","Easy"
"Quelle est la recommandation concernant l'initiation du traitement ARV chez l'enfant infecté par le VIH-1 ?","Attendre l'apparition des symptômes","Débuter le plus tard possible","Tout enfant infecté doit recevoir un traitement ARV le plus tôt possible","Ne traiter qu'en cas de déficit immunitaire sévère","3","Document: 'Tout enfant infecté par le VIH-1 doit recevoir un traitement ARV le plus tôt possible'","Easy"
"Dans quel délai recommande-t-on d'initier le traitement ARV ?","Dans les 2 semaines","Dans le mois","Dans les 3 mois","Dans les 6 mois","1","Document: 'Initier le traitement sans délai (dans les 2 semaines)'","Easy"
"Quelle classe d'ARV est privilégiée chez l'enfant ?","Inhibiteurs nucléosidiques de la transcriptase inverse (INTI)","Inhibiteurs non nucléosidiques","Inhibiteurs de la protéase","Inhibiteurs d'intégrase","3","Document: 'Priviligier les trithérapies comportant un inhibiteur de la protéase'","Easy"
"Quel est le principal effet secondaire digestif des ARV, surtout des inhibiteurs de protéase ?","Nausées et vomissements","Diarrhée","Troubles digestifs","Douleurs abdominales","3","Document: 'Troubles digestifs : tous les ARV, surtout IP'","Easy"
"Quelle anomalie métabolique à long terme est associée aux ARV ?","Hypoglycémie","Diminution du LDL","Lipodystrophies","Hypothyroïdie","3","Document: 'Toxicité à long terme : Lipodystrophies'","Easy"
"Quel est le rythme de prise du Bactrim pour la prévention de la pneumocystose ?","Tous les jours","2 fois par jour","3 fois par semaine","Une fois par semaine","3","Document: 'Bactrim 25mg/kg 3 fois par semaine jusqu'à 12 mois'","Easy"
"Jusqu'à quel âge la prophylaxie par Bactrim est-elle systématique ?","Jusqu'à 6 mois","Jusqu'à 12 mois","Jusqu'à 18 mois","Jusqu'à 24 mois","2","Document: 'jusqu'à 12 mois puis selon CD4'","Easy"
"Quel vaccin est autorisé si le déficit CD4 n'est pas sévère ?","BCG","ROR","Varicelle","ROR (et autres vaccins vivants sauf BCG?)","2","Document: 'Vaccinations sauf BCG, ROR si pas de déficit CD4' (attention: ROR est autorisé si pas de déficit CD4)","Medium"
"Quels sont les trois modes de contamination mère-enfant par le VIH ?","In utero, per-partum, allaitement","In utero, transfusion, rapports","Accouchement, allaitement, scarification","In utero, injections, allaitement","1","Document: 'Plus de 95% : in utéro ; Lors de l'accouchement ; Allaitement au sein'","Medium"
"Quels sont les objectifs de la prise en charge d'un nourrisson de mère VIH positive ?","Poursuite de la PTME, diagnostic de non contamination, suivi toxicité ARV, favoriser relation mère-enfant","Vaccination précoce, sevrage alimentaire, isolement","Traitement ARV d'emblée, bilan immunologique, hospitalisation","Recherche de séropositivité maternelle, dépistage paternel","1","Document: 'PEC d'un nourrisson mère VIH positive : Objectifs : 1. Poursuite et optimisation de la prévention de la TME... 2. Diagnostic de non contamination 3. Dépistage et suivi de la toxicité liée aux ARV 4. Favoriser les relations mère-enfant'","Medium"
"Quels sont les examens de surveillance biologique minimale sous ARV ?","NFS, CRP, transaminases","Ionogramme, créatininémie, glycémie","Charge virale, CD4, bilan lipidique","Bilan hépatique rénal complet","1","Document: 'Biologie minimale : NFS- CRP et transaminases / mois, 3 mois puis par 6 mos'","Medium"
