"question","option1","option2","option3","option4","answer","explanation","difficulty"
"À partir de quelle valeur sur la bandelette urinaire parle-t-on de traces de protéinurie ?","0,05 g/l","0,1 - 0,2 g/l","0,5 g/l","1 g/l","2","Document: 'Traces : 0,1 - 0,2g/l'","Easy"
"Quelle est la protéinurie physiologique chez l'enfant (en mg/m2/j) ?","< 50 mg/m2/j","< 100 mg/m2/j","< 150 mg/m2/j","< 200 mg/m2/j","2","Document: 'Enfant : < 100 mg/m2/j'","Easy"
"Quelle est la protéinurie physiologique chez le nouveau-né ?","< 100 mg/m2/j","< 200 mg/m2/j","< 300 mg/m2/j","< 400 mg/m2/j","3","Document: 'Nouveau-né : < 300mg/m2/j'","Easy"
"Une protéinurie est dite glomérulaire quand :","L'albumine est élevée","Les protéines de bas poids moléculaire sont élevées","Les immunoglobulines sont élevées","Les chaînes légères sont élevées","1","Document: 'Protéinurie glomérulaire : quand c’est l’albumine qui est élevé'","Easy"
"Une protéinurie est dite tubulaire quand :","L'albumine est élevée","Les protéines de bas poids moléculaire sont élevées (a1, b2, ...)","Le rapport albumine/créatinine est élevé","Il y a des cylindres hyalins","2","Document: 'Protéinurie tubulaire : quand ce sont les protéines de bas poids moléculaire qui sont élevé (a1, b2, ...)'","Easy"
"Quel est le seuil de protéinurie pour définir un syndrome néphrotique ?","> 30 mg/kg/j","> 40 mg/kg/j","> 50 mg/kg/j","> 60 mg/kg/j","3","Document: 'Syndrome néphrotique : Protéinurie > 50 mg/kg/j'","Easy"
"Quelle est l'hypoalbuminémie caractéristique du syndrome néphrotique ?","< 20 g/l","< 30 g/l","< 40 g/l","< 50 g/l","2","Document: 'Hypoalbuminémie < 30 g/j' (g/j probablement g/l)","Easy"
"Quelle est l'hypoprotidémie caractéristique du syndrome néphrotique ?","< 40 g/l","< 50 g/l","< 60 g/l","< 70 g/l","2","Document: 'Hypoprotidémie < 50g/l'","Easy"
"Quel est le traitement du syndrome néphrotique à lésions minimes (néphrose lipoïdique) ?","Immunosuppresseurs","Corticothérapie","Diurétiques","Antibiotiques","2","Document: 'Traitement : corticothérapie'","Easy"
"Dans la glomérulonéphrite aiguë post-streptococcique, l'urine est typiquement :","Claire","Trouble","Bouillon sale hématurique","Lactescent","3","Document: 'Urine “bouillon sale” hématurique'","Easy"
"Quel est l'âge typique du purpura rhumatoïde ?","1 à 5 ans","2 à 11 ans","5 à 15 ans","Nouveau-né","2","Document: 'Purpura rhumatoïde : 2 à 11 ans'","Easy"
"Quelle est la présentation clinique classique du purpura rhumatoïde ?","Purpura vasculaire, douleurs articulaires, douleurs abdominales","Purpura thrombopénique, fièvre, convulsions","Purpura fébrile, choc septique","Purpura pétéchial, anémie","1","Document: 'Diagnostic clinique : Purpura vasculaire, Douleurs articulaires, Douleurs abdominales'","Easy"
"Dans quel syndrome trouve-t-on une néphropathie hématurique familiale liée à l'X associée à une surdité et une atteinte visuelle ?","Syndrome de Goodpasture","Syndrome d'Alport","Maladie de Berger","Syndrome de Fanconi","2","Document: 'Syndrome d’Alport : Néphropathie hématurique familiale liée à X dans 85% des cas ; Cliniquement : Néphropathie + atteinte visuelle + surdité'","Easy"
"Quelle est la cause la plus fréquente de protéinurie fonctionnelle ?","Infection urinaire","Affection fébrile ou effort physique intense","Glomérulonéphrite","Tubulopathie","2","Document: 'Protéinurie fonctionnelle : Accompagnant une affection fébrile ou un effort physique intense'","Easy"
"Quelle est la bandelette urinaire caractéristique d'une infection urinaire ?","Protéinurie isolée","Leucocyturie > 10^4/ml et bactériurie > 10^5/ml","Hématurie isolée","Cylindrurie","2","Document: 'ECBU systématique : Leucocyturie > 104/ml ; Bactériurie > 105/ml'","Easy"
