"question","answer","explanation","difficulty"
"Quels sont les trois secteurs dont l’augmentation de volume peut provoquer une HTIC ?","Parenchyme cérébral (80%), LCR (10%), secteur vasculaire (10%).","Introduction.","Easy"
"Donnez les valeurs normales de la PIC chez le nouveau-né, le nourrisson (1-6 ans) et l’adulte.","Nouveau-né : 1-4 mmHg ; nourrisson 1-6 ans : 3-8 mmHg ; adulte : 10-15 mmHg.","Document.","Easy"
"Citez trois signes fonctionnels de l’HTIC chez l’enfant.","Céphalées nocturnes continues, vomissements en jet, troubles visuels (vue floue, diplopie).","Diagnostic positif.","Easy"
"Quels sont les signes spécifiques de l’HTIC chez le nouveau-né ?","Troubles végétatifs (hyper/hypothermie, tachycardie, bradycardie, apnées).","Signes spécifiques nouveau-né.","Easy"
"Quels sont les signes spécifiques de l’HTIC chez le nourrisson ?","Bombement de la fontanelle, disjonction des sutures, augmentation rapide du PC, signe de Parinaud (yeux en coucher de soleil), troubles du comportement, hypotonie axiale, syndrome pyramidal.","Signes spécifiques nourrisson.","Easy"
"Citez trois signes de localisation neurologique dans l’HTIC de l’enfant.","Crises convulsives partielles, paralysie des paires crâniennes (sauf VI), déficit moteur des membres, signes pyramidaux, syndrome cérébelleux.","Signes spécifiques de l’enfant.","Easy"
"Quels sont les signes d’engagement temporal ou amygdalien (signes de gravité) ?","Raideur du rachis, bâillement, hoquets, troubles de conscience, troubles végétatifs, cris plaintifs aigus.","Diagnostic de gravité.","Easy"
"Quels examens paracliniques permettent de visualiser un engagement cérébral ?","IRM, TDM cérébrale.","Examens paracliniques – Imagerie.","Easy"
"Quelles sont les étiologies tumorales de l’HTIC les plus fréquentes chez l’enfant ?","Tumeurs de la fosse postérieure (astrocytome kystique, médulloblastome malin, gliomes du tronc cérébral).","Étiologies – Tumeurs.","Easy"
"Quels sont les signes cliniques de l’abcès cérébral ?","Évolution lente et insidieuse, fièvre peu élevée irrégulière, signes neurologiques focaux (déficit moteur, convulsion), œdème papillaire.","Abcès du cerveau.","Easy"
"Quels sont les signes d’un hématome sous-dural du nourrisson ?","Macrocéphalie, PC élevé, disjonction des sutures, troubles de l’humeur (irritabilité), turgescence des veines du scalp, ralentissement des acquisitions, anémie, hémorragie au fond d’œil.","Hématome sous-dural.","Easy"
"Quelles sont les trois étiologies de l’hydrocéphalie citées ?","Inflammatoires (hémorragie méningée, méningite), malformation, tumorale.","Hydrocéphalie.","Easy"
"Qu’est-ce que l’HTIC bénigne ou idiopathique ?","HTIC avec tous les signes cliniques mais imagerie cérébrale et médullaire normale, pression d’ouverture du LCR >20-25 mmHg.","Aucune cause.","Easy"
"Quels sont les deux grands axes du traitement symptomatique de l’HTIC ?","1) Éviter d’augmenter la PIC ; 2) Lutter contre l’œdème cérébral.","Traitement – Buts.","Easy"
"Citez trois moyens pour éviter d’augmenter la PIC.","Position neutre sans compression jugulaire, mobilisation douce, éviter l’encombrement bronchique, optimiser la ventilation (intubation), baisser la température si fièvre.","Moyens – Éviter augmentation PIC.","Medium"
"Citez trois traitements médicamenteux de l’œdème cérébral.","Mannitol (0,5-1 g/kg), sérum salé hypertonique 3% (0,1-1 ml/kg), acétazolamide (20 mg/kg/j), barbituriques (thiopental), corticoïdes (HDC).","Lutter contre œdème cérébral.","Medium"
