question,option1,option2,option3,option4,answer,explanation,difficulty
"La maladie de Ménière est une affection de quelle structure anatomique ?","Oreille externe","Oreille moyenne","Oreille interne, au niveau du vestibule","Nerf auditif","3","Le document indique : Affection de l’oreille interne, au niveau du vestibule.","Easy"
"Quel est le mécanisme physiopathologique de la maladie de Ménière ?","Hydrops du liquide périlymphatique","Hydrops du liquide endolymphatique (hyperpression de l’oreille interne)","Atrophie du nerf cochléaire","Vascularite du labyrinthe","2","Le document précise : Hydrops du liquide endolymphatique (hyperpression de l’oreille interne de cause inconnue).","Easy"
"La maladie de Ménière est le plus souvent diagnostiquée entre quel âge ?","20-30 ans","40-60 ans","60-80 ans","Enfance","2","Le document indique : Plus souvent entre 40-60 ans.","Easy"
"Quelle est la triade clinique de la maladie de Ménière ?","Céphalées, fièvre, vomissements","Vertige, surdité, acouphène","Surdité, otorrhée, fièvre","Vertige, nystagmus, otalgie","2","Le document précise : Triade : Vertige, Surdité, Acouphène.","Easy"
"Le vertige dans la maladie de Ménière est de quel type ?","Rotatoire par crise","Positionnel permanent","Vertical permanent","Instabilité permanente","1","Le document indique : Vertige : rotatoire par crise.","Easy"
"Quelle est la durée typique d’une crise de vertige dans la maladie de Ménière ?","Quelques secondes","2-3 heures","12-24 heures","Plusieurs jours","2","Le document précise : Durée : 2-3 h par jour.","Easy"
"La surdité de la maladie de Ménière intéresse au début quelles fréquences ?","Les fréquences aiguës","Les fréquences moyennes","Les fréquences basses","Toutes les fréquences","3","Le document indique : SURDITE : intéresse au début les fréquences basses.","Easy"
"Qu’est-ce que la diplacousie ?","Perte totale de l’audition","Sensation de différence de fréquence entre les deux oreilles","Acouphène pulsatile","Vertige positionnel","2","Le document précise : diplacousie (sensation de différence de fréquence entre les deux oreilles).","Easy"
"L’examen au diapason dans la maladie de Ménière montre quel type de surdité ?","Surdité de transmission","Surdité mixte","Surdité de perception","Surdité normale","3","Le document indique : Examen au diapason : surdité de perception (Weber latéralisé du côté sain).","Easy"
"Qu’est-ce que le test d’Hennebert ?","Un test audiométrique","Un test où les pressions répétées sur le tragus entraînent un vertige, signe de fistule sans fistule périlymphatique","Un test calorique","Un test radiologique","2","Le document précise : test d’Hennebert positif (signe de fistule sans fistule péri-lymphatique : pressions répétées sur le tragus entraine un vertige).","Easy"
"Le syndrome de Lermoyez est caractérisé par :","Un vertige qui aggrave la surdité","Un vertige qui améliore la surdité (vertige qui fait entendre)","Une surdité brutale sans vertige","Des chutes brutales sans vertige","2","Le document indique : SYNDROME DE LARMOYEZ : Vertige paroxystique récidivant, s’accompagnant de l’amélioration de la surdité habituelle : “vertige qui fait entendre”.","Easy"
"Qu’est-ce que la catastrophe otolithique de Tumarkin ?","Vertige avec perte de connaissance","Chute brutale sans prodrome (drop attacks) sans perte de connaissance","Vertige rotatoire avec acouphène","Surdité brutale bilatérale","2","Le document précise : CATASTROPHE OTOLITHIQUE DE TUMARKIN : VERTIGE, Chute brutale sans prodrome : drop attacks, Pas de perte de connaissance.","Easy"
"Quel est le traitement de première intention de la maladie de Ménière ?","Chirurgie d’emblée","Diurétique et bétahistine","Corticothérapie","Antibiotiques","2","Le document indique : 1ère intention : diurétique et betahistine.","Easy"
"La maladie de Ménière est souvent :","Unilatérale au début","Toujours bilatérale d’emblée","Toujours unilatérale définitive","Un syndrome congénital","1","Le document mentionne : MM UNILATERALE : forme typique, puis MM BILATERALE (triade à gauche, triade à droite).","Easy"
"Dans la crise de Ménière, quel type de nystagmus observe-t-on ?","Nystagmus central","Nystagmus vestibulaire périphérique (irritatif puis destructif)","Nystagmus optocinétique","Absence de nystagmus","2","Le document indique : CRISE : nystagmus vestibulaire (= périphérique) (irritatif puis destructif).","Easy"
"L’aura précédant le vertige dans la maladie de Ménière associe :","Céphalée et photophobie","Oreille pleine, pression, acouphène","Palpitations et sueurs","Diplopie et dysarthrie","2","Le document précise : AURA : oreille pleine, pression, acouphène.","Easy"
"La bétahistine est utilisée dans quel but dans la maladie de Ménière ?","Traitement de la crise aiguë","Traitement de fond","Traitement chirurgical","Traitement des acouphènes isolés","2","Le document classe la bétahistine dans les moyens du traitement de fond.","Easy"
"La labyrinthectomie chimique est réalisée par :","Voie orale","Voie transtympanique de produit ototoxique","Voie intraveineuse","Voie intramusculaire","2","Le document indique : Labyrinthectomie chimique (par voie transtympanique de produit ototoxique).","Easy"
"Quels facteurs favorisants sont cités dans la maladie de Ménière ?","Stress, fatigue, dépression atmosphérique","Alimentation riche en calcium","Effort physique intense","Exposition solaire","1","Le document mentionne : Survenue : à toute heure, stress, fatigue, dépression atmosphérique.","Easy"
"L’hydrops endolymphatique est dû à :","Un défaut de résorption ou une hypersécrétion d’endolymphe","Une infection bactérienne","Un traumatisme acoustique","Une tumeur du nerf vestibulaire","1","Le document indique : Concept : hydrops : Par défaut de résorption ou hypersécrétion d’endolymphé.","Medium"
"L’IRM dans la maladie de Ménière est indiquée pour :","Le diagnostic positif","Le diagnostic différentiel","Le bilan pré-thérapeutique","La recherche d’une fistule","2","Le document précise : IRM : pour le diagnostic différentiel.","Medium"
"La forme monosymptomatique de la maladie de Ménière ne peut être diagnostiquée qu’après :","Un seul examen audiométrique","Plusieurs crises avec apparition de la triade complète","Un test génétique","Une IRM spécifique","2","Le document indique : MM MONOSYMPTOMATIQUE : Diagnostic après plusieurs crises (caractère récidivant) ---> triade complète.","Medium"
