"front","back","cognitive_level"
"Quelle est l’incidence des petits maux de la grossesse ?","45 à 89 % des femmes enceintes.","Recall"
"Pourquoi les vomissements sont-ils considérés comme de bon pronostic pendant la grossesse ?","Car ils sont liés à un taux élevé de progestérone, qui protège contre la menace d’accouchement prématuré (MAP).","Understanding"
"Quels sont les quatre mécanismes possibles des vomissements et nausées de la grossesse ?","1) Taux excessif de sécrétion de HCG (grossesse molaire). 2) Trouble du métabolisme hépatique de l’œstrogène. 3) Trouble psychologique. 4) Prédisposition somatique.","Recall"
"Citez cinq causes organiques à éliminer devant des nausées/vomissements de grossesse.","1) Grossesse molaire. 2) Grossesse gémellaire. 3) Hernie étranglée. 4) Gastro-entérite. 5) Appendicite. 6) Infection urinaire.","Recall"
"Quel est le début, le pic et la guérison habituels des nausées/vomissements de grossesse ?","Début : 4-6 SA. Maximum : 8-12 SA. Guérison : 15-17 SA (disparaît vers 4 mois – au-delà : suspecter cause organique).","Recall"
"Quelles sont les caractéristiques des nausées de grossesse ?","Matinales, calmées par la première prise alimentaire, +/- ptyalisme (salivation excessive), pouvant entraîner un vomissement.","Recall"
"Quelles mesures hygiéno-alimentaires sont recommandées pour traiter les nausées/vomissements de grossesse ?","Fractionner les repas, éviter les aliments trop glucidiques ou trop gras, favoriser les protéines +++, régimes semi-liquides le matin.","Recall"
"Quels sont les deux traitements pharmacologiques de première intention des nausées/vomissements de grossesse ?","Métoclopramide (Primperan*) 5-15 mg/j et dompéridone (Motilium*).","Recall"
"Citez quatre traitements non pharmacologiques des nausées/vomissements de grossesse.","1) Gingembre en poudre 250 mg × 4/j. 2) Vitamine B6 250 mg × 3/j. 3) Acupuncture. 4) Homéopathie.","Recall"
"Qu’est-ce que le ptyalisme et quel est son traitement ?","Excrétion salivaire excessive (1-1,5 L/j) – équivalent mineur de la nausée. Traitement : atropine, psychothérapie et hypnothérapie.","Recall"
"Quels sont les trois laxatifs peu irritants recommandés pour la constipation de la grossesse ?","1) Mucilage. 2) Macrogol. 3) Lactulose.","Recall"
"Quel traitement est proposé en cas de constipation opiniâtre pendant plusieurs jours ?","Gel à base de glycérol + sorbitol.","Recall"
"Qu’est-ce que le pyrosis et à quel trimestre est-il fréquent ?","Pyrosis = RGO (reflux gastro-œsophagien) avec sensation de brûlure œsophagienne. Fréquent dans le dernier trimestre.","Recall"
"Quelles mesures diététiques et posturales sont recommandées pour le pyrosis ?","Éviction des boissons alcoolisées, épices, sauces, condiments, glucides, fritures, café, thé. Éviter le décubitus post-prandial.","Recall"
"Quels sont les traitements médicamenteux du pyrosis ?","Antiacides (hydroxyde d’alumine, alginates) après le repas. IPP ou anti-H2 pour les formes rebelles.","Recall"
"Quelle est la fréquence des crampes pendant la grossesse et quand surviennent-elles surtout ?","15-30 % des femmes enceintes, surtout la nuit, au 3ème trimestre +++ – physiopathologie inconnue.","Recall"
"Quel est le traitement des crampes de la grossesse ?","Riboflavine ou acide pantothénique associé à une supplémentation en magnésium (400 mg/j pendant 2 à 4 semaines).","Recall"
"Quelle est la cause de la lombalgie pendant la grossesse et quel en est le traitement ?","Cause : hyperlordose entraînant une contracture des muscles lombaires. Traitement : posture, gymnastique.","Recall"
"Quel traitement médicamenteux est proposé pour les formes majeures de lombalgie ?","Tétrazepam, antalgiques (peu utiles), Uridine (UTEPLEX) 3 amp/j en cure de 2-3 semaines (+++), massage.","Recall"
"Qu’est-ce que le relâchement douloureux des symphyses ?","Douleur symphysaire basse, médiane, irradiant parfois dans la racine des cuisses (bilatérale). Calmée au repos, entraînant une impotence fonctionnelle relative.","Recall"
"Quel est le traitement du relâchement douloureux des symphyses et quel est son pronostic ?","Traitement : repos + antalgique (+++), AINS de courte durée (<5 jours). Guérison spontanée 2 jours après l’accouchement.","Recall"
"Quelle pathologie ORL bénigne survient à la 2ème moitié de la grossesse et par quel mécanisme ?","Rhinite : turgescence de la muqueuse → obstruction nasale. Mécanisme : progestérone. Accentuation des phénomènes allergiques.","Recall"
"Quels traitements sont proposés pour la rhinite de grossesse ?","Corticoïdes. Vasoconstricteurs à éviter autant que possible (Otrivine gouttes nasales 2-3 jours maximum).","Recall"
"Quels symptômes ORL apparaissent au dernier trimestre par béance de la trompe d’Eustache ?","Autophonie (perception anormalement forte de sa propre voix) et acouphènes. Disparition spontanée après l’accouchement – pas de traitement spécifique.","Recall"
"Quel trouble vocal survient vers le 7ème mois et quel en est le traitement ?","Altération du timbre, raucité de la voix (hyperhémie muqueuse laryngée). Traitement : repos vocal relatif.","Recall"
"Quelle pathologie buccale apparaît au 5ème mois de grossesse ?","Gingivite : muqueuse buccale hyperhémiée et œdématiée, languettes rouges vifs saignant au contact. Traitement : hygiène bucco-dentaire.","Recall"
"Quelles sont les deux modifications cutanées majeures de la grossesse ?","1) Augmentation de la pigmentation cutanée. 2) Hypersensibilité au soleil du visage (mélasma).","Recall"
"Quelle est la fréquence des vergetures pendant la grossesse ?","90 % des femmes. Il s’agit d’une fracture des réseaux de fibres de collagène.","Recall"
"Quels traitements topiques sont proposés pour les vergetures (peu efficaces) ?","Lotion à base d’acide glycolique + acide ascorbique. Le traitement le plus important est une bonne hygiène de la peau (+++).","Recall"
"Quelles modifications de la chevelure observe-t-on pendant la grossesse ?","Liées aux modifications du cycle pilaire.","Recall"
