"front","back","cognitive_level"
"Quelles sont les deux grandes causes des modifications physiologiques de la grossesse ?","1) Phénomènes d’adaptation de l’organisme féminin à l’état gravide. 2) Conséquences de ces phénomènes d’adaptation.","Recall"
"Quelle est l’évolution de la volémie pendant la grossesse ?","Hypervolémie physiologique : volume plasmatique +40 %, volume cellulaire (masse des GR) +15 %.","Recall"
"Quelles sont les deux conséquences hématologiques de l’hypervolémie ?","1) Diminution de l’hématocrite (40 → 34 %). 2) Diminution de l’hémoglobine (11-12 g/dl) → anémie physiologique de dilution.","Recall"
"Quels sont les seuils d’hémoglobine définissant une anémie chez la femme enceinte selon le trimestre ?","T1 et T3 : Hb < 11 g/dl. T2 : Hb < 10,5 g/dl.","Recall"
"Quelle est l’évolution des globules rouges, des leucocytes et des plaquettes pendant la grossesse ?","GR : diminution relative (4,5 → 3,7 millions/mm³). Leucocytes : hyperleucocytose physiologique (PN 12 000-15 000/mm³). Plaquettes : normales, possible légère thrombopénie en fin de grossesse.","Recall"
"Quelle est la dépense énergétique estimée pendant la grossesse ?","2500 kcal/jour.","Recall"
"Quel est le risque métabolique si le pancréas est insuffisant pendant la grossesse ?","Diabète gestationnel.","Recall"
"Pourquoi une glycosurie peut-elle être observée pendant la grossesse sans diabète ?","Par baisse du seuil rénal de réabsorption du glucose.","Recall"
"Quels facteurs de coagulation augmentent pendant la grossesse et quel risque cela entraîne-t-il ?","Fibrinogène, facteurs VIII/IX augmentent → risque de thrombose.","Recall"
"Pourquoi la VS est-elle augmentée pendant la grossesse ?","Par augmentation de la fibrinogène et des globulines.","Recall"
"Quelles sont les trois modifications cardiovasculaires précoces (dès 2ème mois) ?","1) Volémie augmentée (+40 %). 2) Augmentation du VES (+25 %). 3) Augmentation de la FC (jusqu’à 100 bpm) → débit cardiaque augmenté de 20 à 40 %.","Recall"
"Comment évolue la tension artérielle pendant la grossesse et pourquoi ?","Diminution légère au 2ème trimestre par vasodilatation artérielle (progestérone myorelaxante → diminution des résistances vasculaires périphériques).","Understanding"
"Quel est l’effet de la compression de la veine cave inférieure par l’utérus gravide ?","Diminution du retour veineux au cœur droit, surtout pour la partie basse de l’organisme. Conséquences : hypotension et malaise (choc postural), œdèmes des membres inférieurs, varices et hémorroïdes.","Recall"
"Pourquoi l’utérus gravide est-il en position de dextrorotation ?","L’utérus est toujours incliné du côté droit.","Recall"
"Quelles sont les trois modifications anatomiques respiratoires de la grossesse ?","1) Élévation du diaphragme de 4 cm. 2) Élargissement de l’angle xyphoïdien (70 → 105°). 3) Augmentation du diamètre antéro-postérieur du thorax (2-3 cm). 4) Hypotonie des muscles abdominaux.","Recall"
"Quelles sont les conséquences fonctionnelles respiratoires de la grossesse ?","Augmentation du volume courant (VC), diminution du volume de réserve expiratoire (VRE), augmentation du volume de réserve inspiratoire (VRI) et de la capacité résiduelle inspiratoire (CRI).","Recall"
"Qu’est-ce que l’hypocapnie physiologique de la grossesse ?","Hyperventilation (FR inchangée mais augmentation du volume courant) → hypocapnie physiologique. pH normaux, sans alcalose.","Recall"
"Pourquoi les infections urinaires sont-elles plus fréquentes pendant la grossesse ?","Dilatation des voies urinaires (calices, bassinet, uretères) par action myorelaxante de la progestérone → stase urinaire.","Recall"
"Pourquoi la pollakiurie est-elle fréquente pendant la grossesse ?","Diminution de la capacité vésicale par compression de l’utérus gravide.","Recall"
"Pourquoi les complications urologiques de la grossesse (colique néphrétique, pyélonéphrite) siègent-elles presque toujours à droite ?","Par dextrorotation de l’utérus.","Recall"
