"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la valeur normale de la créatininémie selon le document ?","30-60 µmol/l","60-120 µmol/l","100-150 µmol/l","120-180 µmol/l","2","Le document indique : ''Créatininémie normale : 60-120µmol/l''.","Easy"
"À partir de quel seuil parle-t-on d'insuffisance rénale selon le document ?","> 80 µmol/l","> 100 µmol/l","> 120 µmol/l","> 150 µmol/l","3","Le document précise : ''Si >120µmol/l = insuffisance rénale''.","Easy"
"Quel est le stade AKI-KDIGO correspondant à une créatininémie > 354 µmol/l ?","Stade 1","Stade 2","Stade 3","Stade 4","3","Le document indique que le stade 3 est défini par ''Ou > 354 µmol/l''.","Easy"
"Quel est le stade AKI-KDIGO correspondant à une anurie > 12 heures ?","Stade 1","Stade 2","Stade 3","Stade 4","3","Le document précise pour le stade 3 : ''Ou anurie > 12h''.","Easy"
"Quelle est la diurèse définissant le stade 2 AKI-KDIGO ?","< 0,5 ml/kg/h en 6-12h","< 0,5 ml/kg/h plus de 12h","< 0,3 ml/kg/h plus de 24h","Anurie > 12h","2","Le document indique pour le stade 2 : ''< 0,5 ml/kg/h plus de 12h''.","Easy"
"Quelle est la formule d'estimation du DFG non applicable à l'IRA selon le document ?","CKD-EPI","MDRD","Les formules d'estimation du DFG ne sont pas applicables pour définir l'IRA","Cockcroft-Gault","3","Le document précise : ''Les formules d'estimation du DFG ne sont pas applicables pour définir l'IRA (car réversible)''.","Easy"
"Quelle est la signification de la lettre 'R' dans la classification RIFLE (ou AKI-KDIGO) ?","Risk (Stade 1)","Injury (Stade 2)","Failure (Stade 3)","Loss (Stade 4)","1","Le document indique : ''R stade 1 AKI, I Stade 2, F Stade 3, L stade 4, E stade 5''.","Easy"
"Quelle est la signification de la lettre 'F' dans la classification RIFLE ?","Risk","Injury","Failure","Loss","3","Le document indique : ''F Stade 3''.","Easy"
"Quel est le pourcentage approximatif des IRA de type nécrose tubulaire aiguë (NTA) ?","50%","75%","90%","25%","2","Le document précise : ''Nécrose tubulaire aigue (75%)''.","Easy"
"Quel est le pourcentage des IRA dues aux glomérulonéphrites aiguës ?","<5%","<10%","<15%","<20%","2","Le document indique : ''Glomérulonéphrites aiguës (<10%)''.","Easy"
