"question","answer","explanation","difficulty"
"La rétinopathie diabétique est une microangiopathie liée à l’hyperglycémie chronique.","True","Le document le définit ainsi.","Easy"
"La rétinopathie diabétique est la première cause de cécité avant 50 ans.","True","Le document l’indique.","Easy"
"L’incidence de la rétinopathie diabétique après 15-20 ans d’évolution est de 60% chez le type 1.","False","Le document : type 1 = 95%.","Easy"
"Les microanévrysmes sont les premiers signes visibles de la rétinopathie diabétique.","True","Le document le précise.","Easy"
"La dégénérescence des péricytes est une lésion initiale de la rétinopathie diabétique.","True","Le document le mentionne.","Easy"
"Le VEGF est un facteur de croissance angiogénique responsable de la néovascularisation.","True","Le document l’indique.","Easy"
"L’OCT mesure quantitativement l’épaisseur maculaire.","True","Le document le précise.","Easy"
"Les nodules cotonneux sont hyperfluorescents précoces à l’angiographie.","False","Document : hypofluorescence précoce puis hyperfluorescence tardive.","Easy"
"La rétinopathie diabétique proliférante se définit par la présence de néovaisseaux.","True","Le document le confirme.","Easy"
"Chez un diabétique de type 2, le premier fond d’œil doit être réalisé 5 ans après le diagnostic.","False","Document : dès le diagnostic.","Easy"
"Chez un diabétique de type 1, le premier fond d’œil doit être réalisé au diagnostic.","False","Document : 5 ans après la découverte.","Easy"
"La surveillance annuelle du fond d’œil est recommandée en l’absence de rétinopathie diabétique.","True","Le document l’indique.","Easy"
"Les exsudats secs sont des dépôts de lipoprotéines dans la rétine.","True","Le document le définit.","Easy"
"Les hémorragies intra-rétiniennes sont hypofluorescentes à l’angiographie.","True","Le document le précise.","Easy"
"Le traitement de la rétinopathie diabétique repose uniquement sur la photocoagulation laser.","False","Document : traitement médical (équilibre, anti-VEGF), laser, chirurgical.","Easy"
"L’équilibre glycémique et tensionnel est indispensable dans tous les cas de rétinopathie diabétique.","True","Le document le précise.","Easy"
"La rétinopathie diabétique est asymptomatique pendant longtemps.","True","Le document le mentionne.","Easy"
"Les péricytes sont des cellules qui soutiennent les capillaires rétiniens.","True","Le document évoque leur dégénérescence.","Medium"
"L’hyperglycémie active la voie des aldolases.","False","Document : voie aldolase-réductase.","Medium"
"Le Sorbitol s’accumule dans les cellules endothéliales par activation de la voie des polyols.","True","Document : accumulation de Sorbitol.","Medium"
"Les phénomènes occlusifs touchent surtout la macula.","False","Document : phénomènes occlusifs surtout au niveau de la rétine périphérique.","Medium"
"Les phénomènes œdémateux touchent surtout la région maculaire.","True","Document : phénomènes œdémateux touchant surtout la région centrale et maculaire.","Medium"
"La rubéose irienne est une complication de la rétinopathie diabétique proliférante.","True","Document : prolifération dans l’iris -> rubéose.","Medium"
"Le glaucome néovasculaire est dû à la prolifération de néovaisseaux dans l’angle irido-cornéen.","True","Document : prolifération dans l’angle -> glaucome néo-vasculaire.","Medium"
"L’OCT peut montrer une perte de la dépression fovéolaire dans l’œdème maculaire.","True","Document : diminution ou perte de la dépression fovéolaire.","Medium"
"Les néovaisseaux sont hypofluorescents à l’angiographie.","False","Document : hyperfluorescence homogène.","Medium"
"La classification de la rétinopathie diabétique comporte 5 stades selon la société francophone du diabète.","False","Document : 6 stades.","Medium"
"La RDNP sévère est aussi appelée pré-proliférante.","True","Document : RDNP sévère ou pré-proliférante.","Medium"
"La photocoagulation laser est indiquée dans la RDNP minime.","False","Document : RDNP minime -> surveillance.","Medium"
"Les injections intravitréennes d’anti-VEGF sont indiquées dans la RDP.","True","Document : photocoagulation laser et anti-VEGF.","Medium"
"La vitrectomie est indiquée dans la RDP compliquée (hémorragie, décollement).","True","Document : vitrectomie et LASER.","Medium"
"La surveillance de la RDNP modérée se fait tous les 4 à 6 mois.","False","Document : RDNP modérée : tous les 6 mois à 1 an.","Medium"
"La surveillance de la RD proliférante après traitement se fait tous les 2 à 4 mois.","True","Document : RD proliférants : 2 à 4 mois après le traitement.","Medium"
"L’adolescence est une période de surveillance ophtalmologique particulière.","True","Document : adolescence et puberté.","Medium"
"La femme enceinte diabétique doit avoir une surveillance ophtalmologique rapprochée.","True","Document : femme enceinte.","Medium"
"Une équilibration rapide de la glycémie aggrave la rétinopathie par hypoxie.","True","Document : aggravation de l’hypoxie rétinienne (patients en pré-coma).","Medium"
"La prévalence de la RD est plus élevée à Antananarivo qu’en France.","True","Document : France 40%, Antananarivo 65% (2015).","Medium"
"L’échographie oculaire Mode B permet de diagnostiquer un décollement de rétine quand le fond d’œil n’est pas visible.","True","Document : recherche de décollement de rétine.","Medium"
"Un microanévrysme est une ectasie de la paroi veineuse.","False","Document : ectasie de la paroi capillaire.","Medium"
"Les nodules cotonneux sont secondaires à des occlusions artériolaires pré-capillaires.","True","Document : secondaire à des occlusions des artérioles pré-capillaire.","Difficult"
"L’hyperglycémie chronique entraîne une glycosylation des protéines et un épaississement de la membrane basale.","True","Document : Glycosylation des protéines -> épaississement de la membrane basale.","Difficult"
"La voie aldolase-réductase convertit le glucose en sorbitol.","True","Document : activation de la voie aldolase-réductase -> accumulation de Sorbitol.","Difficult"
"Les AMIR (anomalies microvasculaires intra-rétiniennes) sont des signes de rétinopathie non proliférante sévère.","True","Document : AMIR listé dans les autres lésions, RDNP sévère.","Difficult"
"L’œdème maculaire diabétique sévère est défini par un œdème au centre de la macula.","True","Document : sévère : œdème au centre de la macula.","Difficult"
"Chez un diabétique de type 2, une RD peut être présente dès le diagnostic du diabète.","True","Document : 20% des diabétiques de type 2 présentent une RD dès la découverte.","Difficult"
"La photocoagulation panrétinienne détruit les zones d’hypoxie pour réduire le VEGF.","True","Document : destruction des zones d’hypoxie.","Difficult"
"Le traitement par anti-VEGF peut être utilisé seul ou en complément du laser.","True","Document : anti-VEGF et laser.","Difficult"
"L’angiographie à la fluorescéine montre une hyperfluorescence précoce des microanévrysmes.","True","Document : hyperfluorescence précoce.","Difficult"
"Le décollement de rétine dans la RDP est souvent tractionnel par les membranes fibreuses.","True","Document : Tissus fibreux de soutien -> DR tractionnel.","Difficult"
"Une hémorragie intravitréenne même minime (2 gouttes de sang) peut entraîner une cécité.","True","Document : 2 gouttes de sang dans la cavité vitréenne suffisent pour entrainer une cécité.","Difficult"
"La rétinopathie diabétique est la troisième cause de cécité dans le monde.","True","Document : troisième cause de cécité dans le monde.","Difficult"
"L’HTA est un facteur favorisant la rétinopathie diabétique.","True","Document : HTA listé.","Difficult"
"La maculopathie diabétique peut exister à n’importe quel stade de la rétinopathie diabétique.","True","Document : chaque stade de RD peut être associé à un œdème maculaire.","Difficult"
