"front","back","cognitive_level"
"Quelle est la définition de la diarrhée chronique chez l’enfant selon le document ?","Émission de selles molles à liquides, trop fréquente (≥3x/jour ou >10g/kg/jour chez le nourrisson ou >200g/jour chez le grand enfant), depuis plus de 14 jours.","Recall"
"Quels sont les trois objectifs de la démarche diagnostique devant une diarrhée chronique ?","1. Confirmer la réalité de la diarrhée chronique
2. Évaluer le retentissement (nutritionnel, psychomoteur, croissance)
3. Rechercher l’étiologie","Recall"
"Qu’est-ce que la fausse diarrhée du constipé ?","Fermentation des selles restées trop longtemps dans le côlon, qui deviennent liquides. À éliminer avant de conclure à une diarrhée chronique.","Recall"
"Quels sont les signes d’un mauvais état nutritionnel à rechercher dans la diarrhée chronique ?","- Courbes staturo-pondérales en dehors du couloir normal
- Amaigrissement, aspect sans graisse
- Peau plissée comme un vieillard
- Fesses tristes : pleins de plis, sans muscles fessiers","Recall"
"Quelle est la première cause de diarrhée chronique sans retentissement nutritionnel chez le nourrisson ?","La colopathie fonctionnelle.","Recall"
"Quels sont les critères diagnostiques de la colopathie fonctionnelle ?","- Âge >6 mois (souvent 2ème année)
- Selles molles/liquides, hétérogènes, abondantes, avec glaires et aliments non digérés
- Survenant la journée, par poussées (erreurs alimentaires, infection ORL)
- Douleurs abdominales associées
- Parfait état général, croissance normale","Recall"
"Qu’est-ce qu’une entéropathie post-infectieuse ?","L’intestin n’a pas retrouvé sa fonction normale au bout de 14 jours après un épisode infectieux ayant abîmé la muqueuse intestinale. Se manifeste par une intolérance au lactose ou une allergie aux protéines de lait de vache (PLV).","Understanding"
"Quelles infections intestinales spécifiques peuvent entraîner une diarrhée chronique (>14 jours) ?","- Amibiase
- Tuberculose intestinale","Recall"
"Quelle est la cause la plus grave de diarrhée chronique débutant en période néonatale (0-28 jours) ?","L’entérocolite ulcéro-nécrosante (ECUN). Elle associe lésions dues à l’agent infectieux, altération de l’apport sanguin et ralentissement de la motricité intestinale, pouvant conduire à une perforation intestinale nécessitant une résection chirurgicale.","Recall"
"Quelles sont les conséquences d’une résection intestinale étendue ?","Syndrome du grêle courte.","Recall"
"Quelles sont les caractéristiques des selles dans la maldigestion ?","Volumineuses, pâteuses ou molles, décolorées, nauséabondes, aspect graisseux (mangirana).","Recall"
"Quelles analyses biochimiques des selles orientent vers une maldigestion ?","- Stéatorrhée massive : 20 à 30 g/j de graisse
- Élastase fécale effondrée","Recall"
"Quel test confirme la mucoviscidose ?","Le test de la sueur (positif).","Recall"
"Quelles sont les caractéristiques des selles dans la malabsorption intestinale ?","Molles ou semi-liquides, aspect en bouse de vache.","Recall"
"Quel est le marqueur biologique de la maladie cœliaque (intolérance au gluten) ?","Les anticorps anti-transglutaminase (Ac anti-transglutaminose) positifs.","Recall"
"Quelles sont les caractéristiques des selles dans la diarrhée sécrétoire ?","Très abondantes et liquides, persistent au repos digestif. La concentration en électrolytes (Na, Cl, K) dans les selles est élevée.","Recall"
"Citez trois causes de diarrhée sécrétoire.","- Diarrhée chlorée/sodée congénitale
- Tumeurs endocriniennes
- Mastocytose","Recall"
"Quelles sont les caractéristiques des selles dans les colites inflammatoires ?","Peu volumineuses mais fréquentes, +/- afécales, présence de sang et de glaires, accompagnées de douleurs (coliques avant les selles).","Recall"
"Quel est le marqueur biologique fécal d’inflammation intestinale ?","La calprotectine élevée.","Recall"
"Quelle est la colite inflammatoire la plus fréquente chez le grand enfant ?","La maladie de Crohn.","Recall"
"Quelle est la conclusion du document concernant la colopathie fonctionnelle ?","C’est la première cause de diarrhée chronique. Il s’agit d’un désordre du fonctionnement intestinal, diagnostic clinique. Il faut savoir ce qui déclenche la diarrhée (aliments, stress).","Recall"
"Quelles étiologies fréquentes de diarrhée chronique sont orientées par l’examen clinique ?","Infection, malformation congénitale, pathologie inflammatoire (biopsie).","Recall"
"La maladie cœliaque (intolérance au gluten) est-elle fréquente à Madagascar selon le document ?","Rare à Madagascar (le document indique : « rare à Madagascar »).","Recall"
