"front","back","cognitive_level"
"Qu'est-ce que l'atrésie de l'œsophage ?","Interruption de la lumière œsophagienne avec soit 2 culs-de-sac borgnes, soit 1 ou 2 culs-de-sac fistulisés dans les voies aériennes. Résulte d'un trouble de l'embryogenèse entre la 4ème et la 6ème semaine.","Recall"
"Quelle est la définition étymologique d'atrésie ?","Interruption de continuité d'un organe creux.","Recall"
"Quels sont les deux types d'atrésie œsophagienne selon la présence de fistules ?","Type sans fistule : 2 culs-de-sac borgnes. Type avec fistule : un ou deux culs-de-sac fistulisés dans les voies respiratoires (trachée, carène, bronche).","Understanding"
"Énumérez les 5 types de la classification de Ladd et Gross pour l'atrésie de l'œsophage.","Type I : atrésie avec 2 culs-de-sac borgnes. Type II : fistule du cul-de-sac proximal dans la trachée. Type III : fistule du cul-de-sac distal dans la trachée. Type IV : fistule du cul-de-sac distal dans la carène ou bronche souche. Type V : fistule des 2 culs-de-sac dans la trachée.","Recall"
"Quel est le type le plus fréquent ? (Non dit explicitement, mais le document décrit la conséquence du type 3 comme abdomen anormalement trop aéré)","Le document décrit en détail le type 3 (fistule du cul-de-sac distal dans la trachée) avec abdomen anormalement aéré et risque d'inhalation. Aucune fréquence n'est donnée, mais le type 3 est le plus détaillé.","Analysis"
"Pourquoi l'hydramnios est-il un signe d'appel anténatal de l'atrésie de l'œsophage ?","Parce que le bébé n'avale pas le liquide amniotique, d'où une accumulation excessive de liquide. L'hydramnios est un signe indirect.","Understanding"
"Quels sont les trois signes d'appel anténatals à l'échographie ?","1. Hydramnios, 2. Absence de visualisation de l'œsophage, 3. Découverte d'une polymalformation (syndrome de VACTERL).","Recall"
"À la naissance, quels sont les signes cliniques évocateurs d'une atrésie de l'œsophage ?","Hydramnios (antécédent), hypersialorrhée, détresse respiratoire inexpliquée, fausse route dès la première têtée. Théoriquement, le diagnostic doit être fait par passage systématique d'une sonde avant l'apparition des signes.","Recall"
"À quelle distance la sonde gastro-œsophagienne bute-t-elle normalement dans l'atrésie de l'œsophage ?","La sonde bute à 10-12 cm de l'arcade alvéolaire (future arcade dentaire).","Recall"
"Quel examen radiologique confirme le diagnostic et comment ?","Radiographie du thorax de profil, sonde en place. L'injection de 2 cc d'air permet de visualiser le fond du cul-de-sac supérieur et d'affirmer son caractère borgne, éliminant une simple fausse route.","Application"
"Pourquoi l'opacification du cul-de-sac supérieur est-elle formellement proscrite ?","Car elle entraînerait une inondation broncho-alvéolaire.","Understanding"
"Sur l'ASP (abdomen sans préparation), que signifie une aération digestive présente ?","L'aération digestive est en faveur de la forme avec fistule du cul-de-sac inférieur dans les voies aériennes (type III ou IV).","Analysis"
"Quelle est la conséquence d'une atrésie de l'œsophage de type 3 sur l'abdomen ?","Abdomen anormalement trop aéré (estomac et intestin) car le bébé « respire dans l'estomac » par la fistule.","Recall"
"Que montre l'abdomen dans les formes sans fistule (types I ou II) ?","Abdomen totalement opaque (absence d'air dans le tube digestif).","Recall"
"Quelles sont les mesures immédiates de conditionnement d'un nouveau-né chez qui le diagnostic d'atrésie de l'œsophage est posé ?","1. Arrêter toute alimentation orale. 2. Mettre le bébé en position orthostatique ou demi-assise. 3. Garder une sonde naso-gastrique (SNG) et faire une aspiration régulière ou douce continue. 4. Voie veineuse. 5. Réchauffer pour éviter toute dépense énergétique inutile. 6. Acheminer vers centre de chirurgie pédiatrique.","Application"
"Quelle est la voie d'abord chirurgicale standard pour l'atrésie de l'œsophage ?","Thoracotomie droite en extra-pleurale.","Recall"
"Que faire si l'anastomose œsophagienne est impossible (écart trop important) ?","Repousser la réparation de quelques semaines sous couvert d'une gastrostomie et jéjunostomie d'alimentation.","Understanding"
"Quelles sont les trois complications postopératoires fréquentes même en cas d'atrésie isolée de bon pronostic ?","Trachéomalacie, dyskinésie œsophagienne, reflux gastro-œsophagien (pouvant réclamer une sanction chirurgicale).","Recall"
"Quel est le pronostic de l'atrésie isolée de l'œsophage ?","Excellent dans 90% des cas, même si des troubles (trachéomalacie, dyskinésie, RGO) persistent parfois quelques mois ou années.","Recall"
"De quoi dépend le pronostic de l'atrésie avec malformations associées ?","De la nature et de la sévérité de ces malformations (syndrome de VACTERL : vertébrales, anorectales, cardiaques, trachéo-œsophagiennes, rénales, membres).","Understanding"
"Quel syndrome associe fréquemment des malformations à l'atrésie de l'œsophage ?","Syndrome de VACTERL : Vertébral, Anorectal, Cardiaque, Trachéo-œsophagien, Rénal, Limb (membres).","Recall"
"Un nouveau-né avec une sonde qui bute à 10 cm, un abdomen très aéré, et une détresse respiratoire : quel type d'atrésie suspectez-vous ?","Type III (fistule du cul-de-sac distal dans la trachée) car l'abdomen anormalement aéré indique une fistule distale.","Application"
"Pourquoi met-on le bébé en position demi-assise dans la prise en charge initiale ?","Pour prévenir le reflux de liquide gastrique dans la trachée (risque d'inhalation).","Understanding"
"Quel risque survient si le bébé en position allongée a une fistule distale ?","Passage du contenu du suc gastrique vers la trachée.","Recall"
"Quelles sont les deux complications tardives citées après chirurgie de l'atrésie ?","Fistules (récidive) et sténoses.","Recall"
