"question","answer","explanation","difficulty"
"Quels sont les quatre mécanismes principaux des néphropathies médicamenteuses selon le document ?","1) Hypoperfusion rénale (IRA fonctionnelle) ; 2) Toxicité tubulaire directe ou indirecte ; 3) Toxicité tubulo-interstitielle ; 4) Immuno-allergique ; 5) Glomérulaire ; 6) Microangiopathie thrombotique ; 7) Fibrose progressive.","Le document détaille ces mécanismes dans les tableaux.","Easy"
"Quel est le mécanisme de l'IRA fonctionnelle induite par les AINS ?","Blocage Cox 1 ou 2 → inhibition des prostaglandines → prédominance des vasoconstricteurs → vasoconstriction de l'artériole afférente → baisse du DFG.","Le document l'explique.","Easy"
"Quel est le mécanisme de l'IRA fonctionnelle induite par les IEC ?","Blocage du SRAA → absence d'angiotensine II → vasodilatation de l'artériole efférente → baisse de la pression de filtration glomérulaire → baisse du DFG.","Le document l'explique.","Easy"
"Quels sont les 4 grands types de toxicité tubulaire indirecte selon le document ?","1) Par rhabdomyolyse (fibrates, statines) ; 2) Par hémolyse (quinine, rifampicine) ; 3) Par cristallurie (méthotrexate, aciclovir, foscarnet, indinavir, sulfonamide).","Le document détaille ces mécanismes.","Easy"
"Quels sont les signes distinctifs entre toxicité directe et immuno-allergique (6 critères) ?","Toxique : relation dose/atteinte OUI, signes concentration-dépendants, manifestations extra-rénales NON, anomalies immunologiques NON, signes histologiques tubulaires, évolution favorable. Immuno-allergique : relation dose/atteinte NON, récidive si nouvelle administration, manifestations extra-rénales OUI, éosinophilie/éosinophilurie, signes histologiques interstitiels, chronicisation fréquente.","Le document donne ce tableau comparatif.","Medium"
"Quels sont les 5 facteurs de risque liés à l'état du patient pour les néphropathies médicamenteuses ?","Âge > 60 ans, myélome, posologie trop forte, IRC ou néphropathie préexistante (diabète), association d'autres néphrotoxiques.","Le document les liste.","Medium"
"Quels sont les 3 tableaux cliniques principaux des néphropathies médicamenteuses avec leurs caractéristiques ?","1) IRA hémodynamique : AINS, IEC, ARA2, ciclosporine ; 2) NTA toxique : dose-dépendante, oligo-anurie, ni protéinurie ni hématurie glomérulaire ; 3) NIA immuno-allergique : prise de médicaments allergisants, signes extra-rénaux (rash, éosinophilie), IR rapide, protéinurie faible, leucocyturie stérile, éosinophilurie pathognomonique.","Le document détaille ces tableaux.","Medium"
"Quelle est la conduite à tenir devant une IRA hémodynamique médicamenteuse ?","Arrêt de la molécule et expansion volémique (réhydratation).","Le document le précise.","Medium"
"Quelle est la conduite à tenir devant une nécrose tubulaire aiguë toxique ?","Arrêt de la molécule, maintien de la volémie (difficile en cas d'anurie car risque d'OAP), épuration extra-rénale (EER) si besoin.","Le document le précise.","Medium"
"Quelle est la conduite à tenir devant une néphropathie interstitielle aiguë immuno-allergique ?","Arrêt de la molécule + corticothérapie (car sinon IRT en 3 mois). Contre-indication définitive de la classe de molécule.","Le document le précise.","Medium"
"Quels sont les 3 mécanismes des lithiases et cristalluries médicamenteuses ?","1) Cristallisation du médicament (par acidité urinaire ou insuffisance d'hydratation) ; 2) Effet métabolique : vitamine D (calciurie), vitamine C (oxalurie) ; 3) Pas d'apport de calcium quand normocalcémie (élimination urinaire immédiate).","Le document les détaille.","Medium"
"Quelle est la prévention des néphropathies aux produits de contraste iodés ?","Hydratation abondante avant toute injection : NaCl ou bicarbonate de sodium isotonique 1 ml/kg/h (diurèse normale), 12h avant et 12h après l'injection. Arrêt des diurétiques. N-acétyl-cystéine 600 mg x 2 24h avant et 24h après (efficacité discutée).","Le document détaille cette prévention.","Medium"
"Quelles sont les mesures de prévention des néphropathies médicamenteuses (7 points) ?","1) Indispensable ? Si oui : surveillance stricte clinique/biologique, durée minimale ; 2) Hydratation optimale ; 3) Ne pas associer les néphrotoxiques ; 4) Lire les mentions légales (Vidal) ; 5) Adapter la posologie à la fonction rénale ; 6) Produits de contraste iodés : hydratation, arrêt diurétiques, N-acétyl-cystéine ; 7) Principe de Galien : primum non nocere.","Le document liste ces mesures.","Medium"
"Quelles sont les règles de prescription des IEC et ARA2 chez les patients à risque ?","CI relative : sténose des artères rénales. Pas d'introduction si hypoperfusion (déshydratation, décompensation). Augmentation progressive de la posologie si à risque (IC, IRC, >60 ans, diurétique). Éduquer le patient à l'auto-arrêt en cas de diarrhée ou vomissements.","Le document détaille ces règles.","Medium"
"Quelles sont les règles de prescription des AINS en fonction du DFG ?","DFG < 20 ml/mn : contre-indication. DFG entre 20 et 60 ml/mn : <5 jours (+ surveillance biologique). Pas d'association avec IEC/ARA2. Prescription limitée dans le temps.","Le document les précise.","Medium"
"Quelles sont les règles de prescription chez les insuffisants rénaux chroniques (IRC) ?","Lire les mentions légales (CI selon stade MRC). Adaptation de dose des médicaments à élimination rénale (dose et intervalle). Monitorage de concentration sérique obligatoire pour aminosides (dosage après 2 injections avant la 3ème). Principe : ''STRICTEMENT INDIQUE, sinon strictement contre-indiqué''.","Le document les détaille.","Medium"
"Qu'est-ce que la volémie efficace selon le document ?","Partie de la volémie qui perfuse efficacement les organes par unité de temps (= débit cardiaque).","Le document le définit.","Difficult"
"Quelle est la différence entre hypovolémie absolue, relative et efficace ?","Absolue : déshydratation (perte d'eau et de sel). Relative : vasodilatation (choc anaphylactique, choc septique) avec inadaptation contenant/contenu. Efficace : IC avec hypervolémie mais mauvais débit cardiaque, hyperstimulation du SRAA.","Le document les distingue.","Difficult"
"Un patient de 75 ans, insuffisant cardiaque, sous diurétique, furosémide, a une créatinine à 120 µmol/l. On introduit un IEC. Comment prescrire et surveiller ?","Augmentation progressive de la posologie. Surveiller créatinine et kaliémie. Arrêt temporaire en cas de diarrhée/vomissements.","Le document le précise.","Difficult"
"Un patient sous IEC a une diarrhée aiguë et se déshydrate. Quel est le risque et que doit faire le patient ?","Risque d'IRA fonctionnelle par hypoperfusion rénale. Le patient doit auto-arrêter l'IEC jusqu'à correction de la déshydratation.","Le document le précise.","Difficult"
