"front","back","cognitive_level"
"Quelle est la définition de l’insuffisance cardiaque chez l’enfant ?","Incapacité du cœur à assurer un débit sanguin adéquat et une oxygénation suffisante des différents organes de l’organisme.","Recall"
"Quelle est la différence entre IC aiguë et IC chronique ?","IC aiguë : souvent révélatrice. IC chronique : décompensée lors d’une maladie infectieuse, un traumatisme, une hyperhydratation.","Recall"
"Quels sont les trois paramètres qui conditionnent le fonctionnement du cœur ?","La précharge (qualité de remplissage des ventricules), la postcharge (résistance à l’éjection), la contractilité ventriculaire.","Recall"
"Comment calcule-t-on le débit cardiaque (Qc) ?","Qc = FC x VES (fréquence cardiaque x volume d’éjection systolique).","Recall"
"De quoi dépend le volume d’éjection systolique (VES) ?","De la contractilité du myocarde et de sa compliance, et des conditions circulatoires en amont (précharge) et en aval (postcharge).","Recall"
"Quels sont les effets d’une tachycardie excessive (>200/min) sur la fonction cardiaque ?","Raccourcissement de la diastole → diminution de la précharge (diminution du VTD) → diminution du VES + ischémie myocardique → diminution de la contractilité → insuffisance cardiaque.","Understanding"
"Quels sont les effets d’une bradycardie (<40/min) ?","Augmentation du VES (pour maintenir le Qc) → dilatation importante du cœur → ischémie myocardique → diminution de la contractilité → insuffisance cardiaque.","Understanding"
"Quelles sont les causes d’augmentation de la précharge ?","Shunt gauche-droit, surcharge hydrosodée.","Recall"
"Quelles sont les causes de diminution de la précharge ?","Hypovolémie (hémorragie, déshydratation), anomalies de la compliance ventriculaire (épanchement péricardique, péricardite constrictive, myocardiopathie restrictive).","Recall"
"Quelles sont les causes d’augmentation de la postcharge ?","HTA, obstacle à l’éjection ventriculaire (coarctation de l’aorte, sténose aortique ou pulmonaire).","Recall"
"Quelles sont les causes de diminution de la contractilité ?","Primitive (cardiomyopathie génétique ou métabolique) ou secondaire (ischémie myocardique).","Recall"
"Quels sont les symptômes fonctionnels de l’IC chez le nouveau-né et le nourrisson sur le plan digestif ?","Difficultés alimentaires (refus du biberon, irritabilité, vomissements) ; modification de la courbe pondérale (perte ou mauvaise prise de poids, ou augmentation trop rapide du poids par œdème).","Recall"
"Quels sont les symptômes fonctionnels respiratoires chez le nouveau-né et le nourrisson ?","Polypnée, essoufflement aux biberons avec sueurs ; toux traînante et infections broncho-pulmonaires à répétition.","Recall"
"Quel est le signe de congestion cardiaque droite le plus constant chez le nourrisson ?","Hépatomégalie : ferme, douloureuse, surface lisse, bord inférieur mousse. La taille normale du foie selon l’âge : >5 cm à 0-28j, >6 cm à 29j-2ans, >7 cm à 2-5 ans, >8 cm à 5-15 ans.","Recall"
"Quels sont les signes de congestion cardiaque gauche ?","Œdème pulmonaire : polypnée/tachypnée, syndrome de détresse respiratoire (SDLR), râles crépitants ou sous-crépitants aux bases ou disséminés.","Recall"
"Quels sont les signes d’intolérance hémodynamique ?","Tachycardie (1er signe, constant), parfois bradycardie ou bruit de galop ; pâleur cutanée, marbrures, froideur des extrémités ; TRC allongé >3 sec ; oligurie.","Recall"
