"front","back","cognitive_level"
"Quelle est la définition de la détresse respiratoire chez le nourrisson et l’enfant ?","Difficultés respiratoires. Situation fréquente et angoissante, urgence diagnostique et thérapeutique.","Recall"
"Quels sont les deux types de modification du rythme respiratoire dans la détresse respiratoire ?","- Polypnée (le plus souvent)
- Bradypnée (exceptionnellement, en cas d’épuisement)","Recall"
"Citez 4 signes de lutte respiratoire.","- Battement des ailes du nez
- Tirage sus-sternal
- Tirage sous-sternal
- Tirage inter-costal
- Tirage sous-costal","Recall"
"Citez 3 terrains spécifiques à risque de détresse respiratoire grave.","- Prématurité
- Cardiopathie ou maladie respiratoire sous-jacente
- Drépanocytose, immunodépression","Recall"
"Quels sont les signes de mauvaise tolérance d’une détresse respiratoire ?","- Polypnée > 60/min
- Signes d’épuisement : bradypnée, irrégularité du rythme respiratoire, apnée
- Signes d’hypoxie : cyanose, agitation, trouble de la conscience
- Signes d’hypercapnie : sueurs, tachycardie, hypertension artérielle","Recall"
"Quels éléments faut-il rechercher à l’interrogatoire devant une détresse respiratoire ?","- Terrain : âge
- Antécédents : épisodes de DR (laryngite récidivante, crises d’asthme)
- Apnée, accès de tirage pendant le sommeil, difficulté d’endormissement, retentissement sur la croissance (syndrome d’apnée du sommeil)
- Circonstances de survenue : aiguë avec syndrome de pénétration (corps étranger) ou progressive + fièvre (contexte infectieux)","Recall"
"Quels sont les éléments de l’examen physique à évaluer devant une détresse respiratoire ?","- Appareil respiratoire : 4 temps, auscultation (abolition MV, sibilances, râles crépitants, symétrie)
- État hémodynamique : FC, TRC, PA, diurèse
- Recherche d’un souffle cardiaque
- Signes d’infection
- État neurologique","Recall"
"Quels examens complémentaires sont utiles devant une détresse respiratoire ?","- Radiographie du thorax (confirme le mécanisme)
- Mesure de la saturation transcutanée en oxygène (SpO2)
- Mesure directe des gaz du sang (PaO2, PaCO2)
- Endoscopie (confirme corps étranger)","Recall"
"Quels sont les signes de gravité paracliniques (gaz du sang) ?","- PaO2 < 60 mmHg
- PaCO2 > 60 mmHg","Recall"
"Quelles sont les causes obstructives hautes (dyspnée inspiratoire) de détresse respiratoire ?","- Nasales : rhinopharyngite hyper-sécrétante, atrésie partielle des choanes, hypertrophies adénoïdiennes
- Pharyngées : syndrome d’apnée obstructive du sommeil (SAOS), abcès rétro-pharyngien
- Laryngées : laryngite sous-glottique, épiglottite, corps étranger (dyspnée brutale apyrétique, enfant >6 mois)","Recall"
"Quelles sont les causes obstructives basses (dyspnée expiratoire) de détresse respiratoire ?","- Bronchiolite
- Asthme
- Corps étranger","Recall"
"Quelles sont les causes non obstructives de détresse respiratoire ?","- Atteinte mécanique ostéo-musculaire : fracture, volet costal
- Atteinte musculaire : lésion neurologique, atteinte diaphragmatique
- Atteinte pleurale : épanchement liquidien, pneumothorax
- Atteintes parenchymateuses : pneumopathies infectieuses, alvéolites","Recall"
"Qu’est-ce que la dyspnée sine materia ?","Dyspnée sans signes de lutte, due à un désordre extra-pulmonaire. Exemples : insuffisance circulatoire (anémie aiguë, cardiopathie décompensée), acidose métabolique (acido-cétose, maladie métabolique), hyperthermie.","Understanding"
"Qu’est-ce que la dyspnée de Kussmaul ?","Dyspnée caractéristique de l’acido-cétose métabolique (respiration ample et profonde).","Recall"
"Quels sont les principes du traitement symptomatique de la détresse respiratoire ?","- Désobstruction des voies aériennes
- Position proclive (nourrisson) ou demi-assise (enfant)
- Oxygénothérapie par lunette nasale si SpO2 <95%
- Apport hydrique et calorique adapté : fractionnement des repas chez le nourrisson ; si impossible, sonde naso-gastrique ou perfusion
- Surveillance : FR, signes de lutte, état hémodynamique, signes de gravité","Recall"
"Quelle est la conclusion du document sur la détresse respiratoire du nourrisson et de l’enfant ?","- Situation fréquente
- Reconnaître les signes de gravité
- Mise en route du traitement symptomatique d’urgence
- Traitement spécifique en fonction de la cause","Recall"
