"question","answer","explanation","difficulty"
"L'hypertension portale est définie par une pression portale > 15 mmHg.","True","Document.","Easy"
"La complication la plus redoutable de l'HTP est l'ascite.","False","C'est l'hémorragie digestive.","Easy"
"Le bloc intra-hépatique est le plus fréquent.","True","Document.","Easy"
"Les varices œsophagiennes sont dues à l'anastomose porto-cave inférieure.","False","Elles sont dues à l'anastomose supérieure.","Easy"
"Le diamètre normal du tronc porte est < 12 mm.","True","Document.","Easy"
"Un cavernome à l'échographie évoque un bloc intra-hépatique.","False","Évoque un bloc infra-hépatique.","Easy"
"La gastropathie congestive se manifeste par des lésions purpuriques et en mosaïque.","True","Document.","Easy"
"Les varices œsophagiennes de grade 1 mesurent plus de 5 mm.","False","Moins de 5 mm.","Easy"
"Le risque hémorragique des varices est corrélé à leur taille et à la présence de signes rouges.","True","Document.","Easy"
"Le syndrome de Budd-Chiari est une obstruction des veines sus-hépatiques.","True","Document.","Easy"
"La thrombose de la veine porte est la principale cause de bloc infra-hépatique.","True","Document.","Easy"
"La cirrhose du foie est la principale cause de bloc intra-hépatique.","True","Document.","Easy"
"La maladie de Vaquez (polycytémie) peut causer un syndrome de Budd-Chiari.","True","Document.","Easy"
"Le cavernome est une anastomose porto-cave.","False","C'est une anastomose porto-porte.","Easy"
"Les quatre signes cardinaux de l'HTP sont : circulations collatérales, varices, splénomégalie, ascite.","True","Document.","Easy"
"Les varices œsophagiennes siègent essentiellement au 1/3 supérieur de l'œsophage.","False","Au 1/3 inférieur.","Easy"
"En cas de bloc intra-hépatique, l'échographie montre une dilatation du tronc porte.","True","Document.","Medium"
"En cas de bloc infra-hépatique, l'échographie montre un cavernome.","True","Document.","Medium"
"Les varices gastriques sont plus fréquentes que les varices œsophagiennes.","False","Moins fréquentes.","Medium"
"Les signes rouges (macules, zébrures) sont des signes de pré-rupture des varices.","True","Document.","Medium"
"La manométrie par voie transjugulaire objective la pression portale et cave.","True","Document.","Medium"
"La laparoscopie montre une hypervascularisation péritonéale avec dilatation des veines épiploïque, du ligament rond et phréno-colique.","True","Document.","Medium"
"L'ascite est un signe inconstant de l'HTP.","True","Document (abondance variable, peut être absent).","Medium"
"La splénomégalie de l'HTP est souvent douloureuse et molle.","False","Ferme, indolore.","Medium"
"L'anastomose porto-cave antérieure utilise la veine ombilicale.","True","Document.","Medium"
"L'anastomose porto-cave postérieure rejoint la veine rénale gauche.","True","Document.","Medium"
"La pancréatite chronique peut comprimer la veine porte et causer un bloc infra-hépatique.","True","Document.","Medium"
"Les adénopathies tuberculeuses peuvent comprimer la veine porte.","True","Document.","Medium"
"La bilharziose hépatique est une cause de bloc intra-hépatique.","True","Document.","Medium"
"L'hyperplasie nodulaire régénérative est une cause de bloc intra-hépatique.","True","Document.","Medium"
"Le cancer du rein peut s'étendre aux veines sus-hépatiques.","True","Document (cancer du rein cité).","Medium"
"Une hémorragie digestive par rupture de varices se manifeste toujours par une hématémèse suivie d'un méléna.","True","Document.","Medium"
"Un méléna isolé peut être le seul signe d'une hémorragie digestive liée à l'HTP.","True","Document.","Medium"
"La mortalité par rupture de varices œsophagiennes peut survenir en quelques vomissements (4-5).","True","Document.","Medium"
"Le bloc supra-hépatique est aussi appelé post-hépatique.","True","Document.","Medium"
"Le bloc infra-hépatique est aussi appelé pré-hépatique.","True","Document.","Medium"
"L'invasion néoplasique de la veine porte par un cancer du foie est une cause de bloc intra-hépatique.","False","C'est une cause de bloc infra-hépatique (obstacle sur la veine porte).","Difficult"
"La différence de pression entre système cave et système porte normale est inférieure à 5 mmHg.","True","Document : HTP définie par différence >5mmHg.","Difficult"
"Les varices œsophagiennes de grade 3 sont confluentes.","True","Document.","Medium"
"L'endoscopie digestive ne montre pas de lésions dans la gastropathie d'HTP.","False","Montre lésions purpuriques et mosaïque.","Medium"
