question,option1,option2,option3,option4,answer,explanation,difficulty
"Quelle est la définition d’une surdité brusque ?","Surdité de transmission d’apparition progressive","Baisse brutale de l’audition, surdité de perception, sans cause évidente, se développant rapidement","Surdité mixte post-traumatique","Surdité congénitale diagnostiquée à la naissance","2","Le document indique : = Baisse brutale de l’audition, c’est une surdité de perception, Sans cause évidente, Se développant rapidement.","Easy"
"Quel est le critère audiométrique de la surdité brusque ?","Perte auditive de plus de 50 dB sur une fréquence","Perte auditive de moins de 30 dB sur trois fréquences contiguës","Perte auditive de 40 dB sur deux fréquences","Perte auditive totale","2","Le document précise : Audiométrie : perte auditive moins de 30db sur trois fréquences contiguës.","Easy"
"La surdité brusque est considérée comme :","Une urgence ORL banale","Une urgence neurosensorielle","Une pathologie bénigne","Une urgence vitale","2","Le document indique : Urgence neurosensorielle.","Easy"
"Une surdité légère correspond à une perte auditive de :","20-40 dB","40-60 dB","60-80 dB",">80 dB","1","Le document précise : 20-40 : Surdité légère (bon pronostic).","Easy"
"Une surdité moyenne correspond à une perte auditive de :","20-40 dB","40-60 dB","60-80 dB",">80 dB","2","Le document indique : 40-60 : surdité moyenne.","Easy"
"Une surdité sévère correspond à une perte auditive de :","20-40 dB","40-60 dB","60-80 dB",">80 dB","3","Le document précise : 60-80 : surdité sévère (mauvais pronostic).","Easy"
"Dans la surdité brusque, le test de Rinne est :","Négatif","Positif","Normal","Ininterprétable","2","Le document indique : Test de Rinne : positif (surdité de perception).","Medium"
"Dans la surdité brusque, le Weber se latéralise :","Du côté atteint","Du côté sain","Au centre","Alternativement","2","Le document précise : Weber latéralisé du côté sain.","Medium"
"Quel examen est indispensable pour le diagnostic et le pronostic des surdités brusques ?","Scanner du rocher","IRM cérébrale","Audiométrie tonale et vocale","Potentiels évoqués auditifs","3","Le document indique : Audiométrie tonale : préciser le degré et le type (pronostic - étiologique). Conclusion : Audiométrie : diagnostic et pronostic.","Easy"
"Le type audiométrique ascendant (A) est de pronostic :","Bon","Assez bon","Médiocre","Très mauvais","1","Le document précise dans le tableau : Type A ascendant : pronostic BON.","Medium"
"Le type audiométrique descendant (C) est de pronostic :","Bon","Assez bon","Médiocre","Très mauvais","3","Le document indique : Type C descendant : pronostic MEDIOCRE.","Medium"
"Le type audiométrique cophose (E) est de pronostic :","Bon","Assez bon","Médiocre","Très mauvais","4","Le document précise : Type E cophose/subcophose : pronostic TRES MAUVAIS.","Medium"
"La surdité brusque de l’enfant a une origine ourlienne fréquente (liée aux oreillons).",True,"Le document indique : Origine ourlienne +++","Medium"
"Quel examen d’imagerie est recommandé dans le bilan d’une surdité brusque ?","Scanner du rocher","IRM","Radiographie des sinus","Échographie doppler","2","Le document indique : Imagerie : IRM.","Medium"
"La surdité brusque bilatérale touche habituellement :","Des enfants","Des patients plus âgés ou terrain vasculaire","Des patients jeunes sans antécédent","Des femmes enceintes","2","Le document précise : Surdité brusque bilatérale : Patient plus âgé ou terrain vasculaire.","Medium"
"Quel mécanisme étiologique est associé au type audiométrique plat (B) ?","Attaque d’hydrops","Atteinte striale ou artériolaire","Virale ou vasculaire","Rupture membraneuse","2","Le document indique dans le tableau : Type B plat : mécanisme Atteinte striale ou artériolaire.","Difficult"
"Quel mécanisme étiologique est associé au type audiométrique ascendant (A) ?","Attaque d’hydrops","Atteinte striale ou artériolaire","Virale ou vasculaire","Rupture membraneuse","1","Le document précise : Type A ascendant : mécanisme Attaque d’HYDROPS.","Difficult"
"Quel mécanisme étiologique est associé au type audiométrique scotome (D) ?","Attaque d’hydrops","Atteinte striale ou artériolaire","Virale ou vasculaire","Rupture membraneuse ou poussée sur surdité congénitale","4","Le document indique : Type D scotome : mécanisme Rupture membraneuse / Poussée sur surdité congénitale.","Difficult"
"Quels sont les traitements proposés pour les surdités brusques ?","Corticothérapie, carbogène, oxygénothérapie hyperbare, vasodilatateurs, antiviraux","Chirurgie immédiate","Antibiotiques seuls","Antifongiques","1","Le document cite : Vasodilatateur, inhalation de gaz carbogène, oxygénothérapie hyperbare, corticothérapie, antiviraux : aciclovir.","Medium"
"Le pronostic de la surdité brusque dépend de :","La sévérité de la perte auditive, le délai de diagnostic, le type audiométrique, les symptômes associés","Uniquement l’âge du patient","Uniquement le sexe","Uniquement le côté atteint","1","Le document indique : Pronostic fonction de Sévérité de la perte auditive, Délai de diagnostic, Audiométrie : type A-B meilleur pronostic, Symptômes associés : mauvais pronostic.","Medium"
"Le type audiométrique plat (B) est de pronostic :","Bon","Assez bon","Médiocre","Très mauvais","2","Le document précise dans le tableau : Type B plat : pronostic ASSEZ BON.","Medium"
"Quelle est l’évolution spontanée possible de la surdité brusque ?","Récupération, aggravation ou stationnaire","Toujours récupération complète","Toujours aggravation","Toujours cophose définitive","1","Le document indique : Evolution spontanée : Récupération, Aggravation, Stationnaire.","Medium"
"Le diabète est un diagnostic différentiel des surdités brusques.",True,"Le document cite : Diagnostic différentiel : Diabète.","Medium"
"Le neurinome de l’acoustique est un diagnostic différentiel des surdités brusques à ne pas méconnaître.",True,"Le document cite : Diagnostic différentiel : Neurinome de l’acoustique.","Medium"
"La surdité brusque peut récidiver dans le cadre de la maladie de Ménière ou d’un neurinome de l’acoustique.",True,"Le document indique : Formes évolutives : Récidive : maladie de Menière, neurinome de l’acoustique.","Difficult"
