question,option1,option2,option3,option4,answer,explanation,difficulty
"Que signifie l’acronyme DMLA ?","Dégénérescence Maculaire Liée à l’Âge","Déformation Maculaire Liée à l’Alimentation","Détachement Maculaire Lié à l’Âge","Dégénérescence Maculaire La plus Agressive","1","Le document indique : DMLA : Dégénérescence Maculaire Liée à l’Âge.","Easy"
"Quelle est la définition de la DMLA ?","Lésion dégénérative altérant la périphérie rétinienne chez le sujet de plus de 50 ans","Lésion dégénérative altérant l’aire centrale de la rétine chez un sujet > 50 ans","Lésion inflammatoire de la macula","Lésion tumorale de la rétine","2","Le document précise : Lésion dégénérative altérant l’aire centrale de la rétine, chez un sujet > 50 ans.","Easy"
"La DMLA est généralement :","Unilatérale","Bilatérale (peut être asymétrique)","Alternante","Uniquement monoculaire","2","Le document indique : En général bilatéral, peut être asymétrique.","Easy"
"Qu’est-ce que la maculopathie liée à l’âge (MLA) ?","Un stade avancé de DMLA","Un stade précoce de DMLA sans retentissement fonctionnel","Une autre maladie rétinienne","Une complication infectieuse","2","Le document précise : Stades précoces ou maculopathie liée à l’âge (MLA) : sans retentissement fonctionnel.","Medium"
"Quels sont les précurseurs de la DMLA ?","Les hémorragies","Les drusens","Les exsudats","Les néovaisseaux","2","Le document indique : La MLA précède la DMLA : présence de drusens.","Medium"
"La forme atrophique de la DMLA (forme sèche) se caractérise par :","Une évolution rapide","Une évolution lente avec altération de l’épithélium pigmentaire et amincissement de la macula","Une néovascularisation choroïdienne","Des hémorragies","2","Le document précise : Forme atrophique ou forme sèche : évolution lente, altération de l’épithélium pigmentaire, amincissement de la macula.","Easy"
"La forme exsudative de la DMLA (forme humide) se caractérise par :","Une évolution lente","Une évolution pouvant être très rapide avec BAV rapidement progressive et néovaisseaux choroïdiens","Une atrophie maculaire","Une absence de traitement","2","Le document indique : Forme exsudative ou forme humide : évolution pouvant être très rapide, BAV rapidement progressive, néovaisseaux choroïdiens sous la macula.","Easy"
"La DMLA est la principale cause de malvoyance après 50 ans dans :","Les pays en développement","Les pays développés","Le monde entier","L’Afrique","2","Le document précise : Principale cause de malvoyance après 50 ans dans les pays développés.","Medium"
"Selon l’OMS, la DMLA se classe au 3ème rang des causes de cécité légale après :","Le glaucome et la cataracte","La rétinopathie diabétique et le glaucome","La cataracte et la rétinopathie diabétique","Le glaucome et la dégénérescence maculaire juvénile","1","Le document indique : OMS : la DMLA est au 3è rang des causes de cécité légale toutes causes confondues, après le glaucome et la cataracte.","Medium"
"Quel pourcentage de la population après 60 ans est atteint de DMLA ?","2%","5%","8%","12%","3","Le document précise : 8% après 60 ans.","Medium"
"La cécité due à la DMLA après 60 ans représente :","5-10%","15-40%","40-60%","Plus de 60%","2","Le document indique : Cécité due à DMLA après 60 ans : 15 - 40%.","Medium"
"Le tabagisme multiplie le risque de DMLA par :","2","3","4","5","2","Le document précise : Tabagisme : risque x 3.","Easy"
"Chez les grands fumeurs, le risque de DMLA est multiplié par :","3","4","5","6","3","Le document indique : > 5 chez les grands fumeurs.","Medium"
"Les antécédents familiaux de DMLA multiplient le risque par :","2","3","4","5","2","Le document précise : Antécédents familiaux : risque x 3.","Medium"
"La grille d’Amsler permet de rechercher :","Un scotome central et/ou des métamorphopsies","Une baisse de l’acuité visuelle de loin","Une hypermétropie","Un glaucome","1","Le document indique : Rechercher un scotome central et/ou métamorphopsies : test de la grille d’Amsler.","Easy"
"Les métamorphopsies sont définies comme :","Une perte totale de la vision","Une sensation de déformation des objets (vision angulée des lignes droites)","Une vision floue","Une vision double","2","Le document précise : métamorphopsies (sensation de déformation des objets : souvent, vision angulée des lignes droite).","Easy"
"Quel examen permet de visualiser les néovaisseaux choroïdiens après injection de colorant ?","L’OCT","L’angiographie rétinienne (fluorescéine ou indocyanine)","Le fond d’œil simple","La grille d’Amsler","2","Le document indique : Angiographie rétinienne : recherche de néovaisseaux choroïdiens.","Medium"
"L’OCT (Tomographie à Cohérence Optique) est souvent utilisée seule pour :","Le diagnostic initial","Le suivi thérapeutique","Le dépistage de masse","Le bilan préopératoire","2","Le document précise : Souvent utilisée seule pour suivi thérapeutique.","Medium"
"Les drusens sont dus à :","Une infection rétinienne","Une accumulation de résidus de la phagocytose des photorécepteurs","Une hémorragie sous-rétinienne","Une inflammation choroïdienne","2","Le document indique : Drusens : dû à l’accumulation de résidus de la phagocytose des photorécepteurs par les cellules de l’épithélium pigmentaire.","Medium"
"Les drusens représentent :","La forme atrophique de DMLA","La forme exsudative de DMLA","La forme précoce de DMLA (40%)","Une complication rare","3","Le document précise : Forme précoce : drusens (40%).","Medium"
"La forme atrophique de DMLA représente :","20%","40%","60%","80%","2","Le document indique : Forme atrophique : 40%.","Medium"
"Dans la forme atrophique de DMLA, l’évolution est :","Rapide","Inexorable mais très progressive","Stable","Régresse spontanément","2","Le document précise : Evolution inexorable mais très progressive vers une atteinte de la fovéa.","Medium"
"Le VEGF (Vascular Endothelium Growth Factor) est :","Un facteur protecteur de la rétine","Le principal stimulus à la néovascularisation choroïdienne","Un anti-inflammatoire","Un antibiotique","2","Le document indique : VEGF ou Vascular Endothelium Growth Factor : principal stimulus à la néovascularisation choroïdienne.","Medium"
"Quels sont les deux anti-VEGF ayant l’AMM pour le traitement de la DMLA exsudative ?","Bevacizumab et ranibizumab","Ranibizumab et aflibercet","Aflibercet et bevacizumab","Pegaptanib et ranibizumab","2","Le document précise : Ranibizumab et aflibercet (ayant AMM).","Medium"
"Le bevacizumab dans la DMLA :","A l’AMM","N’a pas d’AMM mais a une action semblable","Est contre-indiqué","Est le seul traitement efficace","2","Le document indique : Bevacizumab (pas d’AMM) : action semblable.","Medium"
"Le nombre moyen d’injections intravitréennes d’anti-VEGF par an est de :","2-4","6-12","12-18","18-24","2","Le document précise : en moyenne 6 à 12 injections par an.","Medium"
"La photothérapie dynamique utilise :","Un laser froid","Un laser infrarouge après perfusion d’un photosensibilisant (vertéporfine)","Un laser excimère","Un laser argon","2","Le document indique : Illuminer la partie du fond de l’œil contenant les néovaisseaux choroïdiens avec un laser infrarouge après avoir perfusé par voie intraveineuse un photosensibilisant (vertéporfine).","Difficult"
"Le mécanisme d’action de la photothérapie dynamique est :","Détruire les photorécepteurs","Créer une thrombose des néovaisseaux choroïdiens","Stimuler la régénération rétinienne","Anti-inflammatoire","2","Le document précise : Pour créer une thrombose des néovaisseaux choroïdiens empêchant la formation d’œdème, puis régression de l’œdème maculaire existante.","Difficult"
"Les oligoéléments (vitamine E, C, zinc, lutéine, oméga 3) sont indiqués :","Uniquement dans la forme exsudative","Uniquement dans la forme atrophique","Dans tous les cas surtout la forme précoce pour retarder l’évolution","Uniquement en prévention primaire","3","Le document indique : Oligoéléments : dans tous les cas surtout la forme précoce pour retarder l’évolution.","Medium"
"Pour la DMLA atrophique, il existe :","Un traitement par anti-VEGF","Un traitement par photothérapie dynamique","Un traitement par oligoéléments uniquement","Aucun traitement médical efficace n’a été découvert","4","Le document précise : Aucun traitement médical pour la forme atrophique. Conclusion : aucun traitement efficace n’a été découvert jusqu’à ce jour.","Easy"
"La DMLA atrophique peut :","Toujours rester atrophique","Devenir secondairement exsudative","Guérir spontanément","Régresser","2","Le document indique : la DMLA atrophique peut devenir secondairement exsudative.","Medium"
"Les aides visuelles (systèmes grossissants optiques ou électroniques) sont indiquées :","En première intention","Quand les autres traitements n’ont pas permis la conservation d’une acuité visuelle satisfaisante","Uniquement pour la forme atrophique","Uniquement pour la forme exsudative","2","Le document précise : Rééducation orthoptique et aides visuelles : quand les autres traitements n’ont pas permis la conservation d’une acuité visuelle satisfaisante, notamment de près.","Medium"
"La rééducation orthoptique dans la DMLA consiste à :","Renforcer les muscles oculomoteurs","Apprendre au patient à utiliser la rétine située en dehors de la lésion","Corriger les troubles de la convergence","Traiter l’amblyopie","2","Le document indique : Rééducation orthoptique : apprendre au patient à utiliser la rétine située en dehors de la lésion.","Medium"
