"question","answer","explanation","difficulty"
"Quelle est la définition de la néphropathie lupique selon le document ?","Présence de protéinurie > 0,5 g/24h ou 3+ et/ou hématurie, leucocyturie, hémoglobinurie, cellules tubulaires, ou rapport protéinurie/créatininurie > 0,5 et >5 GR ou GB par champ, ou histologie compatible.","Le document donne cette définition complète.","Easy"
"Quels sont les pourcentages de lupiques atteints de néphropathie lupique au diagnostic et à 10 ans ?","35% au moment du diagnostic, 60% durant 10 ans d'évolution.","Le document donne ces chiffres.","Easy"
"Quel est le mécanisme physiopathologique de la néphropathie lupique ?","Hyperactivité lymphocytaire T et B → auto-Ac → complexes immuns circulants ou tissulaires → activation voie classique du complément et cellules leucocytaires → inflammation → lésions tissulaires : GN à dépôts de complexes immuns, néphrite tubulo-interstitielle, atteinte vasculaire.","Le document détaille cette cascade.","Easy"
"Quelles sont les 6 classes histologiques de la néphropathie lupique selon le document ?","Classe I : optique normale ; II : prolifération mésangiale ; III : prolifération focale (<50%) ; IV : prolifération diffuse (>50%) ; V : GN extra-membraneuse ; VI : GN sclérosante (>90% sclérose).","Le document décrit ces 6 classes.","Easy"
"Quelles sont les caractéristiques de la classe II (prolifération mésangiale) ?","Atteinte précoce modérée, hématurie microscopique, protéinurie faible, syndrome néphrotique possible, HTA rare, sans IR, sans hypocomplémentémie, faible Ac anti-DNA, pronostic excellent. Fréquence 10-20%.","Le document détaille la classe II.","Medium"
"Quelles sont les caractéristiques de la classe III (prolifération focale <50%) ?","Atteinte glomérulaire, mésangiopathie avancée ; protéinurie et hématurie quasi-constante ; syndrome néphrotique, HTA, IR possibles ; 50% des glomérules atteints ; dépôts IgG et C3 uniformes ; sous-classes IIIA (actif) et IIIC (chronique). Fréquence 10-20%.","Le document détaille la classe III.","Medium"
"Quelles sont les caractéristiques de la classe IV (prolifération diffuse >50%) ?","La plus sévère et la plus fréquente (50%). Protéinurie, hématurie, syndrome néphrotique, HTA, IR fréquentes ; syndrome néphritique aigu ; hypocomplémentémie ; Ac anti-DNA élevés. Dépôts sous-endothéliaux (anses ''fil de fer''). Sous-classes IV-S (segmentaire) et IV-G (globale), avec A (actif) ou C (chronique).","Le document détaille la classe IV.","Medium"
"Quelles sont les caractéristiques de la classe V (GN extra-membraneuse) ?","Syndrome néphrotique, hématurie, HTA, IR. Histologie : épaississement diffus de la MBG et dépôts extra-membraneux (sous-épithéliaux). Fréquence 10-20%. Risque à long terme.","Le document détaille la classe V.","Medium"
"Quelles sont les caractéristiques de la classe VI (GN sclérosante) ?","Cicatrisation d'une lésion antérieure, >90% des glomérules sclérosés, IRC, protéinurie variable, sans signes d'activité du sédiment urinaire, possible sans signes cliniques ni sérologiques d'activité lupique.","Le document détaille la classe VI.","Medium"
"Quel est le pronostic des classes III et IV sans traitement ?","Mauvais à court terme, urgence thérapeutique.","Le document le précise.","Medium"
"Quels sont les 7 facteurs pronostiques défavorables de la néphropathie lupique ?","1) Race noire ; 2) Conditions socio-économiques défavorables ; 3) HTA non contrôlée ; 4) Score élevé de lésions actives et chroniques sur la PBR initiale ; 5) Insuffisance rénale d'emblée ; 6) Mauvaise réponse à la thérapeutique de première ligne ; 7) Récidives rénales.","Le document liste ces facteurs.","Medium"
"Quel traitement est indiqué pour les classes I et II ?","Aucun traitement spécifique. Surveillance.","Le document le précise.","Medium"
"Quel traitement est indiqué pour les classes III, IV et V ?","Traitement immunosuppresseur : corticothérapie, hydroxychloroquine, azathioprine, cyclophosphamide, ciclosporine, mycophénolate mofétil, rituximab.","Le document liste ces traitements.","Medium"
"Quel traitement est indiqué pour la classe VI ?","Préparation à l'hémodialyse (traitement de suppléance).","Le document le précise.","Medium"
"Quels sont les 5 traitements non spécifiques de la néphropathie lupique ?","1) TA <130/80 mmHg ; 2) Activité physique ; 3) Traitement dyslipidémie ; 4) Arrêt du tabac ; 5) IEC ou ARA2.","Le document liste ces traitements.","Medium"
"Quels sont les 6 critères de réponse thérapeutique de la néphropathie lupique ?","1) Normalisation créatininémie <1 mois ; 2) Normalisation marqueurs inflammation ; 3) Diminution Ac (test de Farr) ; 4) Normalisation C3 et C4 ; 5) Diminution protéinurie >50% à 1 mois ; 6) Normalisation protéinurie <3 mois.","Le document liste ces critères.","Medium"
"Quels sont les 10 éléments du suivi de la néphropathie lupique ?","1) Clinique ; 2) Cinétique MMF (J8-J15 puis/an) ; 3) Dosage hydroxychloroquine (3 mois) ; 4) Créatininémie (1 et 3 mois) ; 5) Protéine/créatinine urinaires ; 6) C3 et C4 ; 7) Ac (test Farr) ; 8) VS/fibrinogène/CRP ; 9) BU (1 et 3 mois) ; 10) Vit D (25-OHD3).","Le document liste ces éléments.","Medium"
"Quelle est l'atteinte vasculaire de type microangiopathie thrombotique dans le lupus ?","Atteinte des petites artères, des capillaires glomérulaires et des grosses branches artérielles.","Le document le précise.","Medium"
"Pourquoi la présence d'anticorps anti-PL est-elle importante chez la femme lupique ?","Risque d'avortement spontané.","Le document le mentionne.","Medium"
"Quelle est la particularité de la dysfonction tubulaire distale dans le lupus ?","Acidose tubulaire liée à la présence d'auto-Ac dirigés contre les constituants des cellules intercalaires.","Le document l'explique.","Medium"
"Quel est l'aspect histologique des ''anses fil de fer'' ou ''wire loops'' et dans quelle classe le retrouve-t-on ?","Dépôts sous-endothéliaux épaississant et rigidifiant la paroi capillaire glomérulaire. Classe IV (prolifération diffuse).","Le document le décrit.","Difficult"
"Quelle est la différence entre les sous-classes IIIA et IIIC ?","IIIA : présence de lésions actives (inflammation active). IIIC : présence de lésions chroniques (cicatricielles).","Le document précise cette distinction.","Difficult"
"Quelle est la différence entre les classes IV-S et IV-G ?","IV-S : glomérulonéphrite proliférative diffuse segmentaire (atteinte partielle des glomérules mais >50% des glomérules touchés). IV-G : glomérulonéphrite proliférative diffuse globale (atteinte totale des glomérules touchés).","Le document distingue ces deux sous-classes.","Difficult"
"Comment évalue-t-on le risque évolutif de la néphropathie lupique sur la biopsie ?","En évaluant le degré d'activité (inflammation active) et le degré de chronicité (lésions cicatricielles glomérulaires, fibrose interstitielle, atrophie) pour guider le traitement immunosuppresseur.","Le document l'explique.","Difficult"
"Un patient a une néphropathie lupique de classe IV avec des lésions actives (A). Quel traitement proposez-vous et quel est le pronostic sans traitement ?","Traitement immunosuppresseur agressif (corticothérapie + cyclophosphamide ou MMF). Sans traitement, pronostic rénal mauvais à court terme (urgence thérapeutique).","Le document le précise.","Difficult"
"Un patient a une néphropathie lupique de classe VI avec 95% de glomérules sclérosés et une créatinine à 500 µmol/l. Quelle est la prise en charge ?","Préparation à l'hémodialyse (traitement de suppléance). Pas de traitement immunosuppresseur car lésions cicatricielles.","Le document le précise.","Difficult"
"Un patient a une néphropathie lupique avec protéinurie à 3g/24h, HTA, créatinine normale, C3 bas, Ac anti-DNA élevés. Biopsie : prolifération endocapillaire diffuse >50% des glomérules avec anses ''fil de fer''. Classe ?","Classe IV (prolifération diffuse). Sous-classe IV-G (globale) probable. Urgence thérapeutique.","Le document permet ce diagnostic.","Difficult"
"Un patient a une néphropathie lupique de classe V avec syndrome néphrotique pur. Quel traitement selon le document et quel est le risque ?","Traitement immunosuppresseur (corticothérapie, immunosuppresseurs). Risque à long terme (évolution lente vers l'IRC).","Le document le précise.","Difficult"
"Quelle est l'importance de l'hydroxychloroquine dans le traitement de la néphropathie lupique ?","L'hydroxychloroquine est un traitement de fond, dosée à 3 mois dans le suivi.","Le document le mentionne.","Difficult"
"Quelle est la fréquence de surveillance de la créatininémie et de la BU selon le document ?","Créatininémie et BU : par mois et à 3 mois.","Le document le précise.","Medium"
"Quand réalise-t-on la cinétique du mycophénolate mofétil (MMF) ?","Entre J8 et J15 puis une fois par an.","Le document le précise.","Medium"
"Quel est l'intérêt du dosage de la vitamine D (25-OHD3) dans le suivi ?","Car les patients lupiques sont souvent carencés en vitamine D, ce qui peut influencer l'activité de la maladie et la santé osseuse.","Le document mentionne ce dosage.","Difficult"
"Quelle est l'atteinte vasculaire de type nécrose fibrinoïde obstructive dans le lupus ?","Lésion des vaisseaux avec nécrose fibrinoïde, peu ou pas inflammatoire, avec dépôts de complexes immuns.","Le document la décrit.","Difficult"
"Quelle est la particularité de la classe V par rapport aux classes III et IV sur le plan du risque ?","Classe V : risque à long terme. Classes III et IV : risque à court terme (urgence thérapeutique).","Le document les distingue.","Difficult"
