question, answer, explanation, difficulty
"La galactorrhée est un écoulement mamelonnaire lactescent pendant la grossesse.", False, "Le document : 'en dehors de la grossesse'", "Easy"
"La galactorrhée représente 3 à 10% des pathologies mammaires.", True, "Le document : '3 à 10% des pathologies mammaires'", "Easy"
"La prolactinémie normale est comprise entre 5 et 20 ng/l.", True, "Le document : '5-20 ng/l'", "Easy"
"Une IRM hypophysaire est systématique devant toute galactorrhée.", False, "Le document : 'Si la prolactine est élevée : IRM'", "Easy"
"La cabergoline est un agoniste dopaminergique.", True, "Le document : 'agoniste dopaminergique en particulier la cabergoline'", "Easy"
"Un microprolactinome a une taille > 1 cm.", False, "Le document : 'Microprolactinome : tumeur < 01 cm'", "Easy"
"La galactorrhée du nouveau-né nécessite un traitement par agoniste dopaminergique.", False, "Le document : 'Pas de traitement'", "Easy"
"Le métoclopramide peut induire une galactorrhée.", True, "Le document : 'Antiémétique : dompéridone, metoclopramide'", "Easy"
"La cirrhose diminue la clearance de la dopamine.", True, "Le document : 'Cirrhose : Diminution de la clearance de la dopamine'", "Easy"
"L'insuffisance rénale chronique augmente la clearance de la prolactine.", False, "Le document : 'diminution de la clearance de la prolactine'", "Easy"
"La galactorrhée est le premier motif de consultation sénologique.", False, "Le document : 'Troisième motif après mastodynie et masse mammaire'", "Easy"
"La stimulation du mamelon est une cause de galactorrhée physiologique.", True, "Le document : 'Stimulation du mamelon' comme cause physiologique", "Easy"
"Le sommeil peut être une cause de galactorrhée physiologique.", True, "Le document : 'Sommeil'", "Easy"
"Les IRS (paroxétine, citalopram) peuvent induire une galactorrhée.", True, "Le document : 'IRS : paroxétine (Deroxat), citalopram (Seropram)'", "Medium"
"Le vérapamil est un anti-HTA pouvant induire une galactorrhée.", True, "Le document : 'Anti-HTA : vérapamil (Isoptine)'", "Medium"
"La macroprolactinémie s'accompagne toujours de troubles des règles.", False, "Le document : 'Galactorrhée isolée sans trouble de cycle'", "Medium"
"L'hypothyroïdie peut être responsable d'une hyperprolactinémie par augmentation de la TRH.", True, "Le document : 'Dysthyroïdie : Augmentation de la TRH qui stimule la prolactine'", "Medium"
"Le traitement de première intention des micro-adénomes est chirurgical.", False, "Le document : 'traitement repose sur l'agoniste dopaminergique'", "Easy"
"Les tests dynamiques sont inutiles dans le bilan d'une galactorrhée.", False, "Le document : 'tests de stimulations à la TRH et aux antidopaminergiques'", "Medium"
"La galactorrhée est toujours bilatérale.", False, "Le document : 'unilatérale ou bilatérale'", "Easy"
"Le craniopharyngiome est une cause possible de galactorrhée.", True, "Le document : 'Craniopharyngiome' dans lésions hypothalamiques", "Medium"
"La galactorrhée peut être un signe d'une maladie générale.", True, "Le document : 'Peut-être un signe d'une maladie générale'", "Easy"
"Le traitement étiologique est la base de la prise en charge de la galactorrhée.", True, "Le document : 'Traitement étiologique +++'", "Easy"
"L'acromégalie est une cause de galactorrhée avec hyperprolactinémie.", False, "Le document : 'Galactorrhée sans hyperprolactinémie : Acromégalie'", "Medium"
"Un macroprolactinome a une prolactinémie > 200 µg/l.", True, "Le document : 'Macroprolactinome : prolactinémie > 200 µg/l'", "Easy"
"La clomipramine est un antidépresseur pouvant causer une galactorrhée.", True, "Le document : 'Antipsychotiques : clomipramine'", "Medium"
"La radiothérapie hypophysaire est indiquée dans les microprolactinomes résistants.", False, "Document : 'radiothérapie si évolution tumorale ou prolactinome malin'", "Difficult"
"La galactorrhée est plus fréquente chez l'homme que chez la femme.", False, "Document sous-entend pathologie féminine", "Easy"
"Le stress est une cause de galactorrhée physiologique.", True, "Le document : 'Stress important'", "Easy"
"Un adénome hypophysaire est toujours responsable d'une galactorrhée.", False, "Tous les adénomes ne sont pas sécrétants", "Medium"
