"question","answer","explanation","difficulty"
"La néphropathie tubulo-interstitielle chronique dure moins de 3 mois.","False","Le document précise : ''Néphropathie durant > 3 mois''.","Easy"
"La tension artérielle est anormalement basse pour un sujet hyperurémique dans la NTIC.","True","Le document le confirme.","Easy"
"La polyurie et la nycturie sont dues à une augmentation du pouvoir de concentration urinaire.","False","Le document indique : ''dues à la diminution du pouvoir de concentration urinaire''.","Easy"
"Les reins sont atrophiés et bosselés dans la pyélonéphrite chronique.","True","Le document le confirme.","Easy"
"La protéinurie de la NTIC est de type glomérulaire avec albuminurie >80%.","False","La protéinurie est tubulaire avec albuminurie minoritaire (<25%).","Easy"
"Le N-acétyl-glucosaminidase est un marqueur d'atteinte tubulaire.","True","Le document le confirme.","Easy"
"L'obstacle prolongé (>5 semaines) et le reflux vésico-urétéral sont la cause la plus fréquente de NTIC (50%).","True","Le document le confirme.","Easy"
"L'aspirine à faible dose est une cause fréquente de NTIC.","True","Le document cite ''Aspirine (3g longue durée)''.","Easy"
"Les anomalies métaboliques représentent 34% des causes de NTIC.","True","Le document le confirme.","Easy"
"Les médicaments et toxiques représentent 50% des causes de NTIC.","False","Ils représentent 16%.","Easy"
"L'allopurinol peut être pris en prévention de la goutte même sans crise.","False","Le document précise : ''tant qu'on ne fait pas de crise de goutte, on ne prend pas d'allopurinol''.","Easy"
"L'atteinte du tube proximal est observée dans les métaux lourds et le myélome.","True","Le document le confirme.","Easy"
"L'atteinte du tube distal est observée dans l'hypercalcémie et les obstructions urinaires.","True","Le document le confirme.","Easy"
"L'atteinte de la médullaire/papille est observée dans la drépanocytose et les analgésiques.","True","Le document le confirme.","Easy"
"L'atteinte du tube proximal se manifeste par une acidose hyperkaliémique.","False","L'atteinte du tube proximal se manifeste par une acidose par baisse de réabsorption du bicarbonate, hypophosphatémie, glycosurie.","Easy"
"L'atteinte du tube distal se manifeste par une acidose et une hyperkaliémie.","True","Le document le confirme.","Easy"
"L'atteinte de la médullaire/papille se manifeste par un diabète insipide néphrogénique.","True","Le document le confirme.","Easy"
"La sarcoïdose est associée à une hypercalcémie et des adénopathies médiastinales.","True","Le document le confirme.","Medium"
"L'infiltrat cellulaire dans la NTIC est à prédominance de polynucléaires neutrophiles.","False","La prédominance est lymphocytaire (CD8+), macrophages.","Medium"
"L'ostéopontine favorise la fibrose dans la NTIC.","True","Le document le confirme.","Medium"
"Les tubes atrophiés dans la NTIC montrent des cellules épithéliales hypertrophiées.","False","Les cellules sont aplaties, les bordures en brosse disparues.","Medium"
"Les glomérules dans la NTIC sont normaux dans tous les cas.","False","Le document décrit des glomérules de type ischémique ou avec lésions de HSF.","Medium"
"Les dépôts immuns dans la NTIC sont à disposition mésangiale, focale avec IgM, IgA, C3, C4.","True","Le document le confirme.","Medium"
"Le pH urinaire est bas dans l'atteinte du tube proximal.","False","Le document indique ''PH urinaire élevé'' pour l'atteinte du tube proximal.","Medium"
"Le pH urinaire est >6 dans l'atteinte du tube distal.","True","Le document le confirme.","Medium"
"La natriurèse importante dans la NTIC entraîne une déshydratation et une TA basse.","True","Le document l'explique.","Medium"
"La leucocyturie dans la NTIC est associée à des nitrites positifs.","False","Le document précise : ''leucocyturie positive sans infection urinaire (nitrite (-))''.","Medium"
"L'évolution de la NTIC est très rapide vers l'IRC.","False","Le document indique : ''Evolution très lente vers IRC''.","Medium"
"Le traitement de la NTIC en cas de perte de sel est la restriction sodée.","False","Le document indique : ''Donner du sel si trop de perte''.","Medium"
"La polykystose rénale est une cause de NTIC selon le document.","True","Le document la cite dans ''AUTRES''.","Medium"
"L'obésité est citée comme cause de NTIC par excès de protéines éliminées.","True","Le document l'indique.","Difficult"
"L'endartérite fibreuse est une lésion artérielle observée dans la NTIC.","True","Le document la mentionne.","Difficult"
"La b2-microglobulinurie est un signe biologique de la NTIC.","True","Le document la cite.","Difficult"
"La glycosurie sans hyperglycémie peut survenir dans l'atteinte du tube proximal.","True","Le document mentionne ''glycosurie'' dans l'atteinte du tube proximal.","Difficult"
"Le lymphome est une cause de NTIC selon le document.","False","Non cité dans la liste des causes.","Difficult"
"Les herbes chinoises en décoction sont citées comme cause de NTIC.","True","Le document les mentionne.","Difficult"
"L'âge n'est pas un facteur de NTIC selon le document.","False","Le document cite ''Âge'' dans les causes de NTIC.","Difficult"
