"question","answer","explanation","difficulty"
"Définissez l’occlusion de l’artère centrale de la rétine (OACR) et précisez son retentissement visuel.","L’OACR est un arrêt brutal d’une partie ou de la totalité de la circulation rétinienne interne. Elle entraîne une baisse d’acuité visuelle brutale, indolore, massive (jusqu’à l’absence de perception lumineuse), avec lésions ischémiques définitives après 90 minutes.","Le document définit l’OACR et précise l’ischémie irréversible à 90 min.","Easy"
"Quels sont les trois signes physiques cardinaux de l’OACR tronculaire ?","1) Baisse d’acuité visuelle massive (jusqu’à PL). 2) Œil blanc et indolore. 3) Pupille en mydriase aréactive. 4) Fond d’œil : œdème blanc rétinien avec macula rouge cerise.","Le document liste ces signes.","Easy"
"Quel est l’aspect pathognomonique du fond d’œil dans l’OACR et quel en est le mécanisme ?","Macula rouge cerise sur fond d’œdème blanc rétinien ischémique. La macula apparaît rouge car elle est fine et laisse transparaître la couleur rouge de la choroïde sous-jacente vascularisée (circulation choroïdienne intacte), alors que le reste de la rétine œdématiée est blanc.","Le document déc cet aspect.","Easy"
"Quelles sont les trois principales causes d’emboles dans l’OACR ?","1) Emboles cholestéroliques (origine carotidienne). 2) Emboles calcaires (origine cardiaque, valvulopathies). 3) Emboles septiques (endocardite infectieuse).","Le document distingue ces trois types.","Easy"
"Quel bilan étiologique biologique doit être réalisé en urgence devant une OACR chez un patient de plus de 50 ans ?","VS et CRP en urgence (recherche maladie de Horton), NFS, glycémie, bilan lipidique, TP, TCA, facteurs de coagulation, protéine C, protéine S, antithrombine III.","Le document liste ces examens.","Easy"
"Quel est le traitement étiologique urgent de la maladie de Horton compliquée d’OACR ?","Corticothérapie à forte dose en urgence (bolus puis prednisolone) pour éviter la bilatéralisation et les complications générales.","Le document le précise.","Easy"
"Quels sont les quatre traitements symptomatiques de l’OACR cités dans le document ?","1) Massage oculaire. 2) Ponction de la chambre antérieure. 3) Hypotonisant (acétazolamide). 4) Antiagrégant plaquettaire. 5) Vasodilatateur. 6) Anticoagulant. 7) Fibrinolyse in situ.","Le document liste ces moyens.","Medium"
"Expliquez le mécanisme de la macula rouge cerise dans l’OACR.","La circulation choroïdienne (irriguant l’épithélium pigmentaire et les photorécepteurs) est indépendante de l’ACR et reste perméable. La macula est fine, sans couche de fibres nerveuses, laissant voir la couleur rouge de la choroïde à travers la rétine. Le reste de la rétine, œdématié par l’ischémie, apparaît blanc.","Document : œdème blanc rétinien mais coloration normale de la macula.","Medium"
"Quelle est la particularité de l’occlusion de l’artère ophtalmique par rapport à l’OACR ?","L’occlusion de l’artère ophtalmique est plus proximale, affectant à la fois la rétine interne et la choroïde. Le fond d’œil montre une rétine uniformément blanchâtre, sans macula rouge cerise, et il existe une douleur oculaire.","Le document distingue cette forme.","Medium"
"Quels sont les trois types d’emboles rares cités dans le document et leurs circonstances ?","1) Myxome de l’oreillette gauche (tumeur cardiaque). 2) Embol graisseux (fracture des os longs). 3) Embol de talc (toxicomanie intraveineuse).","Le document les mentionne.","Medium"
"Quels sont les quatre diagnostics différentiels majeurs de l’OACR ?","1) OVCR (occlusion veineuse centrale de la rétine). 2) Décollement total de rétine. 3) Hémorragie du vitré. 4) Névrite optique aiguë. 5) Ischémie aiguë de la tête du nerf optique. 6) Maculopathie aiguë.","Le document liste six diagnostics.","Medium"
"Quel est le risque de bilatéralisation de l’OACR et comment le prévenir ?","Le risque de bilatéralisation est élevé si la cause (athérome carotidien, maladie de Horton, trouble du rythme) n’est pas traitée. La prévention repose sur le traitement étiologique : corticothérapie pour Horton, endartériectomie pour sténose carotidienne, anticoagulants pour ACFA.","Document : traitement étiologique.","Medium"
"Pourquoi l’OACR est-elle qualifiée d’« équivalent d’AVC » ?","Parce qu’elle est causée par les mêmes mécanismes (embolie, thrombose) et que l’athérome carotidien responsable expose à un risque majeur d’AVC cérébral (ischémique). Elle doit être prise en charge en urgence avec un bilan cardiovasculaire complet.","Document : « équivalent d’AVC », risque d’AVC.","Medium"
"Quel est l’intérêt du massage oculaire dans le traitement de l’OACR ?","Le massage oculaire (alternance pression-dépression) vise à mobiliser l’embole vers la périphérie, permettant une reperfusion partielle du territoire rétinien, et à diminuer la pression intra-oculaire pour augmenter la pression de perfusion.","Document : massage oculaire -> mobilisation de l’embole.","Medium"
"Quel est le rôle de la ponction de chambre antérieure dans l’OACR ?","La ponction de chambre antérieure abaisse brutalement la pression intra-oculaire, augmentant la pression de perfusion artérielle rétinienne, ce qui peut permettre la mobilisation de l’embole ou la reperfusion.","Document : ponction de la chambre antérieure.","Medium"
