"term","definition","contextual_explanation"
"coqueluche","Toxi-infection liée à l’invasion bronchique par Bordetella pertussis.","Seule maladie infectieuse pour laquelle la mère ne transmet pas d’anticorps à son fœtus. Très contagieuse. 60 millions de cas par an, 400 000 décès chez l’enfant."
"Bordetella pertussis","Coccobacille à Gram négatif, aérobie stricte, très fragile, de culture difficile.","Agent pathogène de la coqueluche, transmis par la toux. Aussi appelé bacille de Bordet et Gengou."
"phase catarrhale","Première phase symptomatique de la coqueluche durant jusqu’à 10 jours.","Fièvre modérée ou absente, rhinorrhée, toux banale devenant tenace, insistante, survenant en quintes."
"phase d’état","Phase de la coqueluche durant 3-4 semaines, caractérisée par les quintes.","Accès répétitifs et violents de toux sans inspiration efficace, congestion du visage voire cyanose, reprise inspiratoire en chant de coq, vomissements possibles (émétisante). Épuisante, jusqu’à 50 quintes/jour, diurne et nocturne."
"quinte","Accès répétitif et violent de toux caractéristique de la coqueluche.","Survient sans inspiration efficace, avec reprise inspiratoire en chant de coq. Peut être émétisante et dyspnéisante."
"chant de coq","Bruit inspiratoire caractéristique après une quinte de coqueluche.","Signe classique mais absent chez le nourrisson."
"coqueluche du nourrisson","Forme clinique chez le nourrisson.","Rare après 3 doses de vaccin (forme atténuée). Quintes atypiques (pas de chant de coq). Mal tolérance fréquente avant 3 mois : accès de cyanose, apnée, bradycardie, malaise grave, troubles de conscience, vomissements."
"coqueluche maligne","Forme grave de coqueluche avant 3 mois.","Signes d’insuffisance respiratoire décompensée : tachycardie >200/min, hypoxie réfractaire, défaillance multiviscérale (rénale, cardiaque, neurologique). Biologie : hyperlymphocytose >50 G/l, thrombocytose >600 G/l."
"encéphalopathie coquelucheuse","Complication neurologique exceptionnelle de la coqueluche.","État de mal convulsif, troubles moteurs (hémiplégie, paraplégie, ataxie) et sensoriels (cécité, surdité)."
"hyperlymphocytose","Augmentation anormale du taux de lymphocytes dans le sang.","Signe biologique de la coqueluche, inconstant dans les formes non graves. Majeure (>50 G/l) dans la coqueluche maligne."
"thrombocytose","Augmentation anormale du taux de plaquettes.",">600 G/l dans la coqueluche maligne."
"PCR coqueluche","Test de diagnostic par amplification génique sur écouvillonnage nasopharyngé.","Sensibilité 90%, spécificité 99%, résultat en 24h. PCR multiplex possible."
"milieu de Bordet-Gengou","Milieu de culture spécifique pour Bordetella pertussis.","Utilisé pour la culture à partir d’aspiration nasopharyngée."
"SIADH","Syndrome de sécrétion inappropriée d’hormone antidiurétique (ADH).","Complication possible de la coqueluche se manifestant par une hyponatrémie. À surveiller : toux plusieurs jours + troubles de conscience."
"macrolides","Famille d’antibiotiques (azithromycine, clarithromycine).","Traitement de la coqueluche. Objectif : diminuer la contagiosité et écourter la symptomatologie."
"azithromycine","Macrolide utilisé dans la coqueluche.","Posologie : 20 mg/kg/j en une prise/j pendant 3 jours (max 500 mg/j) dès la naissance."
"clarithromycine","Macrolide utilisé dans la coqueluche.","Posologie : 15 mg/kg/j en 2 prises/j pendant 7 jours dès 1 mois."
"triméthoprime-sulfaméthoxazole","Antibiotique de la famille des sulfamides.","Alternative pour les plus de 3 mois : 30 mg/kg/j en 2 prises."
"antibioprophylaxie","Traitement antibiotique préventif des sujets contacts.","Indiqué chez nourrissons et enfants non ou mal vaccinés, adolescents non ou mal vaccinés. Inutile si >21 jours après contage."
"vaccination coquelucheuse","Vaccin acellulaire combiné.","Coqueluche non immunisante. 1ère dose à 6 ou 8 semaines, au moins 2 doses à 1-2 mois d’intervalle avec rappels."
"isolement respiratoire","Mesure de prévention de la transmission.","Recommandé en hospitalisation pour coqueluche."
"monitoring cardiorespiratoire","Surveillance continue du cœur et de la respiration.","Recommandé en hospitalisation."
"nutrition entérale à débit constant (NEDC)","Alimentation par sonde à débit continu.","Indication en cas de difficultés d’alimentation dans les formes graves."
"emphysème médiastinal","Présence d’air dans le médiastin.","Complication mécanique de la coqueluche."
"pneumothorax","Présence d’air dans la cavité pleurale.","Complication mécanique."
"otite barotraumatique","Lésion de l’oreille par variation brutale de pression.","Complication mécanique des quintes."
"hémorragie sous-conjonctivale","Saignement sous la conjonctive oculaire.","Complication mécanique des quintes."
"prolapsus rectal","Descente du rectum par l’anus.","Complication mécanique chez le nourrisson."
"hernie ombilicale","Passage de viscères par l’ombilic.","Complication mécanique."
"hernie inguino-scrotale","Passage de viscères dans le canal inguinal et la bourse.","Complication mécanique."
"fracture des côtes","Rupture d’une ou plusieurs côtes.","Complication mécanique des quintes violentes."
"hypoxie réfractaire","Baisse de l’oxygénation sanguine ne répondant pas à l’oxygénothérapie.","Signe de coqueluche maligne."
"défaillance multiviscérale","Insuffisance simultanée de plusieurs organes.","Complication de la coqueluche maligne (rénale, cardiaque, neurologique)."
