"question","answer","explanation","difficulty"
"Quelle est la définition de la néphropathie diabétique selon le document ?","Néphropathie principalement glomérulaire, non proliférative, s'intégrant dans le cadre des complications micro-angiopathiques du diabète.","Le document donne cette définition.","Easy"
"Quel est le délai d'apparition de l'IRCT dans le diabète de type 1 et de type 2 ?","Type 1 : 25 ans après le diagnostic. Type 2 : 10 ans après le diagnostic (par retard de découverte du diabète qui évolue silencieusement).","Le document précise ces délais.","Easy"
"Quels sont les trois types de facteurs de risque de la néphropathie diabétique ?","1) Facteurs métaboliques (mauvais contrôle glycémique) ; 2) Environnementaux (tabac) ; 3) Génétiques (allèle D, ACE bas).","Le document structure ces facteurs.","Easy"
"Quel est l'effet du tabac sur l'évolution de la néphropathie diabétique ?","Le tabac accélère la dégradation rénale (facteur néfaste démontré).","Le document le confirme.","Easy"
"Quels sont les critères diagnostiques de la néphropathie diabétique selon le document (6 éléments) ?","1) Microalbuminurie et/ou élévation créatininémie +/- HTA ; 2) Diabète >5 ans ; 3) Rétinopathie diabétique associée ; 4) Pas d'hématurie ; 5) Tailles rénales normales ; 6) Autres complications du diabète.","Le document liste ces critères.","Easy"
"Quels sont les 5 stades de la classification de Mogensen ?","Stade 1 : Hypertrophie rénale et hyperfiltration. Stade 2 : Phase latente. Stade 3 : Néphropathie débutante (microalbuminurie). Stade 4 : Néphropathie patente (protéinurie >300mg/24h, HTA, IRC). Stade 5 : IRCT terminale.","Le document détaille les 5 stades.","Easy"
"Quelle est la cible glycémique, tensionnelle et d'albuminurie dans le traitement de la néphropathie diabétique ?","HbA1c <7%, TA <130/80 mmHg, microalbuminurie <30 mg/24h.","Le document donne ces cibles.","Easy"
"Quels traitements sont recommandés dès la microalbuminurie, même sans HTA ?","IEC ou ARA2 (néphroprotecteurs, vasculo-protecteurs, cardioprotecteurs) avec action hypotensive + action spécifique sur la réduction de l'hyperpression intraglomérulaire.","Le document le précise.","Easy"
"Quelles sont les lésions glomérulaires nodulaires caractéristiques de la néphropathie diabétique ?","Lésions nodulaires de Kimmelstiel-Wilson.","Le document les mentionne.","Easy"
"Quel est le mécanisme de l'hyperfiltration glomérulaire dans la néphropathie diabétique ?","Augmentation de la pression artérielle systémique + modifications de la microcirculation intrarénale (vasodilatation de l'artériole afférente via IGF1) + hypertrophie glomérulaire.","Le document explique ce mécanisme.","Medium"
"Quel est le mécanisme de l'albuminurie dans la néphropathie diabétique ?","Anomalies de perméabilité glomérulaire (altération qualitative de la MB par glycosylation, augmentation taille des pores, modification sélectivité de charge) + augmentation du gradient de pression hydrostatique trans-membranaire.","Le document détaille ces mécanismes.","Medium"
"Quel est le délai d'apparition de l'expansion de la membrane basale glomérulaire et son évolution ?","Au bout de 2 ans : expansion. 5 ans : épaississement de 30%. Quand la ND se manifeste cliniquement : épaisseur doublée.","Le document donne ces chiffres.","Medium"
"Quel est le rôle de l'IGF1 dans la néphropathie diabétique ?","L'hyperglycémie chronique (stress oxydatif) augmente la sécrétion locale d'IGF1, qui conduit à une vasodilatation de l'artériole afférente et à l'hypertrophie rénale.","Le document l'explique.","Medium"
