"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Quelle est la définition de la drépanocytose ?","Anémie hémolytique constitutionnelle transmise sur le mode autosomique récessif due à une Hb anormale Hb S","Anémie ferriprive congénitale","Thalassémie majeure","Leucémie aiguë","1","Le document : 'Anémie hémolytique constitutionnelle, Transmise sur le mode autosomique récessif, Due à 1 Hb anormale : Hb S'.","Easy"
"Quel est le mode de transmission de la drépanocytose ?","Dominant lié à l'X","Autosomique dominant","Autosomique récessif","Mitochondrial","3","Le document : 'Transmise sur le mode autosomique récessif'.","Easy"
"Quelle est la prévalence de la drépanocytose à Madagascar ?","30%","10%","20%","5%","2","Le document : '10% à Madagascar (avant : Sud-Est ; maintenant : partout)'.","Easy"
"Quelle est la prévalence en Afrique ?","10%","20%","30%","40%","3","Le document : '30% en Afrique'.","Easy"
"Quel est le syndrome douloureux révélateur de la maladie entre 6 et 18 mois ?","Syndrome thoracique aigu","Syndrome pied-mains","Priapisme","Hémiplégie","2","Le document : 'syndrome pied-mains révélateur de la maladie entre M6 et M18 : tuméfaction aiguë du dos des mains, des pieds'.","Easy"
"Pourquoi la drépanocytose est-elle asymptomatique avant 6 mois ?","Absence de douleur","Protection par l'Hb F","Immunité maternelle","Faible quantité d'Hb S","2","Le document : 'Pas encore de drépanocytose avant 6ème mois : Hb F non encore remplacée par l'Hb S pathologique'.","Easy"
"Quel test de laboratoire met en évidence la falciformation des globules rouges ?","Électrophorèse de l'hémoglobine","Test d'Emmel","NFS","Groupe sanguin","2","Le document : 'Test d'Emmel : falciformation'.","Easy"
"Quel examen confirme le diagnostic de drépanocytose homozygote SS ?","NFS","Test d'Emmel","Électrophorèse de l'hémoglobine","Biopsie de moelle","3","Le document : 'Electrophorèse de l'Hémoglobine : Présence d'Hb S, F et A2, Absence d'Hb A'.","Easy"
"Quel est le risque infectieux majeur chez l'enfant drépanocytaire ?","Paludisme","Septicémie à pneumocoque","Tuberculose","VIH","2","Non explicite, mais le document mentionne antibioprophylaxie par pénicilline et vaccination anti-pneumocoque.","Easy"
"Quel traitement préventif est recommandé au quotidien ?","Fer","Acide folique","Vitamine B12","Corticostéroïdes","2","Le document : 'Acide folique 1mg/kg/j'.","Easy"
"Quel virus peut provoquer une érythroblastopénie aiguë chez le drépanocytaire ?","VIH","Parvovirus B19","Virus d'Epstein-Barr","Cytomégalovirus","2","Le document : 'Érythroblastopénie aiguë (Infection à Parvovirus B19)'.","Easy"
"Quelle complication suraiguë avec splénomégalie massive expose au choc ?","Crise vaso-occlusive","Séquestration splénique","Syndrome thoracique aigu","Infection","2","Le document : 'Séquestration splénique : suraiguë, splénomégalie, choc (splénomégalie+++ évoluant en quelques heures : ---> stade 4), Hb 3-4g, plaquettes 10G'.","Easy"
"Quel accident vaso-occlusif neurologique peut survenir chez l'enfant drépanocytaire ?","Méningite","AVC (hémiplégie, convulsion)","Abcès cérébral","Encéphalite","2","Le document : 'Neuro : AVC : Parésie transitoire, Hémiplégie, Convulsion, Atteinte des paires crâniennes'.","Easy"
"Quel syndrome thoracique aigu est une complication vaso-occlusive pulmonaire ?","Pneumonie lobaire","Syndrome thoracique aigu (accident vasculaire thoracique)","Embolie pulmonaire","Pneumothorax","2","Le document : 'Thoraciques : Syndrome thoracique aigu (accident vasculaire thoracique)'.","Easy"
"Quel est le traitement de fond pouvant espacer les crises ?","Transfusion","Hydréa (hydroxyurée)","Corticoïdes","Antibiotiques","2","Le document : 'Cytostatique (hydréa) permettrait d'espacer les crises'.","Easy"
"Quel est le traitement curatif potentiel de la drépanocytose ?","Transfusions régulières","Allogreffe de moëlle","Hydréa","Splénectomie","2","Le document : 'Sévères : hydréa, allogreffes de la moëlle'.","Easy"
