"question","option1","option2","option3","option4","answer","explanation","difficulty"
"Qu'est-ce que le syndrome hémolytique et urémique (SHU) ?","Une infection rénale bactérienne","Une microangiopathie thrombotique avec destruction mécanique des GR et activation plaquettaire","Une maladie auto-immune","Une carence en facteurs de coagulation","2","Document: 'Microangiopathie thrombotique : Altération de l’endothélium vasculaire ; Destruction mécanique des globules rouges ; Activation de l’agrégation plaquettaire'","Easy"
"Quelle est la triade symptomatique du SHU ?","Anémie ferriprive, leucopénie, insuffisance rénale","Anémie hémolytique mécanique, thrombopénie, insuffisance rénale aiguë","Thrombocytose, anémie, hypertension","Hématurie, protéinurie, œdèmes","2","Document: 'Triade symptomatique : Anémie hémolytique d’origine mécanique, Thrombopénie, Insuffisance rénale aiguë'","Easy"
"Quelle est la cause la plus fréquente du SHU chez l'enfant ?","Infection à Streptococcus pneumoniae","Infection à Escherichia coli entérohémorragiques producteurs de Shigatoxines (SHU-STEC)","Médicaments","Greffe de moelle","2","Document: 'SHU post-diarrhéique (90% des cas, secondaire à une infection digestive par Escherichia coli entérohémorragiques producteurs de Shigatoxines)'","Easy"
"Quel est l'âge typique du SHU post-diarrhéique ?","Nouveau-né","Inférieur à 3 ans","5-10 ans","Adolescent","2","Document: 'Âge : inférieur à 3 ans'","Easy"
"Quel aliment n'est PAS une source de contamination typique du SHU post-diarrhéique ?","Viandes contaminées insuffisamment cuites","Produits laitiers pasteurisés","Légumes consommés crus","Produits laitiers non pasteurisés","2","Document: 'Après ingestion de viandes contaminées insuffisamment cuites ; Produits laitiers non pasteurisés ; Légumes consommés crus'","Easy"
"Quel est le délai d'apparition de la phase prodromique diarrhéique après contamination ?","1-2 jours","3-15 jours","15-30 jours","1-2 mois","2","Document: 'Phase prodromique : diarrhée généralement glairo-sanguinolente +/- fièvre J3-J15'","Easy"
"Quel est le seuil de thrombopénie définissant le SHU ?","< 50 000/mm3","< 100 000/mm3","< 150 000/mm3","< 200 000/mm3","3","Document: 'Thrombopénie < 150.000 /mm3'","Easy"
"Quelle est la mortalité du SHU à la phase aiguë ?","Moins de 1%","2-5%","10-15%","20-25%","2","Document: 'Mortalité à 2-5%'","Easy"
"Quel est le pourcentage de patients dialysés à la phase aiguë du SHU ?","Moins de 25%","Plus de 50%","Environ 75%","90%","2","Document: '>50% : dialyse à la phase aigue'","Easy"
"Quelle est la fréquence des séquelles rénales à long terme après SHU ?","Environ 10%","Près de 30%","Plus de 50%","Moins de 5%","2","Document: 'Séquelles : près de 30 % des patients'","Easy"
