"question","answer","explanation","difficulty"
"Quelle est la définition de la constipation selon le document ?","Moins de 3 selles par semaine, ou sensation d'exonérations incomplètes / expulsion difficile.","Document.","Easy"
"Quels sont les deux grands mécanismes physiopathologiques de la constipation ?","1. Trouble de la progression du bol fécal, 2. Trouble de l'évacuation sigmoïdo-rectale (dyschésie).","Document.","Easy"
"Qu'est-ce que la dyschésie ?","Trouble de l'évacuation sigmoïdo-rectale donnant une sensation d'exonération incomplète.","Document.","Easy"
"Quels sont les trois temps de la défécation ?","Temps sigmoïdien, temps rectal, temps anal.","Document.","Easy"
"Quelle est la valeur de pression rectale déclenchant l'envie d'aller à la selle ?","40-50 mmHg.","Document.","Easy"
"Qu'est-ce que l'anisme ?","Absence de relâchement du sphincter interne et externe au moment des poussées.","Document.","Easy"
"Citez trois signes d'alarme de constipation.","Apparition récente, âge > 40 ans, rectorragie, anémie, AEG.","Document.","Easy"
"Quel examen est recommandé devant des signes d'alarme ?","Coloscopie totale.","Document.","Easy"
"Qu'est-ce que la mélanose colique et quelle en est la cause ?","Coloration noirâtre de la muqueuse recto-colique due à un abus de laxatifs irritants (anthraquinones).","Document.","Easy"
"Quel est le temps de transit colique normal selon le test au carmin (premières et dernières selles rouges) ?","Premières selles rouges : 18-24 h ; dernières : 24-72 h.","Document.","Easy"
"Quels sont les trois types de causes de constipation primitive ?","Alimentation pauvre en fibres, ration hydrique insuffisante, vie sédentaire, éducation.","Document.","Easy"
"Expliquez le réflexe ano-sigmoïdien inhibiteur.","Il diminue le besoin d'exonérer. Par contraction volontaire du sphincter externe pendant 25 secondes, il entraîne une hypotonie recto-sigmoïdienne, une diminution de la pression intra-rectale et une diminution du besoin d'exonérer.","Document.","Medium"
"Décrivez les deux anomalies de la motricité colique responsables d'un trouble de la progression du bol fécal.","1. Hyperactivité exagérée mais anarchique (hyperspasmodicité segmentaire). 2. Diminution de la motricité (hypotonie ou inertie colique).","Document.","Medium"
"Quels sont les trois temps de l'examen physique d'un patient constipé selon le document ?","Examen de la paroi abdominale, examen de l'anus (fissure, hémorroïde, sténose), toucher rectal (après défécation).","Document.","Medium"
"Quelles sont les cinq causes de constipation secondaire extra-digestive citées ?","Neurologique (SEP, Parkinson), pulmonaire (emphysème), endocrinienne (hypothyroïdie), insuffisance rénale, hypocalcémie.","Document.","Medium"
"Quels sont les quatre types de causes digestives coliques de constipation secondaire ?","Tumeurs, sténoses inflammatoires, colites infectieuses/ischémiques, mégacôlon congénital, compression extrinsèque.","Document.","Medium"
"Quels sont les quatre types de causes ano-rectales de constipation secondaire ?","Tumeurs rectales, rectites hémorragiques/radiques, prolapsus/sténose anale/fissure anale, abcès d'hémorroïdes.","Document.","Medium"
"Quel est l'intérêt de la manométrie recto-anale dans le bilan d'une constipation ?","Elle explore la défécation en cas de suspicion de dyschésie et mesure les pressions ano-rectales.","Document.","Medium"
"Quel est l'intérêt de l'EMG colique ?","Enregistrement des rythmes électriques en cas de suspicion d'inertie colique d'origine neurologique.","Document.","Medium"
"Que montre la défécographie ?","Les troubles statiques et dynamiques de la défécation (radiographie pendant la défécation).","Document.","Medium"
"Un patient de 60 ans consulte pour une constipation apparue depuis 3 mois, sans rectorragie mais avec un amaigrissement de 5 kg. Quel examen demandez-vous et pourquoi ?","Coloscopie, car il présente des signes d'alarme : âge >40 ans, apparition récente, AEG (amaigrissement).","Document.","Medium"
"Un patient se plaint de constipation avec sensation d'évacuation incomplète. Le TR après défécation retrouve des selles dans l'ampoule rectale. Quel diagnostic mécanique évoquez-vous ?","Dyschésie (trouble de l'évacuation sigmoïdo-rectale).","Document.","Medium"
"Un patient sous morphine pour douleurs cancéreuses présente une constipation sévère. Quelle est la cause et quel mécanisme ?","Constipation iatrogène (opiacés) par ralentissement du transit.","Document.","Medium"
"Quelle est la différence entre la constipation par hyperspasmodicité segmentaire et celle par inertie colique ?","Hyperspasmodicité : contractions anarchiques, peut alterner avec diarrhée. Inertie : absence de contractions propulsives, transit très ralenti.","Document.","Medium"
"Un patient a une constipation et une rectoscopie montrant une muqueuse noire. Quel est votre diagnostic et quelle est la cause ?","Mélanose colique, due à un abus de laxatifs irritants (anthraquinones).","Document.","Medium"
"Quels sont les deux types d'examens pour mesurer le temps de transit colique ?","Test au carmin (rouge carmin) et marqueurs radio-opaques.","Document.","Medium"
"Pourquoi le toucher rectal est-il recommandé après la défécation ?","Pour rechercher des matières restant dans le rectum, signe de dyschésie.","Document.","Medium"
