"question","answer","explanation","difficulty"
"Le SHU est une microangiopathie thrombotique.","True","Document: 'Microangiopathie thrombotique'","Easy"
"La triade du SHU associe anémie hémolytique, thrombopénie et insuffisance rénale aiguë.","True","Document: 'Triade symptomatique'","Easy"
"Le SHU post-diarrhéique représente 90% des cas chez l'enfant.","True","Document: '90% des cas'","Easy"
"Le SHU post-diarrhéique touche préférentiellement les enfants de plus de 5 ans.","False","Document: 'Âge : inférieur à 3 ans'","Easy"
"La consommation de produits laitiers pasteurisés est un facteur de risque de SHU.","False","Document: 'Produits laitiers non pasteurisés' sont un risque","Easy"
"La phase prodromique du SHU est une diarrhée glairo-sanguinolente.","True","Document: 'diarrhée généralement glairo-sanguinolente'","Easy"
"Les schizocytes sont des hématies en coquilles d'œuf.","True","Document: 'schizocytes (hématies en coquilles d’oeuf)'","Easy"
"La mortalité du SHU à la phase aiguë est supérieure à 10%.","False","Document: 'Mortalité à 2-5%'","Easy"
"Plus de 50% des patients dialysent à la phase aiguë.","True","Document: '>50% : dialyse à la phase aigue'","Easy"
"Les séquelles rénales du SHU concernent près de 30% des patients.","True","Document: 'Séquelles : près de 30 % des patients'","Easy"
"Le SHU atypique survient toujours après une diarrhée.","False","Document: 'SHU atypique : Pas de diarrhée prodromique'","Easy"
"Le SHU atypique a un pronostic très réservé.","True","Document: 'Pronostic très réservé'","Medium"
"La ciclosporine peut être responsable d'un SHU secondaire.","True","Document: 'Différentes drogues : ciclosporine'","Medium"
"L'antibiothérapie est systématique dans le SHU post-diarrhéique.","False","Document: 'Pas d’antibiothérapie systématique'","Medium"
"La restriction hydrique dans l'IRA du SHU est de 20 ml/kg/j + diurèse.","True","Document: 'Restriction hydrique : 20 ml/kg/j + diurèse'","Medium"
"La transfusion de culot globulaire est indiquée si Hb < 8 g/dl.","True","Document: 'taux d’Hb < 8g/dl'","Medium"
"La dialyse péritonéale est indiquée en cas de créatininémie à 200 µmol/L.","False","Document: 'Indications : Créatininémie à 300-400µmol/L'","Medium"
"L'hyperkaliémie > 6 mmol/L est une indication de dialyse.","True","Document: 'Hyperkaliémie> 6mmol/L'","Medium"
"La surveillance à long terme après SHU est recommandée pendant 1 an.","False","Document: 'systématique pendant 3 à 5 ans'","Medium"
"Après 15 ans, plus d'un tiers des enfants ayant eu un SHU présentent des séquelles.","True","Document: 'plus de 1/3 des enfants présenteront : HTA, IRC, protéinurie chronique'","Medium"
"Le SHU post-diarrhéique est dû à Escherichia coli O157:H7.","True","Document: 'Escherichia coli sérotype 0157 : H7'","Medium"
"Le SHU atypique est souvent héréditaire par mutation des protéines du complément.","True","Document: 'Dû à des mutations dans les gènes codant les protéines régulatrices de la voie alterne du complément'","Medium"
"Les échanges plasmatiques sont indiqués dans la thrombopénie sévère.","True","Document: 'Échange plasmatique avec PFC en cas de thrombopénie sévère'","Medium"
"La restriction potassique est de 1 mmol/kg/j.","True","Document: 'Restriction potassique : 1mmol/kg/j'","Medium"
"La restriction sodée est de 1 mmol/kg/j.","False","Document: 'Restriction sodée : 0,5 mmol/kg/j'","Medium"
"L'ECG est surveillé quotidiennement pour détecter une hyperkaliémie.","True","Document: 'ECG (troubles ioniques redoutés : hyperkaliémie)'","Medium"
"Le SHU secondaire peut compliquer une greffe de moelle.","True","Document: 'À une greffe de moëlle'","Medium"
"La vaccination est un moyen de prévention du SHU typique.","False","Document: Prévention par hygiène alimentaire, pas de vaccination","Medium"
"Les ralentisseurs de transit sont recommandés en cas de diarrhée prodromique.","False","Document: 'Éviter les ralentisseurs de transit'","Medium"
"L'anurie dans le SHU typique dure généralement 1 à 2 semaines.","True","Document: 'Anurie : dure 1 à 2 semaines'","Medium"
"L'hémolyse et la thrombopénie sont corrigées en moins de 15 jours.","True","Document: 'Hémolyse et thrombopénie corrigés en moins de 15j'","Medium"
"L'évolution vers l'insuffisance rénale terminale survient dans 5 à 10% des cas.","True","Document: 'Évolution vers l’insuffisance rénale terminale : 5 à 10%'","Medium"
"Le SHU atypique évolue par poussées multiples.","True","Document: 'Évolution par poussées multiples'","Medium"
"Le SHU post-diarrhéique peut être transmis par des légumes crus contaminés.","True","Document: 'Légumes consommés crus'","Easy"
"Le SHU est la première cause d'insuffisance rénale aiguë organique chez l'enfant de moins de 3 ans.","True","Document: '1ère cause d’IRA organique < 3ans'","Medium"
"Les anticorps IgM anti-STEC peuvent être recherchés dans le sérum.","True","Document: 'Dans le sérum (anticorps IgM)'","Medium"
"La coproculture permet la mise en évidence de STEC.","True","Document: 'Dans les selles (coproculture, PCR)'","Medium"
"Le SHU secondaire à Streptococcus pneumoniae est une forme atypique.","True","Document: 'SHU secondaire : À des infections sévères à Streptococcus pneumoniae'","Medium"
"La transfusion de plaquettes est indiquée en cas de thrombopénie asymptomatique.","False","Document: 'Transfusion de plaquette : syndrome hémorragique ou geste chirurgical programmé'","Medium"
"La nutrition parentérale est indiquée en cas d'atteinte colique sévère.","True","Document: 'Nutrition parentérale si atteinte colique sévère'","Medium"
"La ventilation assistée est nécessaire en cas d'atteinte neurologique grave.","True","Document: 'Ventilation assistée si atteinte neurologique grave'","Medium"
"Le SHU typique a une mortalité inférieure à 1%.","False","Document: 'Mortalité à 2-5%'","Medium"
"Le SHU atypique peut survenir chez le nouveau-né.","True","Document: 'Âge variable (nouveau-né)'","Medium"
"Le traitement du SHU est étiologique (antibiotiques anti-E. coli).","False","Document: 'Traitement symptomatique, pas d'antibiothérapie systématique'","Difficult"
"La baignade dans des mares contaminées par des bétails est un facteur de risque de SHU.","True","Document: 'Éviter les baignades dans des mares possiblement contaminés par bétails'","Medium"
