"question","answer","explanation","difficulty"
"Dans la GNEM, les lésions histologiques touchent le versant interne endothélial de la membrane basale.","False","Le document précise que les lésions touchent ''le versant externe sous épithéliale de la membrane basale''.","Easy"
"La GNEM représente 40% des glomérulonéphrites chez l'adulte.","True","Le document indique 40% chez l'adulte dans le tableau épidémiologique.","Easy"
"La GNEM représente 7% des glomérulonéphrites chez l'enfant.","True","Le document indique 7% chez l'enfant.","Easy"
"La thrombose veineuse profonde rénale est une particularité de la GNEM.","True","Le document mentionne : ''Thrombose veineuse profonde (rénale) = particularité de la maladie''.","Easy"
"L'aspect en ''spikes'' est observé en immunofluorescence.","False","L'aspect en ''spikes'' est observé en microscopie optique après imprégnation argentique, non en immunofluorescence.","Easy"
"L'immunofluorescence de la GNEM montre une fixation linéaire des anticorps.","False","Le document précise : ''Fixation granuleuse caractéristique'', non linéaire.","Easy"
"La GNEM primitive représente 85% des cas.","True","Le document indique : ''PRIMITIVE (85%)''.","Easy"
"Les AINS sont une cause médicamenteuse de GNEM.","True","Le document liste : ''AINS++'' parmi les médicaments.","Easy"
"Le VHB, VHC et VIH sont des causes infectieuses de GNEM.","True","Le document liste : ''VHB, VHC ou VIH'' dans les causes infectieuses.","Easy"
"L'objection tensionnel dans la GNEM est TA < 140/90 mmHg.","False","L'objectif est TA < 130/80 mmHg selon le document.","Easy"
"Le protocole Ponticelli dure 3 mois.","False","Le document indique : ''Protocole PONTICELLI (6 mois)''.","Easy"
"La rémission spontanée de la GNEM survient dans 30% des cas.","True","Le document précise : ''Rémission spontanée : 30%''.","Easy"
"La biopsie rénale dans la GNEM montre une prolifération endocapillaire massive.","False","Le document indique : ''Pas de prolifération cellulaire''.","Easy"
"La rémission sous traitement à 10 ans est de 88% selon le document.","True","Le document indique : ''Rémission sous traitement : 88% (10 ans)''.","Easy"
"Le Rituximab n'est pas utilisé dans le traitement de la GNEM.","False","Le document mentionne : ''Rituximab (traitement d'actualité)''.","Easy"
"La persistance de la protéinurie sans insuffisance rénale survient dans 30% des cas.","False","Le document indique : ''Persistance de la protéinurie sans IR : 50%''.","Medium"
"L'aggravation lente vers l'IRC est l'évolution dans 50% des cas sans traitement.","False","20% des cas (100-30-50) : 30% rémission, 50% protéinurie sans IR, donc 20% aggravation, non 50%.","Medium"
"Les dépôts extramembraneux d'immunoglobulines se situent entre les ''spikes'' à l'imprégnation argentique.","True","Le document explique : ''Entre ces SPIKES se trouvent les dépôts extramembraneux d'Immunoglobuline''.","Medium"
"Le traitement par IEC +/- ARA2 est indiqué pendant 12 mois.","False","Le document précise : ''IEC +/- ARA2 (6 mois)''.","Medium"
"Le cyclophosphamide oral est utilisé à la dose de 0,5 mg/kg/j dans la GNEM.","False","La dose est ''1,5 à 2 mg/kg/j'' selon le document.","Medium"
"Le mycophénolate mofétil est indiqué en première intention dans la GNEM.","False","Il est indiqué ''si échec Ponticelli et DFG < 50 ml/mn'', non en première intention.","Medium"
"La lèpre peut causer une GNEM par mécanisme d'amylose secondaire.","True","Le document précise : ''Lèpre (+ amylose AA)''.","Medium"
"La bilharziose peut causer une GNEM avec amylose secondaire.","True","Le document indique : ''Bilharziose (+ amylose AA)''.","Medium"
"Le traitement spécifique est indiqué pour toute protéinurie > 4g/j quelle que soit la durée.","False","La durée est précisée : >4g/j pendant 1 an, >6g/j pendant 9 mois, >8g/j pendant 6 mois.","Medium"
"Les cancers du sein et de la prostate sont cités parmi les néoplasies associées à la GNEM.","True","Le document liste : ''sein, prostate'' dans les cancers.","Medium"
"Le syndrome de Guillain Barré est cité comme cause auto-immune de GNEM.","True","Le document liste : ''Syndrome de Guillain Barré'' dans ''Autres''.","Medium"
"Le traitement par immunoglobulines IV dans la GNEM est administré en une seule cure.","False","Le document précise un schéma en 4 cures toutes les 3 semaines puis 1 jour toutes les 3 semaines sur 6 mois.","Difficult"
"Une protéinurie à 7g/j pendant 10 mois avec DFG normal nécessite un traitement spécifique.","True","Selon le document : >4g/j pendant 1 an (12 mois). 10 mois < 12 mois : non. Mais 7g/j pendant 10 mois = >6g/j pendant >9 mois : oui.","Difficult"
"Le traitement étiologique de la GNEM ne modifie pas les dépôts glomérulaires.","False","Le document affirme : ''Le traitement étiologique fait régresser les dépôts''.","Difficult"
"La dermatite herpétiforme est une cause de GNEM selon le document.","True","Le document liste ''Dermatite herpétiforme'' dans ''Autres''.","Difficult"
