question, option1, option2, option3, option4, answer, explanation, difficulty
"Quelle est la définition de la galactorrhée ?", "Écoulement mamelonnaire purulent", "Écoulement mamelonnaire lactescent en dehors de la grossesse, post-partum et allaitement", "Écoulement mamelonnaire sanglant", "Écoulement mamelonnaire clair", "2", "Le document : 'Ecoulement mamelonnaire lactescent provenant des pores galactophoriques, en dehors de la grossesse, du post-partum immédiat et 6 à 12 mois à distance de l'allaitement'", "Easy"
"Quel est le troisième motif de consultation sénologique ?", "Mastodynie", "Masse mammaire", "Galactorrhée", "Écoulement sanglant", "3", "Le document : 'Troisième motif de consultation sénologique après mastodynie et masse mammaire'", "Easy"
"Quel est le taux normal de prolactinémie ?", "5-10 ng/l", "5-20 ng/l", "10-30 ng/l", "20-50 ng/l", "2", "Le document : 'Dosage de la prolactinémie : 5-20 ng/l'", "Easy"
"Quel examen est indiqué si la prolactine est élevée ?", "Scanner cérébral", "IRM hypophysaire avec injection de gadolinium", "Échographie mammaire", "Mammographie", "2", "Le document : 'Si la prolactine est élevée : IRM hypophysaire avec injection de gadolinium'", "Easy"
"Quel est le traitement médicamenteux de première intention des micro-adénomes à prolactine ?", "Bromocriptine", "Cabergoline (agoniste dopaminergique)", "Domperidone", "Metoclopramide", "2", "Le document : 'Le traitement repose sur l'agoniste dopaminergique en particulier la cabergoline'", "Easy"
"Un microprolactinome est défini par une tumeur de taille :", "< 1 cm", "< 2 cm", "> 1 cm", "> 2 cm", "1", "Le document : 'Microprolactinome : tumeur < 01 cm' (1 mm ? vraisemblablement < 1 cm)", "Easy"
"Quel taux de prolactine est typique d'un macroprolactinome ?", "< 50 µg/l", "50-100 µg/l", "> 200 µg/l voire 1000 µg/l", "100-150 µg/l", "3", "Le document : 'Macroprolactinome : prolactinémie > 200 µg/l voire 1000 µg/l'", "Easy"
"Quelle est la prévalence des galactorrhées parmi les pathologies mammaires ?", "1-2%", "3-10%", "15-20%", "25-30%", "2", "Le document : '3 à 10% des pathologies mammaires'", "Easy"
"Chez les nouveaux-nés, la galactorrhée est liée à :", "Taux de prolactine néonatale", "Taux d'oestrogène maternel circulant", "Allaitement maternel", "Stress de l'accouchement", "2", "Le document : 'Liée au taux d'oestrogène circulant (maternel)'", "Easy"
"Quel antiémétique peut induire une galactorrhée ?", "Ondansétron", "Metoclopramide, dompéridone", "Granisétron", "Dimenhydrinate", "2", "Le document : 'Antiémétique : dompéridone, metoclopramide'", "Easy"
"Quel est le mécanisme de l'hyperprolactinémie dans la cirrhose ?", "Augmentation de la sécrétion de prolactine", "Diminution de la clearance de la dopamine", "Tumeur hypophysaire", "Métastase", "2", "Le document : 'Cirrhose : Diminution de la clearance de la dopamine'", "Easy"
"Quel est le mécanisme de l'hyperprolactinémie dans l'insuffisance rénale chronique ?", "Augmentation de la sécrétion de TRH", "Diminution de la clearance de la prolactine", "Tumeur hypothalamique", "Médicaments", "2", "Le document : 'Insuffisance rénale chronique : 30% des IRC ont un taux de prolactine élevé. Mécanisme : diminution de la clearance de la prolactine'", "Easy"
"La galactorrhée physiologique peut survenir lors :", "Uniquement de la grossesse", "Du stress important, activité physique intense, sommeil", "Uniquement de l'allaitement", "Uniquement des traumatismes", "2", "Le document : 'Galactorrhée physiologique : Stress important, activité physique intense, crise convulsive, Stimulation du mamelon, traumatisme, Sommeil'", "Easy"
